ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3515.6542,3513.9728,3312.4507,3342.3627,2,7,18,3318.9176,3504.8882,3504.8932,3504.8896,3342.3656,3341.9547,3515.6697,3504.8916,3318.7857,3318.7973,,,3341.9547,44060,3339.1151,3327.6066,3327.5931,False,3513.9715,1,4206272,4206272,1
3517.6445,3515.6812,3319.0403,3343.8535,1,7,19,3320.7798,3504.894,3504.8981,3504.8951,3343.8555,3343.5112,3517.6649,3504.8965,3320.7273,3320.7317,,,3343.5112,2116,3341.1434,3334.5636,3334.552,False,3515.6797,0,4206272,4206272,1
3532.8925,3527.3721,3504.8995,3527.3004,8,0,20,3505.7144,3527.3115,3527.3291,3527.3127,3527.3022,3526.711,3532.9124,3527.3177,3505.6514,3505.655,,,3526.711,33504,3518.5278,3506.0077,3505.9915,False,3527.3673,0,4206272,4206272,1
3534.4462,3533.2014,3505.7215,3533.1159,8,1,21,3506.8926,3533.1317,3533.1493,3533.133,3533.1195,3527.2905,3534.4603,3533.1391,3506.7557,3506.7646,,,3527.2905,44060,3520.9766,3507.3016,3507.286,False,3533.198,1,4206272,4206272,1
3536.4686,3534.4729,3506.8975,3527.1146,7,2,22,3508.3829,3533.1527,3533.1594,3533.1544,3527.1182,3526.4079,3536.4794,3533.1572,3508.2684,3508.2712,,,3526.4079,2116,3520.2047,3508.6771,3508.656,False,3534.4715,0,4206272,4206272,1
3538.4326,3536.6543,3508.3888,3536.5931,8,3,23,3509.9646,3536.6086,3536.6217,3536.61,3536.5959,3534.6232,3538.4471,3536.6144,3509.8558,3509.864,,,3534.6232,6312,3528.5605,3510.3677,3510.3424,False,3536.6517,0,4206272,4206272,1
3543.7219,3542.792,3509.9715,3542.6161,8,4,24,3511.8318,3542.6745,3542.7169,3542.6776,3542.6267,3541.902,3543.7366,3542.6934,3511.7855,3511.7895,,,3541.902,2116,3537.7732,3526.9016,3526.887,False,3542.7833,0,4206272,4206272,1
3547.4531,3546.5072,3511.8354,3546.4176,8,5,25,3514.0544,3546.4308,3546.4488,3546.4325,3546.4206,3545.8033,3547.464,3546.4398,3514.004,3514.0078,,,3545.8033,33504,3540.6421,3527.1883,3527.176,False,3546.5008,1,4206272,4206272,1
3563.2191,3547.4734,3514.0576,3545.6056,7,6,26,3515.8556,3546.4527,3546.459,3546.4538,3545.6126,3545.0447,3563.2515,3546.4565,3515.7438,3515.7513,,,3545.0447,44060,3540.6131,3527.8139,3527.7874,False,3547.4724,0,4206272,4206272,1
3565.819,3563.6345,3515.862,3563.5551,8,7,27,3517.8951,3563.5637,3563.581,3563.5649,3563.5561,3557.8837,3565.8315,3563.5716,3517.7567,3517.7703,,,3557.8837,6312,3551.6067,3535.7533,3535.7416,False,3563.6297,1,4206272,4206272,1
3567.5041,3565.8436,3527.3337,3563.5391,7,7,28,3533.0806,3563.585,3563.5905,3563.5861,3563.5425,3560.2192,3567.5167,3563.5881,3532.9878,3532.9938,,,3560.2192,2116,3557.1544,3542.4587,3542.4425,False,3565.8423,0,4206272,4206272,1
3568.8096,3567.7707,3533.1612,3567.6896,8,6,29,3534.7139,3567.698,3567.7173,3567.6993,3567.6911,3563.4344,3568.8209,3567.7048,3534.5211,3534.5296,,,3563.4344,44060,3558.164,3545.5077,3545.4879,False,3567.7666,1,4206272,4206272,1
3570.3396,3568.8308,3534.7342,3567.673,7,7,30,3536.5605,3567.72,3567.7263,3567.7211,3567.6778,3564.995,3570.354,3567.7239,3536.5142,3536.5181,,,3564.995,33504,3559.6127,3546.5083,3546.4904,False,3568.8294,0,4206272,4206272,1
3579.5145,3578.0817,3536.6258,3578.0139,8,7,31,3538.5372,3578.0354,3578.0557,3578.037,3578.0182,3577.3522,3579.5493,3578.0434,3538.4835,3538.4868,,,3577.3522,6312,3572.6077,3558.493,3558.4702,False,3578.0766,0,4206272,4206272,1
3582.5408,3580.6152,3542.7245,3580.529,8,7,32,3543.8504,3580.5516,3580.5722,3580.5532,3580.5327,3579.6312,3582.5556,3580.5611,3543.7811,3543.7854,,,3579.6312,2116,3575.3444,3560.7415,3560.7194,False,3580.6114,0,4206272,4206272,1
3595.6634,3583.435,3546.4612,3583.3594,8,6,33,3547.5866,3583.3757,3583.3936,3583.377,3583.3628,3582.3618,3595.6807,3583.3844,3547.508,3547.5127,,,3582.3618,44060,3577.3226,3564.3524,3564.3166,False,3583.431,0,4206272,4206272,1
3598.1291,3596.0317,3547.5902,3595.9476,8,7,34,3563.5005,3595.9635,3595.9791,3595.9646,3595.9502,3585.3038,3598.1607,3595.969,3563.3915,3563.4041,,,3585.3038,33504,3578.4169,3565.758,3565.7399,False,3596.0258,0,4206272,4206272,1
3600.7376,3599.6749,3563.5924,3598.723,8,6,35,3565.9302,3599.0463,3599.4951,3599.0487,3599.0192,3595.9055,3600.7484,3599.0598,3565.8759,3565.8802,,,3595.9055,6312,3592.1867,3577.8132,3577.7983,False,3599.6663,0,4206272,4206272,1
3604.6983,3603.8721,3565.9341,3603.7822,8,7,36,3567.6347,3603.8041,3603.8273,3603.8058,3603.7861,3602.8881,3604.7205,3603.8129,3567.5827,3567.5866,,,3602.8881,2116,3598.5873,3580.3627,3580.336,False,3603.8671,0,4206272,4206272,1
3606.5356,3604.9629,3567.7283,3604.8731,8,6,37,3568.9081,3604.8884,3604.9077,3604.8898,3604.8761,3603.8383,3606.5456,3604.8958,3568.862,3568.866,,,3603.8383,44060,3599.1047,3582.887,3582.8737,False,3604.9538,0,4206272,4206272,1
3609.3558,3608.4322,3568.911,3608.3463,8,7,38,3570.4363,3608.3617,3608.3785,3608.363,3608.3491,3607.8914,3609.3644,3608.3684,3570.3904,3570.3929,,,3607.8914,33504,3602.847,3585.7388,3585.7252,False,3608.4286,0,4206272,4206272,1
3623.4225,3621.9286,3578.0593,3621.7377,8,7,39,3579.7674,3621.7728,3621.8135,3621.7751,3621.7427,3620.7656,3623.4461,3621.7888,3579.6674,3579.6752,,,3620.7656,6312,3615.117,3596.6344,3596.5987,False,3621.912,0,4206272,4206272,1
3636.5357,3624.2257,3580.578,3624.1506,8,7,40,3582.6475,3624.1642,3624.1799,3624.1654,3624.1531,3622.7815,3636.564,3624.1714,3582.5962,3582.6015,,,3622.7815,2116,3617.7842,3603.6456,3603.619,False,3624.2218,1,4206272,4206272,1
3642.129,3636.5903,3583.3978,3623.685,7,7,41,3595.9171,3624.1835,3624.1894,3624.1846,3623.6903,3622.4411,3642.1759,3624.1868,3595.7693,3595.7794,,,3622.4411,44060,3617.1194,3604.5225,3604.4981,False,3636.5864,0,4206272,4206272,1
3648.5129,3642.4439,3595.9857,3642.3576,8,7,42,3598.4993,3642.365,3642.378,3642.3659,3642.3584,3626.529,3648.5421,3642.3704,3598.2447,3598.2513,,,3626.529,33504,3622.1523,3608.2602,3608.2489,False,3642.4345,0,4206272,4206272,1
3652.5888,3648.9815,3599.5054,3648.828,8,7,43,3600.8423,3648.8735,3648.8989,3648.8758,3648.8357,3644.0591,3652.6113,3648.8844,3600.791,3600.7949,,,3644.0591,6312,3637.0078,3621.5423,3621.5091,False,3648.9769,3,4206272,4206272,1
3654.4817,3652.6311,3603.8332,3642.3504,7,7,44,3604.8457,3648.9061,3648.9148,3648.9091,3642.3516,3639.2582,3654.5118,3648.9119,3604.7915,3604.7961,,,3639.2582,44060,3633.4052,3623.3131,3623.2435,False,3652.6286,2,4206272,4206272,1
