ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
4157.8548,4156.4576,3962.3647,3983.4517,3,6,17,3963.2427,4150.4312,4150.4353,4150.4324,3983.4558,3983.1471,4157.87,4150.4338,3963.1348,3963.1419,3974.0674,3973.8084,3983.1471,32160,3983.1471,3974.08,3973.7268,True,4156.4565,2,4206272,4206272,1
4159.4589,4157.8817,3963.2495,3988.6108,2,7,18,3971.4186,4150.4362,4150.4402,4150.4372,3988.6127,3988.3918,4159.4722,4150.4385,3971.2992,3971.3084,3978.7746,3976.9454,3988.3918,21648,3988.3918,3978.7886,3976.8567,True,4157.8805,1,4206272,4206272,1
4161.4466,4159.4853,3971.5514,3987.4408,1,7,19,3973.2749,4150.4411,4150.4453,4150.4424,3987.444,3987.1484,4161.4578,4150.4437,3973.22,3973.2256,3980.5639,3978.7961,3987.1484,45892,3987.1484,3980.5806,3978.7397,True,4159.4839,0,4206272,4206272,1
4175.37,4166.3905,4150.4468,4166.2776,8,0,20,4151.0857,4166.3095,4166.3314,4166.3108,4166.2837,4165.8556,4175.3908,4166.3176,4150.9612,4150.97,4153.4572,4151.6471,4165.8556,32160,4165.8556,4153.5167,4151.5744,True,4166.3839,1,4206272,4206272,1
4177.5686,4175.4088,4151.0983,4163.1772,7,1,21,4152.8464,4166.3353,4166.3412,4166.3368,4163.184,4162.7606,4177.586,4166.3388,4152.7056,4152.7157,4153.7137,4153.2563,4162.7606,45892,4162.7606,4153.7542,4153.1795,True,4175.407,0,4206272,4206272,1
4179.1977,4177.8455,4152.8506,4177.7418,8,2,22,4154.2727,4177.7647,4177.7808,4177.7673,4177.743,4170.109,4179.2092,4177.7719,4154.152,4154.1591,4156.5676,4154.6037,4170.109,21648,4170.109,4156.5827,4154.5193,True,4177.8412,3,4206272,4206272,1
4181.5936,4179.2191,4154.2798,4177.7573,7,3,23,4155.6785,4177.7841,4177.7895,4177.7851,4177.7581,4170.8401,4181.6068,4177.7873,4155.5821,4155.5893,4158.1026,4156.0632,4170.8401,33572,4170.8401,4158.1208,4155.9905,True,4179.2179,2,4206272,4206272,1
4183.2048,4181.6185,4155.6848,4177.7273,6,4,24,4156.5251,4177.7908,4177.7956,4177.7919,4177.73,4172.4849,4183.2183,4177.7938,4156.4864,4156.4905,4163.298,4163.0712,4172.4849,45892,4172.4849,4163.3065,4163.0113,True,4181.6172,1,4206272,4206272,1
4184.8409,4183.2305,4156.5286,4177.7493,5,5,25,4158.1132,4177.7967,4177.8018,4177.7977,4177.7502,4176.6272,4184.8562,4177.8,4157.9531,4157.9662,4166.3949,4166.0908,4176.6272,32160,4176.6272,4166.4069,4166.0351,True,4183.2291,0,4206272,4206272,1
4187.2275,4185.0758,4158.1168,4185.0022,8,6,26,4159.5646,4185.0166,4185.0297,4185.0178,4185.0056,4179.972,4187.2477,4185.0223,4159.5179,4159.5212,4170.701,4170.3323,4179.972,21648,4179.972,4170.716,4170.2842,True,4185.072,0,4206272,4206272,1
4188.9812,4187.4915,4159.5681,4187.3916,8,7,27,4161.5823,4187.411,4187.4273,4187.4124,4187.3959,4185.689,4188.9926,4187.4177,4161.5142,4161.5197,4172.5539,4171.0857,4185.689,33572,4185.689,4172.5703,4171.0396,True,4187.4867,0,4206272,4206272,1
4191.3979,4189.7348,4166.3437,4189.6747,8,6,28,4175.6722,4189.6927,4189.7106,4189.6939,4189.6781,4189.3607,4191.4136,4189.7002,4175.5169,4175.535,4177.1511,4176.8365,4189.3607,45892,4189.3607,4177.1766,4176.7578,True,4189.7307,0,4206272,4206272,1
4199.9119,4193.3533,4175.6818,4193.2481,8,7,29,4177.7027,4193.2626,4193.28,4193.2639,4193.2508,4192.9394,4199.9527,4193.2689,4177.65,4177.6569,4180.0456,4178.3455,4192.9394,32160,4192.9394,4180.062,4178.2479,True,4193.3492,0,4206272,4206272,1
4202.2911,4200.1702,4177.8039,4200.1095,8,4,30,4179.2865,4200.117,4200.1277,4200.1179,4200.1106,4193.0143,4202.3096,4200.1209,4179.247,4179.2501,4180.614,4180.3909,4193.0143,21648,4193.0143,4180.6253,4180.3477,True,4200.1673,1,4206272,4206272,1
4203.7762,4202.3235,4179.2899,4200.0979,7,5,31,4181.8036,4200.1305,4200.1353,4200.1316,4200.1006,4198.9094,4203.7878,4200.1333,4181.6701,4181.6785,4186.6848,4186.3319,4198.9094,33572,4198.9094,4186.7027,4186.2198,True,4202.322,0,4206272,4206272,1
4205.5072,4203.9563,4181.8103,4203.8968,8,6,32,4183.2954,4203.9087,4203.9208,4203.9098,4203.8994,4200.7931,4205.5424,4203.9134,4183.2572,4183.2606,4190.0819,4189.6493,4200.7931,45892,4200.7931,4190.0936,4189.5823,True,4203.9536,0,4206272,4206272,1
4207.5341,4205.953,4183.2982,4205.7987,8,7,33,4184.9682,4205.8282,4205.8562,4205.8316,4205.8063,4204.3252,4207.5478,4205.8418,4184.9059,4184.9131,4193.5966,4193.27,4204.3252,32160,4204.3252,4193.6105,4193.2127,True,4205.9464,0,4206272,4206272,1
4209.0022,4207.7214,4185.0342,4207.6558,8,7,34,4187.3481,4207.6698,4207.6827,4207.671,4207.6585,4205.2822,4209.0138,4207.675,4187.2985,4187.3021,4193.84,4193.5447,4205.2822,21648,4205.2822,4193.8516,4193.4099,True,4207.7187,0,4206272,4206272,1
4212.0812,4211.5468,4187.4344,4211.4844,8,7,35,4189.0695,4211.4991,4211.513,4211.5003,4211.487,4211.2247,4212.09,4211.5054,4189.0267,4189.0297,4199.5159,4199.1609,4211.2247,33572,4211.2247,4199.5337,4199.1173,True,4211.5432,0,4206272,4206272,1
4217.7048,4216.6548,4189.7149,4216.5807,8,7,36,4191.4916,4216.5986,4216.6148,4216.5999,4216.585,4215.442,4217.7175,4216.6048,4191.4509,4191.4535,4201.4084,4201.114,4215.442,45892,4215.442,4201.4182,4201.0521,True,4216.6505,0,4206272,4206272,1
4231.4652,4219.5195,4193.2842,4219.4448,8,7,37,4200.0689,4219.467,4219.4894,4219.4686,4219.4502,4219.102,4231.4853,4219.4766,4200.0089,4200.0134,4204.8569,4204.5265,4219.102,32160,4219.102,4204.8699,4204.474,True,4219.5141,0,4206272,4206272,1
4233.3445,4231.7142,4200.1375,4231.6278,8,6,38,4202.5281,4231.6421,4231.6537,4231.6431,4231.6288,4220.664,4233.3571,4231.6467,4202.3898,4202.4037,4205.902,4205.4923,4220.664,21648,4220.664,4205.9225,4205.4296,True,4231.7104,4,4206272,4206272,1
4235.1766,4233.3714,4202.5354,4231.6198,7,7,39,4203.8698,4231.656,4231.6607,4231.6571,4231.6207,4225.8279,4235.185,4231.6588,4203.823,4203.8267,4211.6503,4211.461,4225.8279,33572,4225.8279,4211.6594,4211.4162,True,4233.369,3,4206272,4206272,1
4238.1359,4235.197,4203.9238,4231.6013,6,7,40,4205.7482,4231.6616,4231.666,4231.6624,4231.6041,4226.5181,4238.1532,4231.6643,4205.6509,4205.6602,4215.9428,4215.7235,4226.5181,45892,4226.5181,4215.9558,4215.6562,True,4235.1952,2,4206272,4206272,1
4239.7172,4238.1668,4205.8644,4231.6127,5,7,41,4207.6329,4231.6669,4231.6721,4231.6683,4231.6138,4229.7076,4239.7326,4231.6702,4207.5876,4207.5918,4219.738,4219.342,4229.7076,32160,4229.7076,4219.7511,4219.2779,True,4238.165,1,4206272,4206272,1
4242.4066,4239.7459,4207.6878,4231.6344,4,7,42,4209.0868,4231.6729,4231.6769,4231.6737,4231.6352,4230.8016,4242.4215,4231.6754,4209.0477,4209.0517,4221.346,4221.0038,4230.8016,21648,4230.8016,4221.3699,4220.957,True,4239.7441,0,4206272,4206272,1
4246.1959,4242.6143,4211.5166,4242.552,8,7,43,4212.175,4242.5591,4242.5709,4242.5602,4242.553,4237.8583,4246.2498,4242.5643,4212.1171,4212.1211,4226.4345,4226.1034,4237.8583,33572,4237.8583,4226.448,4226.0416,True,4242.6106,1,4206272,4206272,1
4247.7925,4246.2827,4216.6187,4242.541,7,7,44,4217.8268,4242.5735,4242.5783,4242.5745,4242.543,4235.3413,4247.804,4242.5763,4217.7708,4217.7752,4226.9242,4226.746,4235.3413,45892,4235.3413,4226.9367,4226.6914,True,4246.2782,0,4206272,4206272,1
4263.5862,4248.1423,4219.4951,4248.0255,8,7,45,4231.5764,4248.0401,4248.0534,4248.0411,4248.0266,4244.3821,4263.6026,4248.0453,4231.5267,4231.5304,4233.527,4233.2571,4244.3821,32160,4244.3821,4233.5405,4233.1841,True,4248.1355,2,4206272,4206272,1
4265.3017,4263.6166,4231.6788,4248.0326,7,3,46,4233.5622,4248.0568,4248.0654,4248.059,4248.0335,4244.1447,4265.3119,4248.0625,4233.4773,4233.4894,4234.1582,4233.9095,4244.1447,21648,4244.1447,4234.1714,4233.8441,True,4263.6145,1,4206272,4206272,1
