frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
15,0.0894,2.1215,1.174,0.0071,1.1664,1.1517,0.0109,0.002,0.3395,0.9305,0.0221,0.0087,0.0089,0.1039,0.0067,0.1312,0.017,0.0075,0.0965,0.0967,0.0048,0.0714,0.4997,0.0073,0.0159,0.0242,0.4106,0.2384,0.5392,3.6841,7,411550944,2147210464,0,0,116476604,16,10,1,1,0,0,0,0
16,0.0595,1.487,0.7903,0.0044,0.7855,0.7755,0.0078,0.001,0.2737,0.6715,0.0101,0.0071,0.0077,0.0982,0.0038,0.0527,0.003,0.0028,0.0696,0.071,0.005,0.0584,0.3499,0.0036,0.0129,0.0173,0.4997,0.4773,0.4754,3.2523,0,411550944,2147199200,1,0,116476604,17,11,1,1,0,0,0,0
17,0.0576,1.7038,0.8018,0.0032,0.7983,0.7904,0.006,0.0011,0.281,0.8556,0.021,0.0093,0.0098,0.1428,0.004,0.044,0.0027,0.014,0.0823,0.1295,0.005,0.0892,0.4878,0.0158,0.02,0.044,0.6463,0.3664,0.4571,3.5131,1,411550944,2147202016,2,0,116476604,18,12,1,1,0,0,0,0
18,0.0846,3.2078,2.2893,0.0068,2.2812,2.2706,0.0074,0.0019,0.4261,0.8914,0.0219,0.0117,0.0102,0.1106,0.0061,0.041,0.006,0.0053,0.0447,0.0992,0.011,0.0846,0.3801,0.0049,0.0138,0.0204,0.4454,0.2589,0.3165,4.6403,2,411550944,2147202720,0,0,116476604,19,13,1,1,0,0,0,0
19,0.107,1.4254,0.8302,0.0041,0.8253,0.8174,0.0056,0.001,0.2226,0.5598,0.0098,0.0043,0.0058,0.0667,0.0038,0.0316,0.0041,0.0028,0.0709,0.0477,0.0158,0.0606,0.2775,0.0055,0.0222,0.03,0.3161,0.1669,0.2175,2.4257,3,411550944,2147197088,1,0,116476604,20,14,1,1,0,0,0,0
20,0.0495,1.4135,0.8544,0.0023,0.8516,0.8433,0.0064,0.0009,0.2412,0.535,0.0109,0.0063,0.0072,0.0753,0.0033,0.0305,0.0035,0.0056,0.0485,0.0506,0.0025,0.0425,0.2474,0.0035,0.0106,0.02,0.3068,0.4917,1.6471,4.5863,4,411550944,2147194976,2,0,116476604,21,15,1,1,0,0,0,0
21,0.0988,2.2199,1.2001,0.0118,1.1879,1.1694,0.014,0.0026,0.3908,0.9922,0.0149,0.0071,0.0136,0.1556,0.0065,0.0816,0.0042,0.0049,0.0885,0.0871,0.0039,0.1184,0.5312,0.0083,0.016,0.0249,0.4485,0.2891,0.3891,3.7851,5,411550944,2147206944,0,0,116476604,22,16,1,1,0,0,0,0
22,0.0726,2.0606,1.0789,0.0067,1.0719,1.0589,0.0102,0.0019,0.4166,0.9621,0.0136,0.0096,0.0138,0.1535,0.0087,0.0729,0.0057,0.0062,0.103,0.0752,0.004,0.0671,0.4717,0.0055,0.0087,0.0225,0.4394,0.2797,0.3582,3.4411,6,411550944,2147197792,1,0,116476604,23,17,1,1,0,0,0,0
23,0.0949,2.8009,2.0693,0.0057,2.0627,2.0457,0.0132,0.0015,0.2829,0.7111,0.0081,0.0053,0.0092,0.1015,0.0049,0.0606,0.0038,0.0039,0.085,0.0699,0.0031,0.0644,0.3814,0.004,0.0119,0.0253,0.4496,0.2174,0.2651,4.0167,7,411550944,2147210464,2,0,116476604,24,18,1,1,0,0,0,0
24,0.1586,1.9536,0.9548,0.009,0.9455,0.9331,0.0092,0.0015,0.2485,0.9749,0.0356,0.0088,0.008,0.1615,0.0088,0.1475,0.0155,0.0074,0.1303,0.0999,0.0032,0.0866,0.6258,0.0045,0.0098,0.0183,0.4091,0.2259,0.3802,3.4531,0,411550944,2147199200,0,0,116476604,25,19,1,1,0,0,0,0
