ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1944.7977,1940.8212,1441.3989,1541.7966,9,17,17,1441.426,1911.0552,1913.9697,1911.058,1541.7974,1488.8904,1944.7961,1911.0665,1441.4075,1441.4096,1485.1192,1483.1048,1488.8904,47572,1488.8904,1485.1301,1483.0716,True,1940.8193,7,5791200,5791200,1
1948.0064,1944.8181,1441.4278,1541.8358,8,18,18,1441.4553,1913.9762,1916.5733,1913.9784,1541.8365,1489.1445,1948.0052,1913.9871,1441.4365,1441.4387,1486.7814,1484.6128,1489.1445,49112,1489.1445,1486.7887,1484.5854,True,1944.8158,6,5791200,5791200,1
1951.0152,1948.0237,1441.4579,1541.8029,7,19,19,1441.4858,1916.5783,1919.0561,1916.5803,1541.8037,1491.7965,1951.0137,1916.5863,1441.4667,1441.4691,1489.4382,1487.3006,1491.7965,51156,1491.7965,1489.4462,1487.2687,True,1948.0212,5,5791200,5791200,1
1954.4416,1951.0339,1441.4875,1541.8999,6,20,20,1441.5139,1919.063,1921.6824,1919.0662,1541.9006,1492.5048,1954.4405,1919.073,1441.4959,1441.498,1490.133,1488.0691,1492.5048,42056,1492.5048,1490.1405,1488.0375,True,1951.0311,4,5791200,5791200,1
1957.439,1954.4616,1441.5167,1541.8575,5,21,21,1441.5448,1921.6895,1924.6571,1921.6913,1541.8583,1493.3743,1957.4374,1921.6968,1441.5258,1441.528,1491.1105,1489.013,1493.3743,47572,1493.3743,1491.1188,1488.9807,True,1954.4585,3,5791200,5791200,1
1960.3662,1957.4537,1441.5465,1541.8629,4,22,22,1441.5739,1924.6624,1931.8395,1924.6644,1541.8636,1493.5897,1960.3642,1924.671,1441.5553,1441.5575,1491.3686,1489.2572,1493.5897,49112,1493.5897,1491.3757,1489.23,True,1957.4518,2,5791200,5791200,1
1964.1738,1960.3824,1441.5757,1541.8896,3,23,23,1441.6033,1931.8477,1934.5745,1931.8502,1541.8903,1496.0077,1964.1725,1931.8635,1441.5841,1441.5862,1493.7316,1491.9269,1496.0077,51156,1496.0077,1493.7386,1491.8994,True,1960.3802,1,5791200,5791200,1
1970.1007,1964.1923,1441.7124,1541.879,2,22,24,1444.1983,1934.589,1937.6873,1934.593,1541.8797,1496.5682,1970.0988,1934.6175,1444.0997,1444.1031,1494.2555,1492.6162,1496.5682,42056,1496.5682,1494.2618,1492.5882,True,1964.1903,0,5791200,5791200,1
1972.0746,1970.7259,1444.2016,1970.5662,24,23,25,1541.7127,1970.6306,1970.6429,1970.6316,1970.5675,1546.9123,1972.0734,1970.6359,1541.6507,1541.6561,1544.2601,1542.575,1546.9123,47572,1546.9123,1544.2802,1542.5127,True,1970.722,7,5791200,5791200,1
1974.0168,1972.0947,1937.705,1970.4767,23,1,26,1937.9437,1970.6448,1970.654,1970.6463,1970.4776,1945.8407,1974.0157,1970.6507,1937.7868,1937.7917,1940.9556,1940.346,1945.8407,49112,1945.8407,1941.0299,1940.2366,True,1972.0926,7,5791200,5791200,1
1975.53,1974.0378,1937.9467,1970.5214,22,2,27,1937.9906,1970.6566,1970.6628,1970.6578,1970.5223,1945.4409,1975.5288,1970.6606,1937.9604,1937.9637,1941.387,1940.4595,1945.4409,51156,1945.4409,1941.4265,1940.3265,True,1974.035,7,5791200,5791200,1
1977.4864,1975.551,1937.9935,1970.5032,21,3,28,1938.0468,1970.6635,1970.6674,1970.6643,1970.504,1949.1092,1977.4852,1970.666,1938.0031,1938.0059,1941.4147,1940.6094,1949.1092,42056,1949.1092,1941.4386,1940.4651,True,1975.5491,7,5791200,5791200,1
1978.9142,1977.506,1938.0505,1970.5991,20,4,29,1938.0846,1970.6683,1970.6722,1970.6691,1970.6006,1946.9635,1978.9132,1970.6709,1938.0603,1938.0633,1943.2237,1940.7847,1946.9635,47572,1946.9635,1943.2502,1940.6415,True,1977.504,7,5791200,5791200,1
1980.5085,1978.9313,1938.0879,1970.509,19,5,30,1938.1183,1970.6729,1970.6767,1970.6737,1970.5097,1950.9852,1980.5074,1970.6753,1938.0968,1938.0997,1947.8478,1945.5975,1950.9852,51156,1950.9852,1947.8759,1945.564,True,1978.9297,7,5791200,5791200,1
1991.4451,1980.527,1938.1211,1970.4624,18,6,31,1938.1534,1970.6779,1970.6819,1970.6787,1970.4669,1949.4656,1991.444,1970.6805,1938.1303,1938.1331,1946.2391,1945.9948,1949.4656,49112,1949.4656,1946.2453,1945.959,True,1980.5254,7,5791200,5791200,1
1993.3656,1991.4723,1938.156,1970.5882,17,7,32,1938.1879,1970.6826,1970.6871,1970.6833,1970.5897,1952.8232,1993.3644,1970.6855,1938.1651,1938.1683,1949.3523,1947.1404,1952.8232,47572,1952.8232,1949.3634,1947.1012,True,1991.4702,7,5791200,5791200,1
1995.0026,1993.3843,1938.1905,1970.577,16,8,33,1938.2237,1970.6878,1970.7826,1970.6886,1970.5787,1961.5629,1995.0016,1970.6903,1938.2037,1938.2067,1952.9752,1949.2637,1961.5629,42056,1961.5629,1953.0239,1949.2228,True,1993.3827,7,5791200,5791200,1
1997.4877,1995.0176,1938.2263,1970.5462,15,9,34,1938.2574,1970.7891,1972.1255,1970.7917,1970.5469,1953.0185,1997.4866,1970.7995,1938.2363,1938.239,1949.8304,1949.605,1953.0185,49112,1953.0185,1949.8372,1949.5735,True,1995.0158,7,5791200,5791200,1
1999.4223,1997.4998,1938.2606,1970.4972,14,10,35,1938.2924,1972.1316,1974.0891,1972.1336,1970.4981,1956.685,1999.4209,1972.1401,1938.2704,1938.2732,1953.4988,1951.5038,1956.685,51156,1956.685,1953.5092,1951.3861,True,1997.4982,6,5791200,5791200,1
2001.3075,1999.4352,1938.2948,1970.5402,13,11,36,1938.3539,1974.1089,1975.5735,1974.1132,1970.541,1958.4224,2001.3062,1974.1428,1938.3039,1938.3067,1955.4387,1952.9601,1958.4224,47572,1958.4224,1955.4499,1952.9244,True,1999.4334,5,5791200,5791200,1
2003.81,2001.3272,1938.3586,1970.609,12,12,37,1938.4394,1975.5779,1977.7362,1975.5797,1970.6106,1956.5633,2003.8081,1975.5848,1938.3744,1938.3772,1953.3968,1953.1456,1956.5633,49112,1956.5633,1953.4036,1953.1153,True,2001.3244,4,5791200,5791200,1
2006.0178,2003.8223,1938.443,1970.4834,11,13,38,1939.7901,1977.7414,1978.9698,1977.7432,1970.4842,1960.2244,2006.0162,1977.7497,1938.4561,1938.4592,1957.0478,1956.7124,1960.2244,49112,1960.2244,1957.0659,1956.6732,True,2003.8205,3,5791200,5791200,1
2016.5915,2006.0305,1939.7973,1970.5277,10,14,39,1939.8642,1978.9811,1980.5437,1978.9845,1970.5287,1961.7836,2016.5902,1978.9935,1939.8192,1939.825,1957.3242,1956.9613,1961.7836,51156,1961.7836,1957.3319,1956.8963,True,2006.0285,2,5791200,5791200,1
2018.1368,2016.6064,1939.867,1970.6244,9,15,40,1941.4585,1980.5488,1991.5905,1980.5505,1970.6252,1965.6192,2018.1358,1980.5558,1940.9381,1940.9626,1960.7858,1958.729,1965.6192,47572,1965.6192,1960.7973,1958.6653,True,2016.6043,1,5791200,5791200,1
2020.0351,2018.1479,1941.4622,1970.6169,8,16,41,1945.1786,1991.6281,1993.4082,1991.6343,1970.6179,1966.9615,2020.0342,1991.6603,1944.8939,1944.9157,1962.97,1960.3717,1966.9615,49112,1966.9615,1962.9858,1960.3402,True,2018.1463,0,5791200,5791200,1
