ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1476.9317,1474.9184,432.2981,1474.8174,8,0,0,715.5455,1474.8263,1474.841,1474.8274,1474.8188,752.7993,1476.9308,1474.8331,432.3183,432.3221,717.9378,715.987,752.7993,41688,752.7993,717.9689,715.938,True,1474.9132,1,5791200,5791200,1
1573.9108,1476.9469,715.5519,1474.8035,7,1,1,964.7878,1474.843,1474.8491,1474.8442,1474.8062,756.8356,1573.9092,1474.8467,715.5698,715.5743,754.9463,752.9287,756.8356,41688,756.8356,754.9537,752.8982,True,1476.945,0,5791200,5791200,1
1964.0819,1574.1933,964.797,1574.0939,8,2,2,1223.622,1574.1111,1574.1243,1574.112,1574.0946,1227.8873,1964.0806,1574.1174,964.8392,964.8448,1226.0951,1224.0215,1227.8873,41688,1227.8873,1226.1111,1223.9662,True,1574.1889,6,5791200,5791200,1
1967.1637,1964.1148,1223.6319,1574.0754,7,3,3,1223.9187,1574.1265,1574.1318,1574.1274,1574.0763,1516.4248,1967.1627,1574.1298,1223.6744,1223.6812,1477.7042,1475.2461,1516.4248,41240,1516.4248,1477.744,1475.1346,True,1964.1115,5,5791200,5791200,1
1970.581,1967.1782,1223.9214,1574.1051,6,4,4,1474.1722,1574.1327,1574.1369,1574.1336,1574.1058,1517.9933,1970.5801,1574.1354,1223.931,1223.9333,1477.7183,1475.4002,1517.9933,9428,1517.9933,1477.7527,1475.3146,True,1967.1763,4,5791200,5791200,1
1977.9103,1970.5964,1474.2092,1574.082,5,5,5,1474.7039,1574.1379,1574.142,1574.1387,1574.0827,1480.5342,1977.9093,1574.1406,1474.2653,1474.2696,1477.9411,1475.7139,1480.5342,41688,1480.5342,1477.9618,1475.651,True,1970.5946,3,5791200,5791200,1
1981.4232,1977.9344,1474.7074,1574.088,4,6,6,1474.7486,1574.1429,1574.1467,1574.1436,1574.0888,1516.7672,1981.4219,1574.1453,1474.7206,1474.7235,1478.0532,1475.7635,1516.7672,32796,1516.7672,1478.0828,1475.708,True,1977.9305,2,5791200,5791200,1
1984.2277,1981.444,1474.7506,1574.0996,3,7,7,1474.7813,1574.1476,1574.1513,1574.1483,1574.1003,1485.7067,1984.2266,1574.1499,1474.7598,1474.7621,1483.2247,1480.8617,1485.7067,41688,1485.7067,1483.2345,1480.7309,True,1981.4408,1,5791200,5791200,1
1986.2592,1984.2407,1474.851,1574.0624,2,6,8,1477.0075,1574.1521,1574.1563,1574.1531,1574.0653,1488.4132,1986.2582,1574.1549,1476.9682,1476.9714,1486.0467,1485.8269,1488.4132,41688,1488.4132,1486.0526,1485.7975,True,1984.2389,0,5791200,5791200,1
1987.7417,1986.5169,1477.0099,1986.4181,8,7,9,1574.0259,1986.4381,1986.4526,1986.4391,1986.4193,1578.5467,1987.7408,1986.4446,1573.962,1573.9668,1575.0206,1574.7472,1578.5467,41688,1578.5467,1575.0377,1574.6824,True,1986.5129,4,5791200,5791200,1
1989.576,1987.7496,1574.1581,1986.4107,7,1,10,1964.2888,1986.4558,1986.4614,1986.4567,1986.4118,1982.6424,1989.5747,1986.4589,1964.1942,1964.2033,1969.452,1965.2209,1982.6424,41240,1982.6424,1969.4857,1965.1348,True,1987.7485,3,5791200,5791200,1
1991.4258,1989.5923,1964.2989,1986.3977,6,2,11,1967.3718,1986.4624,1986.4668,1986.4632,1986.4012,1975.1166,1991.4248,1986.4652,1967.2188,1967.2326,1970.2275,1967.8627,1975.1166,32796,1975.1166,1970.2692,1967.7524,True,1989.5904,2,5791200,5791200,1
1993.1166,1991.4398,1967.3795,1986.4249,5,3,12,1970.8014,1986.4678,1986.4719,1986.4686,1986.4257,1975.8555,1993.1155,1986.4704,1970.662,1970.6775,1971.4242,1971.1479,1975.8555,9428,1975.8555,1971.4416,1971.0742,True,1991.4381,1,5791200,5791200,1
2007.4,1993.1331,1970.8043,1986.4314,4,4,13,1978.2006,1986.4728,1986.4774,1986.4736,1986.4321,1983.0521,2007.3985,1986.4757,1978.0026,1978.0217,1979.1765,1978.7694,1983.0521,41688,1983.0521,1979.2041,1978.5202,True,1993.1313,0,5791200,5791200,1
2009.0686,2007.7209,1978.2164,2007.6139,8,5,14,1981.7897,2007.6339,2007.6456,2007.6348,2007.6146,1986.4152,2009.0678,2007.6396,1981.5744,1981.5996,1982.7465,1982.387,1986.4152,32796,1986.4152,1982.7728,1982.2815,True,2007.7163,6,5791200,5791200,1
2010.8272,2009.0772,1981.795,2007.6271,7,6,15,1984.4436,2007.6477,2007.6525,2007.6487,2007.6279,1990.5595,2010.8259,2007.6507,1984.3014,1984.313,1986.8306,1984.8655,1990.5595,9428,1990.5595,1986.8738,1984.7727,True,2009.0759,5,5791200,5791200,1
2012.7397,2010.8377,1984.4507,2007.6203,6,7,16,1986.349,2007.6536,2007.6581,2007.6545,2007.6209,1993.2,2012.7389,2007.6564,1986.308,1986.3123,1989.4659,1987.1519,1993.2,41240,1993.2,1989.4853,1987.053,True,2010.8363,4,5791200,5791200,1
2014.9968,2012.7476,1986.4799,2007.5784,5,3,17,1987.9198,2007.6589,2007.6635,2007.6597,2007.5814,1992.2193,2014.9958,2007.662,1987.8044,1987.814,1988.6351,1988.3166,1992.2193,41688,1992.2193,1988.6576,1988.2277,True,2012.7465,3,5791200,5791200,1
