ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy
1503.397,1501.5988,428.7126,1501.3884,8,0,0,708.341,1501.3954,1501.4073,1501.3963,1501.3895,747.2416,1503.3958,1501.3996,428.7349,428.7382,710.7958,708.7717,747.2416,55412,747.2416,710.8271,708.7191,True
1601.7218,1503.4069,708.3468,1501.3774,7,1,1,971.7671,1501.41,1501.414,1501.4109,1501.3807,751.2104,1601.715,1501.412,708.3662,708.3708,749.2256,747.3796,751.2104,55412,751.2104,749.2344,747.3473,True
2013.6903,1602.0204,971.7812,1601.8799,8,2,2,1246.0669,1601.9433,1601.9567,1601.9442,1601.8838,1250.7056,2013.6837,1601.9479,971.8286,971.8337,1248.8657,1246.8151,1250.7056,55412,1250.7056,1248.8852,1246.7524,True
2016.8909,2013.7112,1246.0783,1601.921,7,3,3,1246.4391,1601.9589,1601.9636,1601.9598,1601.9218,1542.434,2016.8877,1601.9612,1246.1212,1246.1264,1503.3646,1501.2742,1542.434,49500,1542.434,1503.3953,1501.2175,True
2019.9745,2016.9051,1246.4419,1601.9047,6,4,4,1500.7372,1601.9648,1601.97,1601.9671,1601.907,1542.1359,2019.9716,1601.9681,1246.4526,1246.4552,1503.7193,1501.456,1542.1359,53352,1542.1359,1503.7582,1501.3924,True
2022.3735,2019.9869,1500.7484,1601.9346,5,5,5,1501.1628,1601.9711,1601.9744,1601.9719,1601.9366,1506.9977,2022.3716,1601.9729,1500.7827,1500.7869,1504.4578,1502.263,1506.9977,55412,1506.9977,1504.475,1502.2013,True
2030.5339,2022.3836,1501.1653,1601.9285,4,6,6,1501.3227,1601.9764,1601.9802,1601.9774,1601.9295,1542.4829,2030.5278,1601.9785,1501.1746,1501.1768,1504.2578,1502.2751,1542.4829,51580,1542.4829,1504.2915,1502.2272,True
2033.5004,2030.5603,1501.3253,1601.9129,3,7,7,1501.3591,1601.9811,1601.9842,1601.9819,1601.9137,1511.8119,2033.4968,1601.9827,1501.3353,1501.3375,1509.3773,1507.1255,1511.8119,55412,1511.8119,1509.3946,1507.0962,True
2035.5356,2033.5115,1501.4329,1601.8972,2,6,8,1503.4711,1601.9849,1601.988,1601.9857,1601.8986,1514.0006,2035.5329,1601.9866,1503.4312,1503.435,1512.1461,1511.9343,1514.0006,55412,1514.0006,1512.1529,1511.9059,True
2037.2187,2035.8753,1503.474,2035.7686,8,7,9,1601.8364,2035.7877,2035.8068,2035.7892,2035.7693,1606.7077,2037.2167,2035.7955,1601.7728,1601.7781,1602.853,1602.555,1606.7077,55412,1606.7077,1602.8763,1602.4841,True
2039.198,2037.2305,1601.9897,2035.7771,7,1,10,2013.9388,2035.8098,2035.8174,2035.8115,2035.7787,2026.0509,2039.1955,2035.8136,2013.772,2013.7857,2017.0211,2014.8349,2026.0509,53352,2026.0509,2017.0697,2014.7422,True
2040.6109,2039.2086,2013.9484,2035.7623,6,2,11,2017.0559,2035.8192,2035.8241,2035.8204,2035.7631,2023.0493,2040.609,2035.8217,2016.9421,2016.9526,2017.8292,2017.5619,2023.0493,49500,2023.0493,2017.8478,2017.4904,True
2042.3833,2040.6192,2017.0625,2035.7551,5,3,12,2020.2094,2035.8258,2035.8306,2035.8267,2035.7565,2027.7951,2042.3807,2035.8286,2020.0389,2020.0491,2022.7853,2020.5153,2027.7951,51580,2027.7951,2022.8306,2020.4517,True
2043.9886,2042.3987,2020.2133,2035.7382,4,4,13,2022.5824,2035.8316,2035.8368,2035.8325,2035.744,2026.8681,2043.987,2035.8345,2022.4233,2022.4361,2023.5738,2023.2436,2026.8681,55412,2026.8681,2023.6052,2023.1346,True
2046.0448,2044.1507,2022.6089,2044.0874,8,5,14,2030.6732,2044.1016,2044.1118,2044.1027,2044.0885,2039.7287,2046.0427,2044.1052,2030.5947,2030.6024,2033.3051,2031.0363,2039.7287,49500,2039.7287,2033.3362,2030.9783,True
2059.233,2046.0553,2030.6784,2044.0754,7,6,15,2033.6044,2044.1137,2044.1201,2044.1146,2044.0785,2040.9916,2059.2266,2044.1156,2033.5432,2033.5503,2036.6162,2034.1327,2040.9916,53352,2040.9916,2036.6687,2034.0078,True
2061.3536,2059.2514,2033.6095,2044.0955,6,7,16,2035.6501,2044.1212,2044.1249,2044.1222,2044.0962,2041.0024,2061.352,2044.1232,2035.5728,2035.5799,2036.7423,2036.4148,2041.0024,55412,2041.0024,2036.7694,2036.3383,True
2062.8121,2061.5815,2035.8394,2061.5089,8,3,17,2037.42,2061.5151,2061.5264,2061.5161,2061.5096,2044.5304,2062.81,2061.5196,2037.2772,2037.2876,2040.4604,2037.8945,2044.5304,51580,2044.5304,2040.4854,2037.7854,True
2064.9025,2062.8243,2037.4297,2061.4905,7,4,18,2039.4777,2061.5283,2061.5328,2061.5292,2061.4914,2051.2315,2064.9006,2061.5308,2039.2825,2039.3012,2043.9589,2039.9316,2051.2315,49500,2051.2315,2043.9812,2039.8791,True
2066.5448,2064.9121,2039.493,2061.4968,6,5,19,2040.7553,2061.5337,2061.5372,2061.5345,2061.4977,2047.9808,2066.5429,2061.5354,2040.6592,2040.6683,2043.7755,2041.2018,2047.9808,53352,2047.9808,2043.7918,2041.1299,True
2079.4396,2066.5528,2040.7611,2061.5034,5,6,20,2042.5597,2061.5397,2061.543,2061.5405,2061.5043,2049.2043,2079.4296,2061.5414,2042.4474,2042.4564,2045.1695,2043.0656,2049.2043,55412,2049.2043,2045.2103,2042.9884,True
2081.2023,2079.467,2042.5766,2061.4711,4,7,21,2044.0426,2061.5438,2061.5471,2061.5446,2061.474,2050.5214,2081.2,2061.5456,2044.0119,2044.0161,2047.5109,2044.7326,2050.5214,51580,2050.5214,2047.5236,2044.6832,True
