ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1319.3944,1317.0999,343.4786,1316.9854,8,0,0,585.8912,1316.9928,1317.0057,1316.9942,1316.9866,630.2653,1319.3918,1316.9977,343.4962,343.4998,630.2653,7252,625.0385,586.2969,586.2961
1423.8491,1319.4114,585.8974,1316.9741,7,1,1,821.5737,1317.0071,1317.012,1317.0083,1316.978,638.6647,1423.8428,1317.0096,585.916,585.9208,638.6647,7252,633.6813,630.5209,630.5196
1833.4456,1424.1081,821.5858,1424.0317,8,2,2,1069.4118,1424.0419,1424.0528,1424.0429,1424.0324,1078.0735,1833.4379,1424.0459,821.6408,821.6505,1078.0735,7252,1072.662,1069.7412,1069.7384
1837.0823,1833.4789,1069.4236,1424.0368,7,3,3,1069.7141,1424.054,1424.0584,1424.0549,1424.0375,1369.9889,1837.0793,1424.0563,1069.4639,1069.4687,1369.9889,36704,1362.345,1317.2443,1317.2413
1841.8395,1837.1014,1069.7173,1424.017,6,4,4,1316.3922,1424.0591,1424.0626,1424.0599,1424.0178,1369.652,1841.8316,1424.0609,1069.7294,1069.7324,1369.652,55156,1362.1664,1317.3406,1317.3351
1847.3075,1841.8779,1316.4054,1424.011,5,5,5,1316.8754,1424.0633,1424.0666,1424.0641,1424.0122,1328.4628,1847.3002,1424.0651,1316.4479,1316.456,1328.4628,7252,1322.1075,1317.8259,1317.8229
1855.1059,1847.332,1316.8788,1423.9993,4,6,6,1316.9186,1424.0672,1424.0704,1424.068,1424.0031,1369.8357,1855.0994,1424.0689,1316.8911,1316.8941,1369.8357,44248,1362.1462,1317.8641,1317.8631
1859.4176,1855.141,1316.9205,1424.0219,3,7,7,1316.9524,1424.071,1424.0745,1424.0717,1424.0226,1338.4287,1859.4126,1424.073,1316.9296,1316.9319,1338.4287,7252,1332.9883,1328.8937,1328.8914
1863.7623,1859.4388,1317.0138,1424.0269,2,6,8,1319.4713,1424.075,1424.0781,1424.0758,1424.0276,1346.3365,1863.7574,1424.0768,1319.4305,1319.4346,1346.3365,7252,1342.4598,1338.9137,1338.9117
1866.8353,1864.0219,1319.4748,1863.9399,8,7,9,1423.9617,1863.9668,1863.9813,1863.9679,1863.9467,1432.6622,1866.8328,1863.9737,1423.9,1423.9054,1432.6622,7252,1429.3134,1424.5742,1424.5713
1870.8403,1866.8539,1424.0797,1863.9593,7,1,10,1833.7246,1863.9826,1863.9874,1863.9835,1863.9604,1861.076,1870.8334,1863.9849,1833.5341,1833.5526,1861.076,55156,1844.36,1834.2904,1834.2864
1878.9766,1871.3066,1833.7365,1871.1666,8,2,11,1837.4552,1871.1759,1871.2177,1871.1772,1871.168,1863.8412,1878.9693,1871.1895,1837.1917,1837.2193,1863.8412,44248,1847.1547,1837.8683,1837.8622
1883.3121,1879.0065,1837.4626,1871.1382,7,3,12,1842.2417,1871.22,1871.2292,1871.2212,1871.1506,1868.0453,1883.3059,1871.2263,1841.999,1842.0129,1868.0453,36704,1853.7163,1842.9875,1842.9821
1887.7788,1883.8678,1842.2546,1883.7366,8,4,13,1847.4764,1883.7699,1883.7995,1883.7716,1883.7496,1871.357,1887.7709,1883.7839,1847.384,1847.3945,1871.357,7252,1856.9263,1848.0463,1848.0416
1892.1581,1888.8969,1847.4811,1888.7978,8,5,14,1855.3943,1888.8257,1888.8524,1888.8273,1888.807,1886.8346,1892.1541,1888.8347,1855.2376,1855.2484,1886.8346,55156,1871.7727,1862.3664,1862.3606
1895.7888,1892.3304,1855.3999,1892.2735,8,6,15,1859.7702,1892.2845,1892.2982,1892.2856,1892.2763,1889.882,1895.785,1892.2907,1859.5158,1859.5366,1889.882,44248,1873.7033,1864.5837,1864.5803
1904.7053,1896.0267,1859.7829,1895.942,8,7,16,1863.8734,1895.9574,1895.973,1895.9591,1895.9455,1893.974,1904.6967,1895.9647,1863.8097,1863.8173,1893.974,36704,1876.6007,1868.6796,1868.6772
1907.6963,1905.1282,1863.9889,1904.936,8,6,17,1867.0748,1904.9541,1904.9715,1904.9561,1904.9414,1895.4482,1907.6929,1904.9612,1866.9155,1866.9312,1895.4482,7252,1880.982,1872.2742,1872.2668
1910.7809,1908.4659,1867.0855,1908.3828,8,7,18,1871.0656,1908.4033,1908.421,1908.4046,1908.3874,1907.5711,1910.7787,1908.41,1870.9686,1870.9833,1907.5711,55156,1899.2668,1888.1767,1888.1607
1915.6388,1914.4819,1871.2308,1914.3898,8,6,19,1879.2532,1914.4162,1914.4362,1914.4178,1914.3978,1913.4129,1915.6372,1914.4237,1879.0948,1879.1124,1913.4129,44248,1902.8745,1891.5011,1891.4937
1919.4787,1915.8524,1879.2627,1915.7755,8,7,20,1883.6354,1915.7906,1915.8058,1915.7919,1915.7809,1913.4367,1919.4742,1915.7983,1883.4372,1883.4597,1913.4367,36704,1902.9727,1895.5263,1895.5181
1931.0454,1924.8564,1883.804,1924.7705,8,7,21,1887.8882,1924.791,1924.8114,1924.7927,1924.7747,1923.8348,1931.0379,1924.7988,1887.8334,1887.8382,1923.8348,7252,1907.6742,1896.1798,1896.1756
1932.9522,1931.2772,1888.8547,1931.2135,8,7,22,1892.2476,1931.2286,1931.2413,1931.23,1931.2179,1926.2969,1932.9508,1931.2349,1892.1976,1892.2025,1926.2969,55156,1918.2913,1908.2293,1908.2245
1935.8892,1933.074,1892.2999,1933.0218,8,7,23,1895.9039,1933.0364,1933.046,1933.0374,1933.0234,1931.5501,1935.8872,1933.0393,1895.8387,1895.8454,1931.5501,44248,1922.3604,1914.193,1914.1886
1937.8072,1935.8984,1895.9748,1933.0304,7,7,24,1904.8868,1933.0471,1933.0511,1933.048,1933.0314,1930.6817,1937.8047,1933.0493,1904.7952,1904.8071,1930.6817,36704,1922.1497,1914.2324,1914.2286
1954.1815,1953.1441,1904.9738,1953.0389,8,7,25,1907.7758,1953.0595,1953.0791,1953.0607,1953.0422,1952.418,1954.1796,1953.0652,1907.7328,1907.7373,1952.418,7252,1942.0482,1924.6057,1924.602
1959.0488,1954.1938,1908.4236,1945.9298,7,7,26,1910.8865,1953.0806,1953.0867,1953.0822,1945.9367,1944.6771,1959.0455,1953.0841,1910.8211,1910.8276,1944.6771,55156,1936.4346,1926.8817,1926.8768
1961.3893,1959.0639,1914.4399,1947.4214,6,7,27,1915.7386,1953.0875,1953.0921,1953.0891,1947.4233,1946.7366,1961.3737,1953.0904,1915.6759,1915.6837,1946.7366,36704,1938.6344,1931.7153,1931.7124
1964.1964,1961.4623,1915.8076,1949.5945,5,7,28,1919.5923,1953.0929,1953.0972,1953.0946,1949.5982,1948.9824,1964.1934,1953.0957,1919.5323,1919.5391,1948.9824,44248,1939.4078,1932.231,1932.2286
1967.2497,1965.872,1924.8145,1965.8009,8,7,29,1931.1737,1965.8169,1965.8335,1965.8188,1965.8042,1964.8625,1967.2485,1965.8243,1931.0951,1931.1017,1964.8625,55156,1952.9198,1945.6537,1945.6494
1970.5309,1967.2603,1931.2439,1964.8793,7,7,30,1933.0071,1965.835,1965.8402,1965.8368,1964.8893,1964.2328,1970.5263,1965.8381,1932.9778,1932.9812,1964.2328,36704,1952.4024,1947.2895,1947.2863
