ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1276.4901,1274.5876,346.0922,1274.4866,16,0,0,587.5173,1274.4941,1274.5073,1274.4954,1274.4879,632.7722,1276.488,1274.4989,346.1125,346.1162,632.7722,18272,627.7913,587.8842,587.8833
1379.2344,1276.5142,587.5233,1274.4761,15,1,1,821.829,1274.5087,1274.5133,1274.5098,1274.4795,640.9776,1379.2302,1274.511,587.5397,587.5447,640.9776,18272,636.2262,633.2153,633.214
1774.1588,1379.5252,821.8436,1379.4329,16,2,2,1050.715,1379.4464,1379.4572,1379.4474,1379.4336,1058.6968,1774.1469,1379.4501,821.8911,821.8953,1058.6968,18272,1054.0487,1051.3908,1051.3883
1776.9765,1774.2064,1050.7255,1379.3913,15,3,3,1050.9544,1379.4583,1379.462,1379.4591,1379.3921,1322.3292,1776.9743,1379.4602,1050.7655,1050.7727,1322.3292,55276,1315.5302,1274.7224,1274.7202
1779.9674,1776.999,1050.9564,1379.4152,14,4,4,1273.7122,1379.4627,1379.4659,1379.4635,1379.4159,1322.8509,1779.9638,1379.4644,1050.9647,1050.9669,1322.8509,52148,1315.9337,1274.7761,1274.7734
1783.2453,1779.9883,1273.7286,1379.4064,13,5,5,1274.1514,1379.4664,1379.4695,1379.4672,1379.4072,1286.5237,1783.241,1379.4681,1273.763,1273.7669,1286.5237,18272,1280.9147,1275.9995,1275.9968
1787.5025,1783.2671,1274.1546,1379.4109,12,6,6,1274.1926,1379.47,1379.4731,1379.4708,1379.4117,1322.906,1787.4986,1379.4717,1274.1664,1274.1693,1322.906,48580,1315.9561,1276.0626,1276.0615
1794.0682,1787.5251,1274.1946,1379.4012,11,7,7,1274.2246,1379.4737,1379.4769,1379.4745,1379.402,1296.3857,1794.0551,1379.4753,1274.2032,1274.2054,1296.3857,18272,1290.9412,1286.9042,1286.9023
1797.379,1794.1341,1274.2262,1379.424,10,8,8,1274.2592,1379.4775,1379.4805,1379.4782,1379.4247,1305.0496,1797.373,1379.4791,1274.2355,1274.2381,1305.0496,18272,1300.0962,1296.7741,1296.7719
1801.1771,1797.4042,1274.2611,1379.4287,9,9,9,1274.2904,1379.4811,1379.4841,1379.4818,1379.4293,1316.5415,1801.1732,1379.4828,1274.2696,1274.2718,1316.5415,18272,1309.7986,1305.4413,1305.4397
1804.7481,1801.1945,1274.2924,1379.4374,8,10,10,1274.3203,1379.485,1379.6687,1379.4858,1379.438,1332.1286,1804.742,1379.4868,1274.3003,1274.3023,1332.1286,18272,1323.15,1317.0557,1317.0534
1809.7581,1804.7786,1274.322,1379.3961,7,11,11,1274.3473,1379.6768,1774.2625,1379.6796,1379.3972,1334.625,1809.7501,1379.6849,1274.3291,1274.3308,1334.625,55276,1328.4157,1322.7278,1322.7245
1814.4093,1809.7866,1274.3487,1379.3812,6,12,12,1274.3747,1774.2723,1777.0615,1774.2767,1379.3824,1335.8947,1814.4012,1774.285,1274.3558,1274.3576,1335.8947,52148,1329.2337,1323.1947,1323.1918
1818.4549,1814.4387,1274.3761,1379.3707,5,13,13,1274.4007,1777.0782,1780.027,1777.0844,1379.374,1335.4176,1818.4522,1777.0965,1274.383,1274.3847,1335.4176,48580,1328.9469,1323.2308,1323.2291
1821.7216,1818.4688,1274.402,1379.4416,4,14,14,1274.427,1780.0352,1783.3113,1780.0382,1379.4422,1344.7014,1821.7184,1780.0453,1274.409,1274.4107,1344.7014,18272,1338.0641,1332.8692,1332.8649
1826.0894,1821.7344,1274.4285,1379.4198,3,15,15,1274.453,1783.3204,1787.5647,1783.324,1379.4205,1344.9744,1826.0683,1783.3312,1274.4355,1274.4371,1344.9744,55276,1338.674,1334.9573,1334.9543
1834.0015,1826.1147,1274.515,1379.3865,2,14,16,1276.5819,1787.5731,1794.1818,1787.576,1379.3872,1345.2935,1833.9943,1787.583,1276.5338,1276.5377,1345.2935,48580,1339.4199,1335.9306,1335.9271
1836.2954,1834.3702,1276.5864,1834.2724,16,15,17,1379.331,1834.2855,1834.3027,1834.2868,1834.2731,1387.9896,1836.2916,1834.2929,1379.2776,1379.2836,1387.9896,52148,1383.6539,1379.9854,1379.9821
1839.2372,1836.3153,1794.2008,1834.2668,15,1,18,1794.4242,1834.304,1834.3091,1834.3049,1834.2675,1815.6777,1839.2344,1834.3067,1794.2392,1794.2534,1815.6777,18272,1803.7148,1795.4386,1795.4355
1841.835,1839.2509,1794.4283,1834.2786,14,2,19,1794.462,1834.3097,1834.3141,1834.3105,1834.2793,1817.8218,1841.8302,1834.3125,1794.4392,1794.4415,1817.8218,55276,1805.9085,1795.4952,1795.4921
1844.2965,1841.8591,1794.4641,1834.2458,13,3,20,1794.4942,1834.3147,1834.3184,1834.3154,1834.2508,1828.8775,1844.2927,1834.3167,1794.4731,1794.4751,1828.8775,48580,1814.747,1795.5816,1795.5784
1847.3146,1844.3134,1794.4968,1834.26,12,4,21,1794.5223,1834.319,1834.3226,1834.3198,1834.2618,1818.6285,1847.3106,1834.321,1794.5048,1794.5068,1818.6285,52148,1804.1841,1795.6461,1795.6429
1856.1905,1847.6141,1794.5245,1847.5138,16,5,22,1794.5507,1847.5459,1847.5628,1847.5472,1847.519,1838.3713,1856.1813,1847.5536,1794.5325,1794.5346,1838.3713,18272,1824.9119,1816.4499,1816.4466
1859.2779,1856.2283,1794.5527,1847.5297,15,6,23,1794.5776,1847.5644,1847.5713,1847.5653,1847.5312,1843.5366,1859.2735,1847.569,1794.56,1794.5619,1843.5366,55276,1829.3034,1819.126,1819.1173
1862.167,1859.2931,1794.5793,1847.5381,14,7,24,1797.5863,1847.572,1847.577,1847.5729,1847.5389,1843.1849,1862.1632,1847.5748,1797.5012,1797.5194,1843.1849,52148,1828.8722,1819.8063,1819.8012
1864.8957,1862.5531,1797.5909,1862.4263,16,8,25,1801.3666,1862.4598,1862.484,1862.4625,1862.4344,1851.8776,1864.8905,1862.4692,1801.2404,1801.2531,1851.8776,48580,1840.4901,1829.8449,1829.8399
1867.5455,1864.93,1801.3754,1862.4508,15,9,26,1804.9924,1862.4863,1862.4938,1862.4876,1862.4524,1858.2196,1867.543,1862.491,1804.8375,1804.8518,1858.2196,18272,1848.8193,1839.1354,1839.1313
1878.2475,1867.8146,1805.0016,1867.6939,16,10,27,1810.1162,1867.7004,1867.7175,1867.7015,1867.6949,1862.8683,1878.2405,1867.7049,1809.8369,1809.8537,1862.8683,52148,1851.1989,1843.8422,1843.8397
1881.2079,1878.2774,1810.1317,1867.683,15,11,28,1814.7997,1867.72,1867.7293,1867.7215,1867.686,1866.636,1881.2011,1867.7256,1814.5415,1814.5631,1866.636,55276,1852.9629,1844.1252,1844.1221
