ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
2098.7163,2095.8308,2050.8178,2089.6966,7,7,22,2059.9153,2094.6455,2094.6536,2094.6477,2089.7009,2086.0619,2098.7128,2094.6498,2059.6813,2059.7167,2086.0619,34340,2078.7046,2069.5089,2069.5041
2101.1182,2098.7323,2060.1069,2089.7109,6,5,23,2063.064,2094.6549,2094.6618,2094.6568,2089.7119,2087.0525,2101.1156,2094.6588,2062.8761,2062.8901,2087.0525,34272,2079.5282,2071.6703,2071.6645
2104.7444,2101.1362,2063.0728,2091.8902,5,6,24,2065.9614,2094.6628,2094.6678,2094.6644,2091.8936,2091.2569,2104.7366,2094.666,2065.9006,2065.9093,2091.2569,56296,2082.5593,2076.4725,2076.4697
2112.2293,2110.4574,2065.9653,2110.2946,8,7,25,2068.7358,2110.3237,2110.3632,2110.3255,2110.3013,2108.909,2112.2273,2110.3353,2068.6885,2068.6931,2108.909,34340,2094.3566,2086.6868,2086.6806
2116.9462,2112.4685,2069.7077,2112.3987,8,7,26,2071.8711,2112.4123,2112.426,2112.4133,2112.4021,2109.5159,2116.9418,2112.4183,2071.8273,2071.8315,2109.5159,34272,2094.9769,2087.7413,2087.7366
2119.1436,2117.2764,2071.9293,2117.1678,8,7,27,2075.4896,2117.1866,2117.2056,2117.1877,2117.1744,2112.1684,2119.1411,2117.1943,2075.428,2075.4339,2112.1684,56296,2098.1755,2091.7768,2091.7753
2122.1562,2119.9959,2076.602,2119.8992,8,7,28,2089.6641,2119.9212,2119.941,2119.9225,2119.9055,2119.0078,2122.1508,2119.9281,2089.6002,2089.6072,2119.0078,40188,2104.6385,2094.4264,2094.4235
2141.774,2141.0315,2094.6692,2140.944,8,4,29,2095.9463,2140.9532,2140.9724,2140.9545,2140.9456,2140.2728,2141.7728,2140.9597,2095.8698,2095.8773,2140.2728,34340,2133.4179,2109.9053,2109.8974
2144.2277,2141.7836,2095.9505,2129.3298,7,5,30,2098.9872,2140.9736,2140.9785,2140.9748,2129.332,2128.6825,2144.2213,2140.9762,2098.7917,2098.8048,2128.6825,34272,2119.1103,2110.6143,2110.5996
2146.3316,2144.249,2099.0024,2129.0223,6,6,31,2101.2854,2140.9794,2140.983,2140.9804,2129.0308,2128.3872,2146.3289,2140.9814,2101.1734,2101.1822,2128.3872,56296,2120.9316,2113.0901,2113.0859
2149.1239,2146.3453,2101.2918,2135.6801,5,7,32,2104.8721,2140.9836,2140.988,2140.9846,2135.6846,2135.0389,2149.1183,2140.9862,2104.8084,2104.8155,2135.0389,40188,2130.4592,2119.7627,2119.7594
