ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1866.951,1863.8156,1812.9919,1861.8709,11,8,26,1816.6618,1862.5664,1862.5711,1862.5675,1861.89,1861.0644,1866.9457,1862.5689,1816.5072,1816.5213,1861.0644,32216,1851.3928,1843.7102,1843.7043
1868.6935,1867.1171,1816.6759,1867.0665,12,9,27,1820.387,1867.0793,1867.094,1867.0811,1867.0694,1862.4435,1868.6903,1867.0852,1820.2423,1820.2583,1862.4435,51640,1852.7135,1845.8661,1845.8629
1886.5166,1885.5089,1820.3977,1885.3897,12,10,28,1823.6463,1885.4123,1885.4362,1885.414,1885.3942,1884.3411,1886.5151,1885.4201,1823.4643,1823.4828,1884.3411,52824,1866.5656,1848.927,1848.9204
1891.0244,1886.5311,1823.655,1878.4853,11,11,29,1832.7085,1885.4382,1885.446,1885.4398,1878.489,1877.4406,1891.02,1885.443,1832.5272,1832.5365,1877.4406,32216,1869.7035,1861.6293,1861.6273
1893.8564,1891.0451,1833.0166,1878.8874,10,9,30,1837.149,1885.4469,1885.4523,1885.4482,1878.8903,1878.0831,1893.8535,1885.4503,1837.038,1837.0534,1878.0831,54348,1870.1091,1862.4387,1862.434
1896.2341,1893.8724,1837.1576,1879.4495,9,10,31,1839.5594,1885.4533,1885.4585,1885.4545,1879.4527,1878.318,1896.2287,1885.4566,1839.5194,1839.5244,1878.318,51640,1870.575,1863.1671,1863.1625
1898.5822,1896.4424,1839.5629,1896.3792,12,11,32,1841.7469,1896.3935,1896.4091,1896.3951,1896.3826,1893.0013,1898.5788,1896.3995,1841.7109,1841.7148,1893.0013,32216,1884.148,1878.2333,1878.2271
1901.0572,1898.7405,1849.1091,1898.6862,12,8,33,1850.4233,1898.6928,1898.7042,1898.6938,1898.6872,1896.9307,1901.0537,1898.6964,1850.3416,1850.3482,1896.9307,54348,1884.8316,1878.7216,1878.7181
1909.1892,1901.0708,1850.4277,1898.6775,11,9,34,1854.2128,1898.7052,1898.7097,1898.7061,1898.6794,1896.8669,1909.1852,1898.7077,1854.0,1854.0202,1896.8669,51640,1884.8678,1878.8618,1878.8582
1919.1896,1918.4026,1854.2256,1918.3147,12,10,35,1856.5549,1918.3278,1918.3469,1918.3294,1918.3171,1917.6398,1919.1878,1918.3342,1856.5022,1856.5084,1917.6398,52824,1902.4027,1885.2215,1885.2173
1922.8481,1919.2004,1856.558,1909.6918,11,11,36,1859.5943,1918.3485,1918.3542,1918.3499,1909.6978,1908.0707,1922.841,1918.3516,1859.5573,1859.5612,1908.0707,32216,1901.1995,1893.6857,1893.682
1924.9017,1922.8749,1862.5726,1915.2466,10,10,37,1863.8831,1918.3551,1918.3599,1918.3565,1915.2494,1914.5867,1924.8985,1918.358,1863.8435,1863.8483,1914.5867,51640,1904.7847,1897.681,1897.6759
1927.6384,1924.9173,1863.8864,1915.5783,9,11,38,1867.0358,1918.3607,1918.3653,1918.3621,1915.5798,1914.8206,1927.6355,1918.3635,1866.9992,1867.0038,1914.8206,54348,1904.8679,1897.7488,1897.7445
1930.8495,1927.8281,1867.0957,1927.7694,12,11,39,1868.7993,1927.7825,1927.7966,1927.7837,1927.7723,1926.4692,1930.8457,1927.7896,1868.7375,1868.743,1926.4692,32216,1916.7958,1908.7844,1908.7775
1937.8806,1932.0347,1885.4605,1931.9451,12,8,40,1886.6124,1931.9575,1931.9694,1931.9586,1931.9481,1931.3107,1937.8753,1931.9622,1886.5598,1886.5654,1931.3107,51640,1922.1226,1915.0784,1915.0762
1940.0814,1938.148,1886.6154,1938.0697,12,9,41,1891.114,1938.0851,1938.103,1938.0864,1938.0732,1932.7988,1940.0793,1938.0928,1891.0739,1891.0798,1932.7988,54348,1921.6288,1915.3036,1915.3016
1950.3642,1949.4131,1891.1194,1949.3407,12,10,42,1894.2091,1949.3499,1949.3664,1949.351,1949.3423,1948.8273,1950.3626,1949.3559,1894.0181,1894.0385,1948.8273,52824,1935.9805,1918.2244,1918.2222
1953.7272,1950.3765,1894.2122,1943.0805,11,11,43,1896.3464,1949.3676,1949.3721,1949.3688,1943.0847,1942.2343,1953.7242,1949.3702,1896.3086,1896.3128,1942.2343,32216,1934.4254,1927.315,1927.3093
1956.2765,1953.7398,1896.4113,1948.523,10,11,44,1898.6554,1949.3728,1949.3765,1949.3737,1948.5271,1947.8808,1956.2723,1949.3748,1898.6179,1898.6222,1947.8808,51640,1937.6771,1931.8617,1931.8587
1961.1536,1956.2987,1898.711,1947.4809,9,10,45,1901.2738,1949.3771,1949.3809,1949.3783,1947.4848,1946.8518,1961.1456,1949.3794,1901.1239,1901.1382,1946.8518,54348,1938.8099,1933.6769,1933.6739
1963.4634,1961.4184,1901.2844,1961.3531,12,11,46,1909.5752,1961.3682,1961.3816,1961.3694,1961.3577,1958.0929,1963.4614,1961.3743,1909.3727,1909.4162,1958.0929,32216,1949.1256,1942.912,1942.9087
1967.3489,1966.3699,1918.3672,1966.2585,12,8,47,1919.4292,1966.2706,1966.285,1966.2717,1966.2607,1965.5901,1967.3476,1966.2762,1919.2629,1919.2747,1965.5901,54348,1954.0662,1947.2795,1947.2764
1970.5546,1967.3623,1919.4359,1965.4309,11,9,48,1923.1164,1966.2862,1966.2908,1966.2872,1965.4339,1964.6422,1970.5516,1966.2887,1922.9388,1922.9565,1964.6422,51640,1955.0232,1948.4184,1948.4142
1982.0824,1981.1958,1923.1226,1981.1079,12,10,49,1925.0132,1981.1164,1981.1332,1981.1174,1981.1093,1980.5772,1982.0812,1981.1226,1924.9564,1924.9626,1980.5772,52824,1964.8294,1949.289,1949.2863
1985.6214,1982.0921,1925.0165,1975.5517,11,11,50,1927.7228,1981.1483,1981.1535,1981.1496,1975.5596,1974.3921,1985.6186,1981.1512,1927.6771,1927.6831,1974.3921,32216,1966.2592,1958.5899,1958.5864
1988.2826,1985.6348,1927.7986,1979.4404,10,11,51,1930.9407,1981.1543,1981.1581,1981.1552,1979.4435,1978.9121,1988.2785,1981.1565,1930.886,1930.8915,1978.9121,51640,1971.7471,1965.2425,1965.2377
1990.8641,1988.2967,1931.9713,1980.8437,9,11,52,1938.0202,1981.1586,1981.1621,1981.1595,1980.8455,1980.4338,1990.862,1981.1605,1937.9367,1937.9479,1980.4338,54348,1973.3461,1966.1909,1966.1889
