ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1989.0743,1986.8067,1945.7109,1979.0567,5,7,22,1953.9806,1980.2706,1980.275,1980.2717,1979.0598,1978.4274,1989.0717,1980.2735,1953.8869,1953.8938,1978.4274,52676,1965.9721,1958.0233,1958.0175
1992.31,1989.2297,1954.0705,1989.1741,8,6,23,1958.0274,1989.1859,1989.1977,1989.1871,1989.1774,1986.3406,1992.3077,1989.1914,1957.9753,1957.9807,1986.3406,34396,1978.911,1968.802,1968.7941
1997.2359,1996.2344,1958.031,1996.1551,8,7,24,1961.9994,1996.1733,1996.1909,1996.1745,1996.159,1995.3995,1997.2346,1996.1787,1961.9372,1961.9429,1995.3995,52392,1984.2692,1978.2059,1978.2033
2004.4925,1997.444,1962.0764,1997.3781,8,6,25,1967.1893,1997.3876,1997.3989,1997.3887,1997.3804,1995.8548,2004.4827,1997.3913,1966.9801,1967.0096,1995.8548,52676,1985.1082,1978.9485,1978.9458
2012.4589,2011.5213,1967.1951,2011.3955,8,7,26,1970.051,2011.4178,2011.4407,2011.4192,2011.3993,2010.5952,2012.4575,2011.4245,1969.9318,1969.9424,2010.5952,36208,1993.4738,1980.1811,1980.1782
2016.3149,2012.4758,1980.2764,2005.0148,7,4,27,1981.3576,2011.4424,2011.4509,2011.4439,2005.0187,2003.4539,2016.3108,2011.4456,1981.2053,1981.2181,2003.4539,34396,1994.4348,1987.0306,1987.0249
2018.5599,2016.516,1981.3662,2016.4559,8,5,28,1984.7796,2016.4627,2016.4748,2016.4635,2016.4569,2011.2382,2018.5566,2016.4672,1984.6317,1984.6437,2011.2382,52392,2002.4732,1996.0578,1996.0532
2021.0367,2018.5706,1984.7849,2016.4422,7,6,29,1987.1257,2016.4758,2016.4814,2016.4766,2016.4468,2011.0562,2021.0328,2016.4793,1986.8839,1986.9033,2011.0562,52676,2002.3345,1996.5433,1996.5409
2024.2777,2022.0269,1987.1325,2021.897,8,7,30,1989.1398,2021.9205,2021.9404,2021.9225,2021.9021,2021.0766,2024.2749,2021.9283,1989.1025,1989.1062,2021.0766,34396,2010.8044,2004.5243,2004.5205
2037.2943,2036.4273,1989.1995,2036.3431,8,7,31,1992.4006,2036.3601,2036.3756,2036.3612,2036.3468,2035.7097,2037.2918,2036.365,1992.3557,1992.3601,2035.7097,36208,2029.0189,2011.2181,2011.2149
2041.191,2037.3141,1996.1938,2031.7626,7,7,32,1997.3478,2036.377,2036.3824,2036.3784,2031.7658,2030.7963,2041.1868,2036.3799,1997.2738,1997.2797,2030.7963,52676,2020.3381,2011.517,2011.5132
2043.8992,2041.2086,1997.4005,2029.3167,6,7,33,2004.6522,2036.3832,2036.3878,2036.3846,2029.3205,2028.5938,2043.8946,2036.3859,2004.5759,2004.5832,2028.5938,52392,2019.9007,2011.8709,2011.8656
2046.376,2044.1474,2011.4533,2044.0578,8,6,34,2012.5658,2044.0723,2044.0901,2044.0736,2044.062,2035.9922,2046.3715,2044.0794,2012.506,2012.5121,2035.9922,34396,2029.3057,2021.781,2021.7735
2049.2774,2046.6502,2012.5693,2046.5446,8,7,35,2016.4086,2046.562,2046.5825,2046.5638,2046.5483,2043.9554,2049.2751,2046.5698,2016.349,2016.3541,2043.9554,52392,2035.7979,2029.1137,2029.1103
2052.1942,2049.4216,2016.4828,2049.3748,8,6,36,2019.0063,2049.3846,2049.3943,2049.3856,2049.3773,2046.711,2052.192,2049.388,2018.7865,2018.8082,2046.711,52676,2037.7161,2031.6171,2031.6138
2065.1645,2064.0863,2019.0118,2063.9856,8,7,37,2021.128,2063.9963,2064.019,2063.9977,2063.987,2063.0637,2065.1635,2064.0036,2021.0787,2021.0849,2063.0637,36208,2047.4895,2036.1388,2036.1374
2068.649,2065.1815,2021.9438,2053.2754,7,7,38,2024.3867,2064.0203,2064.0263,2064.0222,2053.2776,2052.688,2068.6455,2064.0238,2024.3215,2024.3272,2052.688,34396,2043.2552,2036.3418,2036.3401
2070.7462,2068.6613,2036.3894,2063.7424,6,5,39,2037.5052,2064.0271,2064.0316,2064.0282,2063.7442,2062.4876,2070.7438,2064.0297,2037.361,2037.3741,2062.4876,52392,2054.2614,2044.7082,2044.6976
2073.2337,2070.7591,2037.5148,2063.3025,5,6,40,2041.5488,2064.0323,2064.0371,2064.0333,2063.3084,2062.5605,2073.2315,2064.0349,2041.2841,2041.306,2062.5605,52676,2055.7233,2047.4899,2047.4838
