ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1724.7391,1722.4722,348.59,1722.3533,12,0,0,590.7968,1722.3601,1722.3756,1722.3614,1722.3542,636.0428,1724.7369,1722.3651,348.6125,348.6173,636.0428,34792,630.6171,591.1548,591.1537
1821.8721,1724.7607,590.8025,1722.3297,11,1,1,824.5069,1722.3771,1722.3815,1722.3781,1722.3334,645.0694,1821.8662,1722.3792,590.8177,590.8218,645.0694,34792,639.9085,636.3155,636.3134
2220.6021,1821.8908,824.522,1722.3476,10,2,2,1047.4607,1722.3823,1722.386,1722.3833,1722.3485,1055.5115,2220.5857,1722.3842,824.5629,824.5677,1055.5115,34792,1050.6551,1047.779,1047.7756
2223.959,2220.6455,1047.4664,1722.3413,9,3,3,1047.7958,1722.3868,1722.3905,1722.3877,1722.3424,1313.2364,2223.9558,1722.3886,1047.4899,1047.4941,1313.2364,54988,1308.1657,1273.174,1273.1718
2230.9572,2224.221,1047.7992,2224.1144,12,4,4,1272.6913,2224.1435,2224.1554,2224.145,2224.1151,1313.3174,2230.9449,2224.1485,1047.813,1047.8165,1313.3174,55908,1308.2836,1273.4517,1273.449
2234.9989,2231.0032,1272.7104,2224.1383,11,5,5,1273.1109,2224.1565,2224.1605,2224.1574,2224.139,1507.1951,2234.9938,2224.1586,1272.7462,1272.7506,1507.1951,34792,1502.092,1498.4889,1498.4855
2238.3002,2235.0252,1273.1134,2224.1336,10,6,6,1497.8425,2224.1612,2224.1646,2224.1619,2224.1343,1537.6105,2238.2968,2224.163,1273.1225,1273.1247,1537.6105,52004,1532.9258,1498.6153,1498.6127
2241.694,2238.3154,1497.8577,2224.1094,9,7,7,1498.4314,2224.1651,2224.1685,2224.1659,2224.1101,1746.9771,2241.6901,2224.167,1497.8978,1497.9019,1746.9771,54988,1741.9003,1721.996,1721.9938
2248.5958,2241.7143,1498.4348,2224.0868,8,8,8,1721.5401,2224.1691,2224.1725,2224.1698,2224.0897,1732.9148,2248.5876,2224.171,1498.4478,1498.4514,1732.9148,55908,1726.6758,1722.0955,1722.0924
2253.6429,2248.6203,1721.5456,2224.124,7,9,9,1721.9398,2224.173,2224.1765,2224.1738,2224.1247,1768.1283,2253.6389,2224.1751,1721.5693,1721.5738,1768.1283,19660,1762.5253,1723.3519,1723.3493
2259.4977,2253.6609,1721.9433,2224.1288,6,10,10,1722.1433,2224.1771,2224.1807,2224.1778,2224.1294,1735.2038,2259.4926,2224.1791,1721.9545,1721.9574,1735.2038,34792,1728.9544,1723.4062,1723.4016
2264.7472,2259.5324,1722.147,2224.1043,5,11,11,1722.3046,2224.1813,2224.1846,2224.182,2224.1051,1735.5473,2264.7431,2224.183,1722.1597,1722.1625,1735.5473,52004,1729.0045,1723.4592,1723.4561
2267.4727,2264.7701,1722.392,2224.1194,4,8,12,1724.828,2224.1851,2224.1885,2224.1859,2224.1201,1767.6702,2267.4693,2224.1871,1724.7868,1724.7914,1767.6702,55604,1762.7601,1725.1389,1725.1332
2271.0086,2267.4912,1724.831,2224.0977,3,9,13,1822.1242,2224.1891,2224.1922,2224.1899,2224.0989,1832.6577,2271.0047,2224.1907,1821.966,1821.9862,1832.6577,55908,1827.702,1822.4215,1822.419
2275.1504,2271.3112,1822.1287,2271.2018,12,10,14,2220.9093,2271.234,2271.2499,2271.2359,2271.203,2236.1609,2275.1442,2271.2423,2220.7282,2220.7484,2236.1609,34792,2227.5344,2221.3801,2221.3761
2283.7704,2275.1742,2220.9168,2271.2152,11,11,15,2224.0429,2271.2512,2271.2569,2271.2523,2271.2161,2252.2616,2283.7628,2271.2544,2223.9947,2223.9998,2252.2616,52004,2230.6496,2224.8684,2224.8642
2286.8671,2283.7979,2224.1934,2271.2277,10,2,16,2231.6006,2271.2577,2271.2622,2271.2586,2271.2285,2256.3579,2286.8634,2271.2602,2231.2132,2231.4778,2256.3579,54988,2241.1717,2232.4985,2232.4945
2291.4087,2286.8801,2231.6083,2271.1871,9,3,17,2235.227,2271.2629,2271.2677,2271.2639,2271.1923,2257.3049,2291.4066,2271.2657,2235.1178,2235.1331,2257.3049,55604,2242.7129,2235.9524,2235.9458
2295.5501,2291.4215,2235.2318,2271.2089,8,4,18,2238.519,2271.2685,2271.2731,2271.2695,2271.2099,2262.1728,2295.5435,2271.2713,2238.3782,2238.3903,2262.1728,19660,2247.0604,2238.9368,2238.9336
2298.8541,2295.5949,2238.5271,2271.2213,7,5,19,2242.0919,2271.2738,2271.278,2271.2747,2271.2221,2266.3319,2298.8518,2271.2761,2241.8739,2241.909,2266.3319,55908,2250.5816,2242.8038,2242.7897
2309.487,2299.1059,2242.1056,2298.9921,12,6,20,2248.9605,2299.015,2299.0273,2299.0165,2298.9932,2271.1105,2309.4736,2299.0204,2248.7074,2248.7304,2271.1105,34792,2256.3435,2249.6819,2249.6759
2312.6195,2309.5282,2248.9797,2299.0089,11,7,21,2254.0945,2299.0284,2299.0327,2299.0293,2299.0096,2283.4161,2312.6147,2299.0306,2253.7929,2253.8232,2283.4161,52004,2267.8277,2255.4267,2255.4201
2315.1494,2312.6375,2254.1106,2298.9977,10,8,22,2260.1178,2299.0335,2299.0378,2299.0343,2298.999,2282.7428,2315.1457,2299.0362,2260.0268,2260.0372,2282.7428,54988,2267.9993,2261.7711,2261.763
2317.8675,2315.1631,2260.1245,2299.0041,9,9,23,2265.0397,2299.0385,2299.0424,2299.0393,2299.0048,2288.1972,2317.8653,2299.0404,2264.8469,2264.8604,2288.1972,55604,2273.7687,2265.4448,2265.4374
2320.652,2318.1415,2265.0477,2318.0219,12,10,24,2267.6689,2318.0471,2318.0614,2318.0482,2318.0229,2307.7712,2320.6505,2318.0516,2267.5532,2267.569,2307.7712,19660,2280.2042,2268.2069,2268.1976
2323.0228,2320.6671,2267.674,2298.9793,11,11,25,2271.1071,2318.0627,2318.0678,2318.0638,2298.9838,2293.7182,2323.02,2318.0653,2271.0459,2271.0519,2293.7182,55908,2280.6284,2271.888,2271.8819
