ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1437.5286,1436.7198,1416.6079,1436.6392,4,2,23,1417.7301,1436.6574,1436.674,1436.6585,1436.643,1436.1175,1437.5274,1436.6633,1417.5744,1417.5869,1436.1175,44428,1430.4648,1425.3811,1425.3784
1446.1978,1445.1948,1417.7371,1445.1371,4,3,24,1420.2705,1445.1554,1445.1741,1445.1569,1445.1409,1444.6053,1446.1962,1445.1615,1420.2025,1420.2098,1444.6053,54696,1439.634,1431.6897,1431.6861
1448.9522,1446.7725,1425.5509,1446.7306,4,3,25,1426.5403,1446.7419,1446.7524,1446.7431,1446.7327,1445.8195,1448.9493,1446.7461,1426.4753,1426.4822,1445.8195,44428,1441.4863,1436.53,1436.5284
1459.9176,1459.2019,1431.661,1459.1108,4,3,26,1432.6059,1459.1213,1459.137,1459.1223,1459.1126,1458.6945,1459.9164,1459.126,1432.5342,1432.5406,1458.6945,54696,1453.461,1444.9675,1444.9659
1462.3879,1459.9296,1436.6764,1457.185,3,3,27,1437.6085,1459.1384,1459.1446,1459.1394,1457.1889,1456.6301,1462.3851,1459.1425,1437.5552,1437.5602,1456.6301,44428,1452.1397,1446.2348,1446.2323
1468.1058,1467.1785,1445.1769,1467.1045,4,3,28,1446.3178,1467.1216,1467.1365,1467.1228,1467.1074,1466.5467,1468.1041,1467.1281,1446.2561,1446.261,1466.5467,44428,1461.3157,1457.0042,1457.0025
1474.6468,1473.7899,1446.7541,1473.7123,4,3,29,1449.0342,1473.73,1473.7492,1473.7316,1473.7156,1473.1003,1474.6454,1473.7375,1448.9813,1448.9854,1473.1003,54696,1466.0864,1459.0126,1459.0107
1478.9756,1477.9153,1459.1462,1477.8688,4,2,30,1460.1013,1477.8837,1477.8949,1477.8849,1477.8723,1477.195,1478.9741,1477.8879,1459.9725,1459.984,1477.195,44428,1472.0539,1466.9812,1466.9798
1488.7166,1487.7798,1460.1118,1487.6964,4,3,31,1462.4715,1487.7079,1487.728,1487.7092,1487.6983,1487.3489,1488.7151,1487.7145,1462.4245,1462.4294,1487.3489,54696,1483.1636,1473.6404,1473.6382
1491.1348,1488.7322,1467.1383,1487.3134,3,3,32,1468.2357,1487.7295,1487.7358,1487.7306,1487.3193,1486.6463,1491.1325,1487.7327,1468.1481,1468.1568,1486.6463,44428,1482.8336,1477.7473,1477.7457
1499.2391,1498.3343,1473.7516,1498.2447,4,3,33,1474.7493,1498.266,1498.2871,1498.2673,1498.2494,1497.6737,1499.2376,1498.2733,1474.6778,1474.6849,1497.6737,44428,1492.4322,1487.0248,1487.0225
1505.1371,1504.2245,1477.8969,1504.1514,4,3,34,1479.1091,1504.1683,1504.1852,1504.1695,1504.1546,1503.6371,1505.1361,1504.1741,1479.0248,1479.0355,1503.6371,54696,1496.0858,1487.6259,1487.6239
1510.43,1509.5239,1487.7375,1509.405,4,2,35,1488.9754,1509.4331,1509.4596,1509.4347,1509.4106,1508.6795,1510.4279,1509.4416,1488.8134,1488.8293,1508.6795,44428,1503.0783,1498.0695,1498.0669
1518.6532,1517.7438,1488.9885,1517.6596,4,3,36,1491.2244,1517.6778,1517.6967,1517.6792,1517.6629,1517.0715,1518.652,1517.6838,1491.167,1491.1709,1517.0715,54696,1512.144,1504.0186,1504.0165
1521.1412,1518.8679,1498.2899,1518.8021,4,3,37,1499.3355,1518.8152,1518.8281,1518.817,1518.8053,1517.4485,1521.1396,1518.8218,1499.2703,1499.2769,1517.4485,44428,1513.602,1509.2118,1509.2073
1530.1244,1529.0055,1504.1876,1528.9093,4,3,38,1505.2382,1528.9301,1528.9516,1528.9316,1528.9136,1528.3402,1530.1214,1528.9369,1505.1708,1505.1779,1528.3402,54696,1522.9345,1517.4993,1517.4972
