frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
15,0.0472,1.1659,0.6208,0.0038,0.6168,0.6095,0.0054,0.0008,0.1824,0.524,0.0078,0.0043,0.0049,0.0762,0.0052,0.037,0.0037,0.0033,0.0548,0.0592,0.0049,0.0618,0.289,0.0056,0.0194,0.0384,0.3654,0.5094,1.2757,4.1051,7,1994869664,1996053024,0,0,116476604,16,13,1,1,0,0,0,0
16,0.0432,1.3313,0.6409,0.0038,0.6368,0.6292,0.005,0.0011,0.267,0.651,0.0227,0.0142,0.0112,0.122,0.0067,0.0394,0.0036,0.0026,0.0337,0.0518,0.0022,0.036,0.2829,0.0039,0.0183,0.0265,0.3767,0.2767,0.2905,2.574,0,1994869664,1996050208,1,0,116476604,17,14,1,1,0,0,0,0
17,0.0562,1.5737,0.8383,0.0042,0.8337,0.8243,0.0069,0.001,0.2274,0.7091,0.0096,0.0059,0.0075,0.0977,0.0086,0.0771,0.006,0.0073,0.1058,0.078,0.004,0.0546,0.4132,0.003,0.012,0.0182,0.3717,0.2112,0.2115,2.6229,1,1994869664,1996047392,2,0,116476604,18,15,1,1,0,0,0,0
18,0.0514,1.5696,0.8254,0.0037,0.8214,0.8124,0.0064,0.0012,0.2173,0.7196,0.0089,0.005,0.0074,0.0862,0.0055,0.0517,0.0055,0.0178,0.1094,0.098,0.0059,0.0788,0.4241,0.005,0.0121,0.0274,0.5533,0.2974,0.2772,3.0661,2,1994869664,1996055136,0,0,116476604,19,16,1,1,0,0,0,0
19,0.0481,1.6528,0.8347,0.0051,0.8291,0.8189,0.0072,0.0012,0.2643,0.7875,0.0091,0.005,0.0088,0.1077,0.0048,0.1482,0.0157,0.0047,0.1026,0.0469,0.0027,0.0427,0.4481,0.0047,0.0166,0.0275,0.3958,0.3188,0.3092,2.9926,3,1994869664,1996060768,1,0,116476604,20,17,1,1,0,0,0,0
20,0.0537,1.7179,0.8369,0.0046,0.832,0.8202,0.0087,0.0014,0.297,0.8529,0.0099,0.0054,0.0083,0.1365,0.007,0.0588,0.006,0.0147,0.0773,0.0845,0.0068,0.1172,0.4743,0.0051,0.0152,0.0204,0.366,0.2343,0.4694,3.196,4,1994869664,1996060064,2,0,116476604,21,18,1,1,0,0,0,0
21,0.0425,1.2265,0.6814,0.0026,0.6784,0.6707,0.0056,0.001,0.2008,0.5199,0.0101,0.0051,0.0062,0.0812,0.0061,0.044,0.0049,0.0047,0.0569,0.0337,0.0019,0.0408,0.2566,0.0036,0.0116,0.0315,0.3454,0.1938,0.2901,2.2864,5,1994869664,1996045984,0,0,116476604,22,19,1,1,0,0,0,0
22,0.0406,1.5369,0.7714,0.0034,0.7678,0.7601,0.0059,0.0008,0.2492,0.7488,0.0137,0.0052,0.0065,0.1706,0.004,0.0868,0.0036,0.003,0.0876,0.035,0.0039,0.0642,0.4442,0.0028,0.0087,0.0147,0.3027,0.1833,0.3165,2.6134,6,1994869664,1996052320,1,0,116476604,23,20,1,1,0,0,0,0
23,0.0522,1.387,0.7402,0.0031,0.7367,0.7292,0.0057,0.0008,0.215,0.6083,0.0093,0.0068,0.0071,0.0914,0.0076,0.1156,0.0063,0.0034,0.0499,0.0359,0.002,0.0378,0.3306,0.0048,0.022,0.0417,0.274,0.209,0.2055,2.3819,7,1994869664,1996053024,2,0,116476604,24,21,1,1,0,0,0,0
24,0.0499,1.6602,0.8445,0.0036,0.8403,0.834,0.0048,0.001,0.2181,0.7997,0.0357,0.0131,0.0134,0.2611,0.0116,0.0652,0.0045,0.0036,0.0444,0.0439,0.002,0.0633,0.4779,0.0032,0.0034,0.0155,0.3364,0.2498,1.3264,3.9697,0,1994869664,1996050208,0,0,116476604,25,22,1,1,0,0,0,0
