frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
15,0.0425,1.4859,0.7696,0.0025,0.7669,0.7557,0.0082,0.0016,0.2465,0.7013,0.0088,0.005,0.0056,0.1327,0.0155,0.0796,0.0047,0.0071,0.0719,0.0528,0.0025,0.0501,0.3871,0.0037,0.014,0.0268,0.3646,0.3251,1.9081,4.7831,7,1994856992,1135721760,0,0,116476604,16,12,1,1,0,0,0,0
16,0.0457,1.6546,0.7119,0.0023,0.7094,0.7032,0.0047,0.001,0.2782,0.9062,0.0092,0.005,0.0049,0.1657,0.0222,0.0851,0.0139,0.0084,0.103,0.1296,0.0075,0.0551,0.5385,0.0023,0.0134,0.0381,0.4183,0.418,0.4447,3.4032,0,1994856992,1135714720,1,0,116476604,17,13,1,1,0,0,0,0
17,0.0477,1.4602,0.7088,0.0026,0.7057,0.6977,0.006,0.0009,0.2198,0.68,0.0118,0.0058,0.0056,0.1047,0.0048,0.0561,0.0041,0.0164,0.1119,0.0676,0.0027,0.0442,0.3845,0.0102,0.0367,0.1114,0.4278,0.3854,2.9055,6.3668,1,1994856992,1135718944,2,0,116476604,18,14,1,1,0,0,0,0
18,0.045,1.4414,0.6753,0.0023,0.6727,0.6686,0.003,0.0008,0.1744,0.7297,0.0067,0.0036,0.0126,0.0724,0.0063,0.0735,0.0066,0.02,0.1129,0.1302,0.004,0.08,0.469,0.009,0.0155,0.0381,0.3917,0.4696,2.8592,5.6655,2,1994856992,1135714016,0,0,116476604,19,15,1,1,0,0,0,0
19,0.0427,1.1976,0.6536,0.0026,0.6505,0.6433,0.0053,0.0007,0.2083,0.516,0.0076,0.0053,0.0048,0.0704,0.004,0.0353,0.004,0.0026,0.0601,0.047,0.0021,0.0483,0.2611,0.0033,0.0133,0.0377,0.2594,0.2825,1.4269,3.6811,3,1994856992,1135721056,1,0,116476604,20,16,1,1,0,0,0,0
20,0.0483,1.6329,0.8746,0.0026,0.8718,0.8564,0.0113,0.0021,0.2911,0.7192,0.0112,0.0063,0.007,0.0838,0.0034,0.0808,0.0035,0.0043,0.0883,0.0505,0.0022,0.057,0.3604,0.0099,0.0176,0.0358,0.4718,1.1513,4.0078,8.778,4,1994856992,1135709088,2,0,116476604,21,17,1,1,0,0,0,0
21,0.0556,1.6537,0.7616,0.0032,0.7581,0.7497,0.0064,0.0009,0.212,0.8547,0.0111,0.0053,0.0065,0.1237,0.0103,0.1264,0.0078,0.0061,0.1093,0.1259,0.0018,0.0841,0.5694,0.0042,0.0234,0.017,0.3445,0.3938,1.7512,4.5537,5,1994856992,1135710496,0,0,116476604,22,18,1,1,0,0,0,0
22,0.0416,1.4831,0.7444,0.0029,0.7412,0.7361,0.0038,0.0009,0.2457,0.7112,0.0101,0.0045,0.0054,0.1296,0.0065,0.0895,0.0052,0.0034,0.072,0.0585,0.0018,0.0595,0.4091,0.0027,0.0093,0.0217,0.2788,0.42,0.513,3.1417,6,1994856992,1135720352,1,0,116476604,23,19,1,1,0,0,0,0
23,0.0432,1.4065,0.7432,0.0024,0.7405,0.7342,0.0046,0.0009,0.1899,0.6376,0.0089,0.0059,0.0057,0.1243,0.0071,0.0686,0.0052,0.0036,0.0815,0.0615,0.002,0.056,0.3919,0.0025,0.0058,0.0395,1.4499,1.653,2.2921,8.0151,7,1994856992,1135721760,2,0,116476604,24,20,1,1,0,0,0,0
24,0.0476,1.3985,0.6346,0.0028,0.6316,0.6264,0.0038,0.0007,0.2661,0.7394,0.0198,0.0036,0.0051,0.085,0.0037,0.0603,0.0073,0.0036,0.1075,0.0787,0.0041,0.0721,0.4036,0.0034,0.0066,0.0262,0.2973,0.4885,0.3708,3.0008,0,1994856992,1135714720,0,0,116476604,25,21,1,1,0,0,0,0
25,0.0533,2.0052,0.8598,0.0045,0.855,0.844,0.008,0.0014,0.3421,1.1188,0.0128,0.0056,0.0087,0.2114,0.0104,0.1498,0.0058,0.0036,0.1415,0.1134,0.0036,0.0874,0.7035,0.0037,0.0171,0.0283,0.6073,0.4402,0.555,3.9994,1,1994856992,1135718944,1,0,116476604,26,22,1,1,0,0,0,0
26,0.0425,1.3294,0.8191,0.0037,0.8149,0.8069,0.0058,0.001,0.201,0.4801,0.0077,0.0066,0.0054,0.0627,0.0026,0.0326,0.004,0.0024,0.0593,0.0397,0.0021,0.0393,0.2336,0.0028,0.0135,0.0417,0.356,0.5072,2.555,6.0534,2,1994856992,1135714016,2,0,116476604,27,23,1,1,0,0,0,0
27,0.0452,1.5079,0.7841,0.0022,0.7817,0.7759,0.0042,0.0011,0.2354,0.6614,0.01,0.0046,0.0075,0.0863,0.0247,0.0623,0.0078,0.0028,0.0709,0.0608,0.0026,0.0584,0.3387,0.0087,0.0403,0.0563,0.3198,0.9297,2.6071,6.9613,3,1994856992,1135721056,0,0,116476604,28,24,1,1,0,0,0,0
28,0.0585,1.6185,0.8068,0.004,0.8026,0.7893,0.0095,0.0019,0.3383,0.7478,0.0068,0.0041,0.0053,0.0676,0.0026,0.031,0.0022,0.0091,0.0684,0.094,0.0043,0.0815,0.3425,0.0079,0.0353,0.0616,0.4426,0.26,0.3886,3.0952,4,1994856992,1135709088,1,0,116476604,29,25,1,1,0,0,0,0
29,0.0496,2.4997,1.001,0.0027,0.998,0.9879,0.0072,0.0013,0.3282,1.4117,0.0115,0.0075,0.0113,0.1109,0.0057,0.0586,0.0126,0.0224,0.2723,0.3019,0.0136,0.2099,0.9536,0.0177,0.0573,0.0657,1.3494,1.5027,2.3512,8.9281,5,1994856992,1135710496,2,0,116476604,30,26,1,1,0,0,0,0
30,0.132,3.9812,1.6251,0.0139,1.6107,1.5884,0.0172,0.0028,0.5167,2.3234,0.0288,0.0197,0.0247,0.8354,0.0224,0.1937,0.0221,0.0151,0.1853,0.2395,0.0103,0.1595,1.6134,0.0073,0.0208,0.0312,0.5518,0.4529,0.5549,6.122,6,1994856992,1135720352,0,0,116476604,31,27,1,1,0,0,0,0
31,0.0433,1.3164,0.6942,0.0023,0.6916,0.6859,0.0041,0.001,0.2225,0.5879,0.0094,0.0056,0.0053,0.0857,0.0037,0.0412,0.0032,0.0028,0.063,0.0784,0.0024,0.0489,0.3172,0.0043,0.0217,0.0266,0.2835,0.2422,0.4333,2.5874,7,1994856992,1135721760,1,0,116476604,32,28,1,1,0,0,0,0
32,0.0456,1.4666,0.9241,0.0023,0.9216,0.9042,0.013,0.0025,0.196,0.4983,0.0069,0.0043,0.0054,0.0767,0.0103,0.0354,0.0045,0.004,0.0566,0.0404,0.0022,0.0388,0.2479,0.0043,0.0191,0.0332,0.3194,0.2543,0.3551,2.6647,0,1994856992,1135714720,2,0,116476604,33,29,1,1,0,0,0,0
33,0.0438,5.3105,0.6991,0.0025,0.6959,0.6876,0.0054,0.0017,0.2322,4.4922,0.0102,0.0059,0.0073,2.0025,0.0658,0.6224,0.0392,0.0207,0.4115,0.5217,0.0191,0.4654,4.0235,0.0283,0.0785,0.0875,2.6173,0.9639,1.5627,11.6175,1,1994856992,1135718944,0,0,116476604,34,30,1,1,0,0,0,0
34,0.0464,1.5708,0.7885,0.0025,0.7857,0.781,0.0033,0.001,0.2638,0.7566,0.0141,0.0064,0.007,0.1316,0.0091,0.073,0.0058,0.0043,0.0831,0.0671,0.0025,0.0664,0.4212,0.0043,0.0123,0.0252,0.2676,0.3057,2.4433,5.5838,2,1994856992,1135714016,1,0,116476604,35,31,1,1,0,0,0,0
35,0.0752,1.5631,0.9295,0.0029,0.926,0.9193,0.005,0.0009,0.212,0.6042,0.0098,0.0048,0.0069,0.0881,0.0062,0.057,0.0055,0.0052,0.0733,0.0569,0.0024,0.0554,0.3307,0.004,0.0113,0.0367,0.3629,0.3219,1.0076,3.7693,3,1994856992,1135721056,2,0,116476604,36,32,1,1,0,0,0,0
36,0.0431,1.1334,0.626,0.0045,0.6212,0.6164,0.0036,0.0008,0.1752,0.4867,0.0086,0.0038,0.0061,0.0665,0.0031,0.0392,0.0035,0.0042,0.0655,0.0474,0.0027,0.0446,0.2632,0.0039,0.0062,0.0376,0.3856,0.3946,0.8833,3.2039,4,1994856992,1135709088,0,0,116476604,37,33,1,1,0,0,0,0
37,0.0447,1.2099,0.7308,0.0022,0.7284,0.7221,0.0049,0.0008,0.1945,0.4628,0.0091,0.0037,0.0061,0.0685,0.0031,0.0341,0.0028,0.0017,0.0436,0.0329,0.0015,0.0478,0.2269,0.0025,0.0028,0.0262,0.3086,0.2642,0.3979,2.4242,5,1994856992,1135710496,1,0,116476604,38,34,1,1,0,0,0,0
38,0.0461,1.4229,0.6929,0.0025,0.6902,0.6758,0.0112,0.0015,0.3361,0.7096,0.0103,0.0052,0.0063,0.1087,0.005,0.0396,0.0022,0.0019,0.0485,0.0473,0.0016,0.0796,0.3237,0.0025,0.011,0.0222,0.3161,0.1977,0.3638,2.5555,6,1994856992,1135720352,2,0,116476604,39,35,1,1,0,0,0,0
39,0.0612,1.7634,0.8497,0.0048,0.8443,0.8364,0.0055,0.0013,0.301,0.8849,0.0103,0.0056,0.0087,0.1467,0.0048,0.0881,0.0028,0.0029,0.0759,0.1187,0.0124,0.0788,0.5082,0.0087,0.0181,0.0265,0.4464,0.3036,0.4728,3.4639,7,1994856992,1135721760,0,0,116476604,40,36,1,1,0,0,0,0
40,0.049,1.5205,0.7308,0.0028,0.7275,0.719,0.0065,0.001,0.2271,0.7677,0.0111,0.0056,0.0053,0.1611,0.0212,0.0928,0.0083,0.0026,0.0899,0.0606,0.0017,0.0608,0.4652,0.0026,0.0153,0.0672,0.3519,0.3148,0.3506,2.9251,0,1994856992,1135714720,1,0,116476604,41,37,1,1,0,0,0,0
41,0.0427,1.4242,0.6717,0.0033,0.6681,0.6602,0.0059,0.0009,0.1778,0.7379,0.0074,0.004,0.0051,0.1479,0.0094,0.0889,0.0053,0.0036,0.1002,0.0938,0.0018,0.0771,0.5079,0.0022,0.0074,0.0149,0.3007,0.3226,1.3393,4.4707,1,1994856992,1135718944,2,0,116476604,42,38,1,1,0,0,0,0
42,0.0429,1.5387,0.749,0.0021,0.7466,0.7339,0.0094,0.0017,0.2637,0.7692,0.0102,0.0065,0.01,0.153,0.0095,0.0761,0.0055,0.0042,0.0819,0.0698,0.003,0.0531,0.4339,0.0039,0.0126,0.0178,0.3579,0.2729,0.562,3.1781,2,1994856992,1135714016,0,0,116476604,43,39,1,1,0,0,0,0
43,0.0424,1.2811,0.6427,0.0023,0.6401,0.6319,0.0057,0.0012,0.1788,0.6104,0.0074,0.0038,0.0049,0.0943,0.0083,0.0928,0.0048,0.0045,0.0783,0.0569,0.0029,0.0561,0.3784,0.004,0.0167,0.0304,0.4009,0.2808,0.7489,3.1281,3,1994856992,1135721056,1,0,116476604,44,40,1,1,0,0,0,0
