ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy
1432.4075,1430.5122,426.3909,1430.3323,8,0,0,694.8143,1430.3398,1430.3515,1430.3409,1430.3333,733.3887,1432.4061,1430.3451,426.4153,426.42,697.0458,695.2436,733.3887,45600,733.3887,697.0761,695.1879,True
1525.3721,1432.4206,694.8201,1430.3212,7,1,1,937.3482,1430.354,1430.3578,1430.3549,1430.3247,737.5721,1525.3651,1430.356,694.8373,694.8412,735.6002,733.5195,737.5721,45600,737.5721,735.6092,733.4887,True
1915.8618,1525.6644,937.359,1525.5183,8,2,2,1187.2993,1525.5684,1525.5788,1525.5694,1525.522,1191.6736,1915.8553,1525.5723,937.401,937.4071,1189.9211,1188.0321,1191.6736,45600,1191.6736,1189.9372,1187.971,True
1919.0653,1915.8861,1187.3107,1525.5509,7,3,3,1187.5395,1525.6053,1525.6103,1525.6063,1525.5517,1470.0285,1919.0595,1525.6081,1187.3551,1187.359,1432.7513,1430.3833,1470.0285,42264,1470.0285,1432.8043,1430.3198,True
1921.9362,1919.0862,1187.5429,1525.5449,6,4,4,1429.7455,1525.6113,1525.615,1525.6122,1525.546,1471.452,1921.9336,1525.6133,1187.5552,1187.558,1432.9306,1430.5436,1471.452,41676,1471.452,1432.9618,1430.4726,True
1925.0908,1921.948,1429.7574,1525.5325,5,5,5,1430.2386,1525.616,1525.6202,1525.6169,1525.5336,1436.2244,1925.0853,1525.6182,1429.8031,1429.8098,1433.6153,1431.2984,1436.2244,45600,1436.2244,1433.6336,1431.233,True
1932.8789,1925.1152,1430.2413,1525.5392,4,6,6,1430.2728,1525.6211,1525.6245,1525.6219,1525.54,1470.9558,1932.8742,1525.6229,1430.2508,1430.253,1433.4815,1431.3572,1470.9558,4672,1470.9558,1433.5132,1431.2909,True
1935.37,1932.9004,1430.2744,1525.5628,3,7,7,1430.3006,1525.6252,1525.6286,1525.6259,1525.5634,1440.8446,1935.3682,1525.6269,1430.2817,1430.2832,1438.441,1436.3552,1440.8446,45600,1440.8446,1438.4503,1436.3234,True
1937.618,1935.3792,1430.3596,1525.5564,2,6,8,1432.4884,1525.6294,1525.6327,1525.6303,1525.5571,1443.1294,1937.6164,1525.6312,1432.442,1432.4457,1441.213,1440.972,1443.1294,45600,1443.1294,1441.2221,1440.9339,True
1940.3779,1937.8051,1432.4917,1937.7123,8,7,9,1525.4835,1937.75,1937.7604,1937.7511,1937.7151,1529.9736,1940.3757,1937.7541,1525.4198,1525.4255,1526.4379,1526.1723,1529.9736,45600,1529.9736,1526.4568,1526.1079,True
1943.1035,1940.3898,1525.6345,1937.7315,7,1,10,1916.0911,1937.7623,1937.7666,1937.7632,1937.7323,1923.4899,1943.0998,1937.7645,1915.9337,1915.9464,1919.011,1916.9071,1923.4899,42264,1923.4899,1919.031,1916.8394,True
1953.0728,1943.1164,1916.1025,1937.7247,6,2,11,1919.1783,1937.7676,1937.771,1937.7684,1937.7258,1928.431,1953.069,1937.7696,1919.1167,1919.1223,1921.9241,1919.5474,1928.431,4672,1928.431,1921.9445,1919.4799,True
1956.4691,1953.0863,1919.1851,1937.7375,5,3,12,1922.1073,1937.7724,1937.7757,1937.7733,1937.7383,1932.4138,1956.4668,1937.7742,1921.9889,1922.0011,1922.7871,1922.5098,1932.4138,41676,1932.4138,1922.8108,1922.4295,True
1959.1872,1956.4819,1922.1149,1937.7437,4,4,13,1925.2344,1937.7766,1937.7798,1937.7774,1937.7447,1928.8773,1959.1849,1937.7784,1925.1586,1925.169,1925.9519,1925.6283,1928.8773,45600,1928.8773,1925.9746,1925.5468,True
