frame,chart_key,value_str,split_valid,cursor_w,cursor_h,value_w,value_h
65,fit_cadence_text,None,1,7,341,154,52
66,fit_heart_rate_text,None,1,7,341,166,62
66,fit_cadence_text,None,1,7,341,154,52
67,fit_heart_rate_text,None,1,7,341,166,62
67,fit_cadence_text,None,1,7,341,154,52
68,fit_heart_rate_text,None,1,7,341,166,62
68,fit_cadence_text,None,1,7,341,154,52
69,fit_heart_rate_text,None,1,7,341,166,62
69,fit_cadence_text,None,1,7,341,154,52
70,fit_heart_rate_text,None,1,7,341,166,62
70,fit_cadence_text,None,1,7,341,154,52
71,fit_heart_rate_text,None,1,7,341,166,62
71,fit_cadence_text,None,1,7,341,154,52
72,fit_heart_rate_text,None,1,7,341,166,62
72,fit_cadence_text,None,1,7,341,154,52
73,fit_heart_rate_text,None,1,7,341,166,62
73,fit_cadence_text,None,1,7,341,154,52
74,fit_heart_rate_text,None,1,7,341,166,62
74,fit_cadence_text,None,1,7,341,154,52
75,fit_heart_rate_text,None,1,7,341,166,62
75,fit_cadence_text,None,1,7,341,154,52
76,fit_heart_rate_text,None,1,7,341,166,62
76,fit_cadence_text,None,1,7,341,154,52
77,fit_heart_rate_text,None,1,7,341,166,62
77,fit_cadence_text,None,1,7,341,154,52
78,fit_heart_rate_text,None,1,7,341,166,62
78,fit_cadence_text,None,1,7,341,154,52
79,fit_heart_rate_text,None,1,7,341,166,62
79,fit_cadence_text,None,1,7,341,154,52
80,fit_heart_rate_text,None,1,7,341,166,62
80,fit_cadence_text,None,1,7,341,154,52
81,fit_heart_rate_text,None,1,7,341,166,62
81,fit_cadence_text,None,1,7,341,154,52
82,fit_heart_rate_text,None,1,7,341,166,62
82,fit_cadence_text,None,1,7,341,154,52
83,fit_heart_rate_text,None,1,7,341,166,62
83,fit_cadence_text,None,1,7,341,154,52
84,fit_heart_rate_text,None,1,7,341,166,62
84,fit_cadence_text,None,1,7,341,154,52
85,fit_heart_rate_text,None,1,7,341,166,62
85,fit_cadence_text,None,1,7,341,154,52
86,fit_heart_rate_text,None,1,7,341,166,62
86,fit_cadence_text,None,1,7,341,154,52
87,fit_heart_rate_text,None,1,7,341,166,62
87,fit_cadence_text,None,1,7,341,154,52
88,fit_heart_rate_text,None,1,7,341,166,62
88,fit_cadence_text,None,1,7,341,154,52
89,fit_heart_rate_text,None,1,7,341,166,62
89,fit_cadence_text,None,1,7,341,154,52
90,fit_heart_rate_text,None,1,7,341,166,62
90,fit_cadence_text,None,1,7,341,154,52
91,fit_heart_rate_text,None,1,7,341,166,62
91,fit_cadence_text,None,1,7,341,154,52
92,fit_heart_rate_text,None,1,7,341,166,62
92,fit_cadence_text,None,1,7,341,154,52
93,fit_heart_rate_text,None,1,7,341,166,62
93,fit_cadence_text,None,1,7,341,154,52
94,fit_heart_rate_text,None,1,7,341,166,62
94,fit_cadence_text,None,1,7,341,154,52
95,fit_heart_rate_text,None,1,7,341,166,62
95,fit_cadence_text,None,1,7,341,154,52
96,fit_heart_rate_text,None,1,7,341,166,62
96,fit_cadence_text,None,1,7,341,154,52
97,fit_heart_rate_text,None,1,7,341,166,62
97,fit_cadence_text,None,1,7,341,154,52
98,fit_heart_rate_text,None,1,7,341,166,62
98,fit_cadence_text,None,1,7,341,154,52
99,fit_heart_rate_text,None,1,7,341,166,62
99,fit_cadence_text,None,1,7,341,154,52
100,fit_heart_rate_text,None,1,7,341,166,62
100,fit_cadence_text,None,1,7,341,154,52
101,fit_heart_rate_text,None,1,7,341,166,62
101,fit_cadence_text,None,1,7,341,154,52
102,fit_heart_rate_text,None,1,7,341,166,62
102,fit_cadence_text,None,1,7,341,154,52
103,fit_heart_rate_text,None,1,7,341,166,62
103,fit_cadence_text,None,1,7,341,154,52
104,fit_heart_rate_text,None,1,7,341,166,62
104,fit_cadence_text,None,1,7,341,154,52
105,fit_heart_rate_text,None,1,7,341,166,62
105,fit_cadence_text,None,1,7,341,154,52
106,fit_heart_rate_text,None,1,7,341,166,62
106,fit_cadence_text,None,1,7,341,154,52
107,fit_heart_rate_text,None,1,7,341,166,62
107,fit_cadence_text,None,1,7,341,154,52
108,fit_heart_rate_text,None,1,7,341,166,62
108,fit_cadence_text,None,1,7,341,154,52
109,fit_heart_rate_text,None,1,7,341,166,62
109,fit_cadence_text,None,1,7,341,154,52
110,fit_heart_rate_text,None,1,7,341,166,62
110,fit_cadence_text,None,1,7,341,154,52
111,fit_heart_rate_text,None,1,7,341,166,62
111,fit_cadence_text,None,1,7,341,154,52
112,fit_heart_rate_text,None,1,7,341,166,62
112,fit_cadence_text,None,1,7,341,154,52
113,fit_heart_rate_text,None,1,7,341,166,62
113,fit_cadence_text,None,1,7,341,154,52
114,fit_heart_rate_text,None,1,7,341,166,62
114,fit_cadence_text,None,1,7,341,154,52
115,fit_heart_rate_text,None,1,7,341,166,62
115,fit_cadence_text,None,1,7,341,154,52
116,fit_heart_rate_text,None,1,7,341,166,62
116,fit_cadence_text,None,1,7,341,154,52
117,fit_heart_rate_text,None,1,7,341,166,62
117,fit_cadence_text,None,1,7,341,154,52
118,fit_heart_rate_text,None,1,7,341,166,62
118,fit_cadence_text,None,1,7,341,154,52
119,fit_heart_rate_text,None,1,7,341,166,62
119,fit_cadence_text,None,1,7,341,154,52
120,fit_heart_rate_text,None,1,7,341,166,62
120,fit_cadence_text,None,1,7,341,154,52
121,fit_heart_rate_text,None,1,7,341,166,62
121,fit_cadence_text,None,1,7,341,154,52
122,fit_heart_rate_text,None,1,7,341,166,62
122,fit_cadence_text,None,1,7,341,154,52
123,fit_heart_rate_text,None,1,7,341,166,62
123,fit_cadence_text,None,1,7,341,154,52
124,fit_heart_rate_text,None,1,7,341,166,62
124,fit_cadence_text,None,1,7,341,154,52
125,fit_heart_rate_text,None,1,7,341,166,62
125,fit_cadence_text,None,1,7,341,154,52
126,fit_heart_rate_text,None,1,7,341,166,62
126,fit_cadence_text,None,1,7,341,154,52
127,fit_heart_rate_text,None,1,7,341,166,62
127,fit_cadence_text,None,1,7,341,154,52
128,fit_heart_rate_text,None,1,7,341,166,62
128,fit_cadence_text,None,1,7,341,154,52
129,fit_heart_rate_text,None,1,7,341,166,62
129,fit_cadence_text,None,1,7,341,154,52
130,fit_heart_rate_text,None,1,7,341,166,62
130,fit_cadence_text,None,1,7,341,154,52
131,fit_heart_rate_text,None,1,7,341,166,62
131,fit_cadence_text,None,1,7,341,154,52
132,fit_heart_rate_text,None,1,7,341,166,62
132,fit_cadence_text,None,1,7,341,154,52
133,fit_heart_rate_text,None,1,7,341,166,62
133,fit_cadence_text,None,1,7,341,154,52
134,fit_heart_rate_text,None,1,7,341,166,62
134,fit_cadence_text,None,1,7,341,154,52
135,fit_heart_rate_text,None,1,7,341,166,62
135,fit_cadence_text,None,1,7,341,154,52
136,fit_heart_rate_text,None,1,7,341,166,62
136,fit_cadence_text,None,1,7,341,154,52
137,fit_heart_rate_text,None,1,7,341,166,62
137,fit_cadence_text,None,1,7,341,154,52
138,fit_heart_rate_text,None,1,7,341,166,62
138,fit_cadence_text,None,1,7,341,154,52
139,fit_heart_rate_text,None,1,7,341,166,62
139,fit_cadence_text,None,1,7,341,154,52
140,fit_heart_rate_text,None,1,7,341,166,62
140,fit_cadence_text,None,1,7,341,154,52
141,fit_heart_rate_text,None,1,7,341,166,62
141,fit_cadence_text,None,1,7,341,154,52
142,fit_heart_rate_text,None,1,7,341,166,62
142,fit_cadence_text,None,1,7,341,154,52
143,fit_heart_rate_text,None,1,7,341,166,62
143,fit_cadence_text,None,1,7,341,154,52
144,fit_heart_rate_text,None,1,7,341,166,62
144,fit_cadence_text,None,1,7,341,154,52
145,fit_heart_rate_text,None,1,7,341,166,62
145,fit_cadence_text,None,1,7,341,154,52
146,fit_heart_rate_text,None,1,7,341,166,62
146,fit_cadence_text,None,1,7,341,154,52
147,fit_heart_rate_text,None,1,7,341,166,62
147,fit_cadence_text,None,1,7,341,154,52
148,fit_heart_rate_text,None,1,7,341,166,62
148,fit_cadence_text,None,1,7,341,154,52
149,fit_heart_rate_text,None,1,7,341,166,62
149,fit_cadence_text,None,1,7,341,154,52
150,fit_heart_rate_text,None,1,7,341,166,62
150,fit_cadence_text,None,1,7,341,154,52
151,fit_heart_rate_text,None,1,7,341,166,62
151,fit_cadence_text,None,1,7,341,154,52
152,fit_heart_rate_text,None,1,7,341,166,62
152,fit_cadence_text,None,1,7,341,154,52
153,fit_heart_rate_text,None,1,7,341,166,62
153,fit_cadence_text,None,1,7,341,154,52
154,fit_heart_rate_text,None,1,7,341,166,62
