frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
21,0.0574,1.4749,0.7503,0.0048,0.7452,0.7355,0.0073,0.0013,0.2985,0.6927,0.0114,0.1272,0.0746,0.1764,0.0039,0.0135,0.0373,0.382,0.2441,0.2797,2.6053,5,2894592480,2663143200,0,0,116476604,22,15,1,1,0,0,0
22,0.0556,1.4712,0.728,0.0035,0.7242,0.7156,0.0065,0.0012,0.2119,0.718,0.0118,0.1715,0.1089,0.2077,0.0054,0.0166,0.0235,0.3752,0.1972,0.3392,2.5951,6,2894592480,2663131232,1,0,116476604,23,16,1,1,0,0,0
23,0.0502,1.3079,0.6897,0.0101,0.6793,0.6736,0.0038,0.0011,0.203,0.5791,0.0106,0.121,0.0839,0.1549,0.0054,0.0224,0.0435,0.4226,0.2545,0.3651,2.6007,7,2894592480,2663143904,2,0,116476604,24,17,1,1,0,0,0
24,0.0474,1.7718,0.8022,0.002,0.7998,0.7896,0.008,0.0009,0.2107,0.9297,0.0126,0.2265,0.1822,0.2879,0.0094,0.0208,0.0321,0.6551,0.4032,0.4179,3.6066,0,2894592480,2663141088,0,0,116476604,25,18,1,1,0,0,0
25,0.1079,1.3073,0.6835,0.0043,0.6787,0.6692,0.0059,0.0012,0.3106,0.5945,0.0246,0.1386,0.0395,0.0782,0.0028,0.0154,0.0253,0.3423,0.2202,0.341,2.4976,1,2894592480,2663136864,1,0,116476604,26,19,1,1,0,0,0
26,0.0463,1.2604,0.6451,0.0021,0.6427,0.6343,0.0065,0.0014,0.2234,0.5828,0.0104,0.084,0.0871,0.1702,0.0073,0.0168,0.0387,0.5665,0.3406,0.4463,2.9314,2,2894592480,2663135456,2,0,116476604,27,20,1,1,0,0,0
27,0.0463,1.2666,0.6579,0.002,0.6556,0.6434,0.0096,0.0013,0.1998,0.5689,0.0095,0.09,0.0737,0.191,0.0045,0.0236,0.0391,0.2951,0.1821,0.2129,2.1552,3,2894592480,2663141792,0,0,116476604,28,21,1,1,0,0,0
28,0.0394,1.0667,0.5948,0.0022,0.5924,0.5848,0.006,0.0007,0.168,0.4424,0.0068,0.0674,0.0598,0.1375,0.0025,0.0169,0.0311,0.2908,0.1285,0.1522,1.7923,4,2894592480,2663137568,1,0,116476604,29,22,1,1,0,0,0
29,0.043,1.1154,0.6273,0.0023,0.6248,0.6203,0.0032,0.0009,0.1724,0.4665,0.0077,0.0874,0.0487,0.147,0.0031,0.0082,0.0314,0.3271,0.1275,0.2102,1.9344,5,2894592480,2663143200,2,0,116476604,30,23,1,1,0,0,0
30,0.0388,1.341,0.6755,0.0021,0.6732,0.6614,0.0097,0.001,0.205,0.6521,0.0072,0.1607,0.0929,0.1843,0.0018,0.0074,0.0129,0.2575,0.1548,0.2508,2.1622,6,2894592480,2663131232,0,0,116476604,31,24,1,1,0,0,0
