frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
29,0.0434,0.9327,0.6074,0.0022,0.6051,0.1473,0.3163,0.0082,0.0622,0.0247,0.0717,0.0015,0.0089,0.0313,0.2957,0.1327,0.398,1.9477,1,30,26,0,0,0
30,0.0535,1.3896,0.8564,0.0042,0.8521,0.2536,0.5128,0.0099,0.0847,0.0445,0.1152,0.0033,0.0204,0.032,0.2563,0.1139,0.278,2.2065,2,31,27,0,0,0
31,0.0657,1.2908,0.8743,0.0025,0.8717,0.1568,0.4018,0.0096,0.0834,0.0381,0.1082,0.0044,0.0147,0.0336,0.3333,0.1284,0.1499,2.0841,3,32,28,0,0,0
32,0.0778,1.1798,0.6028,0.0025,0.6001,0.1378,0.5508,0.0106,0.1799,0.0786,0.1381,0.0046,0.0257,0.0379,0.2869,0.1453,0.2128,2.0516,0,33,29,0,0,0
33,0.0365,1.1671,0.7063,0.0023,0.704,0.1349,0.4494,0.0188,0.0969,0.0609,0.1348,0.0018,0.0114,0.0298,0.246,0.1308,0.1643,1.8612,1,34,30,0,0,0
34,0.0401,1.3179,0.6265,0.0022,0.6242,0.1388,0.674,0.0083,0.3317,0.0637,0.127,0.0029,0.0176,0.0258,0.2992,0.2924,0.5391,2.688,2,35,31,0,0,0
35,0.0477,1.2441,0.7316,0.0023,0.7292,0.1374,0.5026,0.0079,0.1821,0.0585,0.1118,0.003,0.0105,0.0179,0.3093,0.186,0.1818,2.0914,3,36,32,0,0,0
36,0.0444,1.3167,0.7237,0.0025,0.721,0.2051,0.5852,0.0105,0.1587,0.067,0.1403,0.0021,0.0085,0.0135,0.2469,0.1232,0.1538,1.9811,0,37,33,0,0,0
37,0.039,1.062,0.6482,0.0023,0.6458,0.1608,0.3935,0.0084,0.074,0.0352,0.1117,0.0023,0.0199,0.0346,0.2898,0.1102,0.1518,1.7655,1,38,34,0,0,0
38,0.0433,1.1545,0.6303,0.0023,0.6279,0.1858,0.4993,0.0097,0.1301,0.0735,0.0965,0.0028,0.0248,0.0375,0.3118,0.1387,0.1669,1.952,2,39,35,0,0,0
39,0.04,1.3674,0.6674,0.0022,0.6652,0.2046,0.6932,0.0116,0.1833,0.0741,0.2165,0.0017,0.0071,0.0136,0.2909,0.1793,0.1778,2.2032,3,40,36,0,0,0
40,0.0423,1.1446,0.632,0.0026,0.6294,0.1313,0.4936,0.008,0.0791,0.1095,0.1611,0.0032,0.0189,0.0352,0.3309,0.1976,0.3098,2.1964,0,41,37,0,0,0
41,0.0428,1.4429,0.6934,0.0019,0.6914,0.1958,0.7392,0.0263,0.268,0.0738,0.17,0.0036,0.0105,0.0268,0.552,0.2045,0.3772,2.7736,1,42,38,0,0,0
42,0.0437,1.213,0.6613,0.0024,0.6589,0.1434,0.5298,0.0088,0.1116,0.1156,0.1447,0.004,0.0221,0.0291,0.3664,0.2096,0.226,2.221,2,43,39,0,0,0
43,0.0407,1.3839,0.6498,0.0025,0.6472,0.19,0.7215,0.0083,0.2294,0.0923,0.1964,0.0038,0.0128,0.0163,0.9371,0.005,0,2.3851,3,44,39,0,24,0
44,0.0436,1.3563,0.6781,0.0026,0.6754,0.2464,0.6678,0.0127,0.1542,0.069,0.1785,0.0051,0.011,0.0178,0.8223,0.2071,0.3026,2.8698,0,45,40,0,0,0
