frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0436,20.8163,0.0157,0.0025,0.013,0.0107,0.001,0.0009,4.5569,20.7854,0.0111,15.8066,0.0513,0.355,0.004,0.0145,0.0573,5.1654,0.0048,0,26.09,0,806363936,2095940960,0,0,116476604,1,0,1,0,0,24,0
1,0.058,1.1413,0.6469,0.0044,0.6422,0.6381,0.0027,0.0008,0.2105,0.4907,0.0181,0.117,0.0578,0.0848,0.0019,0.0031,0.0157,18.5612,0.007,0,19.7854,1,806363936,2095941664,1,0,116476604,2,0,1,0,0,24,0
2,0.0468,1.4433,0.7915,0.003,0.7883,0.777,0.0086,0.0015,0.3047,0.639,0.0117,0.1048,0.0457,0.1676,0.0035,0.0114,0.0217,20.9819,0.2946,0.4449,23.5702,2,806363936,2095931104,2,0,116476604,3,1,1,1,0,0,0
3,0.0566,1.6962,0.9458,0.0031,0.9424,0.9302,0.0092,0.0013,0.3352,0.7395,0.0133,0.159,0.0975,0.1309,0.0027,0.0097,0.022,0.4786,0.0033,0,2.2592,3,806363936,806366752,0,0,116476604,4,1,1,0,0,24,0
4,0.0402,1.8723,0.6191,0.0024,0.6165,0.6082,0.0061,0.0015,0.3979,1.2473,0.0075,0.3614,0.1627,0.3147,0.0027,0.0051,0.0136,44.8677,0.1388,0.1559,47.1882,4,806363936,806361824,1,0,116476604,5,2,1,1,0,0,0
5,0.047,1.8326,0.7902,0.0026,0.7874,0.7823,0.0038,0.0009,0.2289,1.0381,0.0083,0.1729,0.2956,0.3294,0.0027,0.0037,0.0128,0.3828,0.0031,0,2.2798,5,806363936,806373088,2,0,116476604,6,2,1,0,0,24,0
6,0.041,2.4409,0.7119,0.0023,0.7093,0.6991,0.0072,0.0017,0.5574,1.7226,0.0246,0.3795,0.3011,0.4552,0.0039,0.0056,0.0147,62.4867,0.8825,1.109,67.5779,6,806363936,806373792,0,0,116476604,7,3,1,1,0,0,0
7,0.0726,5.4856,1.1868,0.0035,1.1828,1.164,0.0135,0.0029,0.6991,4.2524,0.0102,0.5394,1.4571,1.53,0.014,0.0423,0.0714,3.095,0.0248,0,8.7605,7,806363936,806358304,1,0,116476604,8,3,1,0,0,24,0
8,0.0412,0.9776,0.5963,0.0024,0.5937,0.5894,0.0032,0.001,0.1722,0.3773,0.0072,0.0715,0.0492,0.0745,0.0024,0.0032,0.0249,0.5965,0.1559,0.2362,2.1596,0,806363936,2095940960,2,0,116476604,9,4,1,1,0,0,0
9,0.0424,1.2894,0.7176,0.0022,0.7151,0.7042,0.0081,0.0013,0.2792,0.5631,0.0269,0.1123,0.045,0.0956,0.0031,0.0078,0.0188,1.099,0.0059,0,2.458,1,806363936,2095941664,0,0,116476604,10,4,1,0,0,24,0
10,0.0394,34.5909,33.2544,0.0022,33.252,33.2291,0.0176,0.0025,0.661,1.3108,0.0601,0.2345,0.1615,0.1857,0.0073,0.0234,0.0419,0.9415,0.2344,0.2536,36.3155,2,806363936,2095931104,1,0,116476604,11,5,1,1,0,0,0
11,0.0509,2.1312,1.0465,0.0025,1.0438,1.0223,0.0174,0.0015,0.4216,1.0635,0.0153,0.1894,0.1408,0.2864,0.0093,0.0189,0.0373,0.4444,0.1723,0.1712,3.1687,3,806363936,806366752,2,0,116476604,12,6,1,1,0,0,0
12,0.0407,1.4115,0.7105,0.0021,0.7083,0.6963,0.0092,0.0013,0.2265,0.6921,0.0071,0.0882,0.1546,0.2121,0.003,0.008,0.0129,0.4297,0.1858,0.1175,2.3052,4,806363936,806361824,0,0,116476604,13,7,1,1,0,0,0
13,0.0673,6.8218,5.6008,0.0031,5.5971,5.583,0.0112,0.0019,0.4756,1.2004,0.0195,0.3161,0.1437,0.2373,0.0074,0.0185,0.0416,1.5123,0.0096,0,8.4565,5,806363936,806373088,1,0,116476604,14,7,1,0,0,24,0
14,0.0386,1.2685,0.7033,0.0022,0.7009,0.6889,0.0093,0.0014,0.2058,0.557,0.0069,0.0902,0.0649,0.1858,0.003,0.0075,0.014,1.0219,0.0074,0,2.353,6,806363936,806373792,2,0,116476604,15,7,1,0,0,24,0
15,0.0469,27.262,25.4537,0.0026,25.4509,25.416,0.0275,0.0039,0.6721,1.7797,0.058,0.368,0.2614,0.4068,0.0115,0.0265,0.0515,1.7309,0.4162,0.305,30.1069,7,806363936,806358304,0,0,116476604,16,8,1,1,0,0,0
16,0.1016,2.1357,1.4976,0.0045,1.4929,1.4815,0.009,0.0012,0.2749,0.6051,0.0117,0.118,0.0541,0.1398,0.0061,0.0159,0.025,0.4036,0.2832,0.5248,3.7387,0,806363936,2095940960,1,0,116476604,17,9,1,1,0,0,0
