frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0645,13.4699,0.0112,0.0024,4.9971,13.4032,0.0217,5.8141,0.1152,2.3751,0.0786,0.0526,0.1885,8.8032,0.0165,0,22.5592,0,1,0,0,24,0
1,0.0475,1.5113,0.7062,0.0023,0.2091,0.7769,0.0268,0.2036,0.1031,0.2279,0.0059,0.0269,0.0408,11.0596,0.2466,0.4606,13.5897,1,2,1,0,0,0
2,0.0396,1.4201,0.7299,0.0023,0.2628,0.6818,0.0237,0.211,0.0824,0.0952,0.0052,0.0085,0.017,0.509,0.007,0,1.9953,2,3,1,0,24,0
3,0.0426,1.3078,0.6352,0.0024,0.1609,0.6549,0.0092,0.1305,0.0436,0.3013,0.0087,0.0171,0.0261,0.7703,0.1193,0.3944,2.7322,3,4,2,0,0,0
4,0.0628,3.0994,1.063,0.0022,0.6792,2.0271,0.0675,0.6483,0.1464,0.4799,0.0034,0.0105,0.0164,0.722,0.0054,0,3.9086,0,5,2,0,24,0
5,0.0728,3.8757,1.3411,0.0033,0.3866,2.489,0.0142,0.4926,0.5566,1.0211,0.0142,0.0443,0.072,2.6145,0.7066,0.7709,8.5218,1,6,3,0,0,0
6,0.0554,1.4919,0.7554,0.0028,0.185,0.7262,0.0264,0.1914,0.1075,0.2087,0.0055,0.0105,0.02,0.3761,0.1768,0.2386,2.4578,2,7,4,0,0,0
7,0.0433,1.9014,1.0686,0.0031,0.3119,0.8193,0.0163,0.1639,0.1161,0.2051,0.0026,0.015,0.0257,0.523,0.192,0.2501,3.0503,3,8,5,0,0,0
8,0.045,1.4317,0.7668,0.0023,0.2096,0.6431,0.0109,0.1342,0.1015,0.1819,0.0031,0.0223,0.029,0.3182,0.1572,0.2539,2.3675,0,9,6,0,0,0
9,0.045,1.1031,0.6717,0.002,0.1542,0.4205,0.0229,0.0951,0.0329,0.1115,0.0027,0.0105,0.0326,0.2877,0.1407,0.1567,1.8398,1,10,7,0,0,0
10,0.0382,1.6512,0.6403,0.0021,0.1875,0.9947,0.0103,0.4731,0.1077,0.2109,0.0042,0.016,0.0178,0.2831,0.2015,0.2466,2.5475,2,11,8,0,0,0
11,0.0486,1.4685,0.7847,0.0031,0.2175,0.6776,0.0228,0.1514,0.1075,0.1749,0.0019,0.0065,0.0162,0.4433,0.8983,0.8923,4.1888,3,12,9,0,0,0
12,0.0622,1.5807,0.8675,0.0061,0.2372,0.7012,0.0128,0.1503,0.0842,0.2118,0.0033,0.0118,0.0195,0.433,0.2551,0.3978,2.8959,0,13,10,0,0,0
13,0.0596,3.8522,0.8174,0.0035,0.8657,2.9877,0.0368,0.5453,0.3819,1.1245,0.0283,0.0458,0.0637,2.079,0.9472,0.5944,8.0325,1,14,11,0,0,0
14,0.0797,2.2278,1.1608,0.0087,0.3738,1.0467,0.0183,0.2658,0.0954,0.2827,0.0086,0.0203,0.0299,0.4826,0.2545,0.3078,3.5244,2,15,12,0,0,0
15,0.0615,1.4316,0.8761,0.0033,0.1763,0.5391,0.0114,0.1216,0.0647,0.1624,0.0021,0.016,0.0283,0.4927,0.1697,0.2146,2.4869,3,16,13,0,0,0
16,0.0704,1.8425,1.192,0.0036,0.2615,0.6213,0.0195,0.1109,0.0416,0.1828,0.0026,0.0288,0.043,0.5242,0.3721,0.4021,3.5111,0,17,14,0,0,0
