frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0676,8.8058,0.0145,0.0033,0.0109,0.0087,0.0009,0.0009,4.8153,8.7808,0.0216,3.4441,0.0772,0.4084,0.0137,0.0099,0.0348,4.119,0.0178,0,13.0492,0,719924000,313562848,0,0,116476604,1,0,1,0,0,24,0
1,0.0474,1.2166,0.5525,0.0036,0.5486,0.5429,0.004,0.0009,0.1802,0.6515,0.0245,0.2112,0.0963,0.1356,0.0032,0.0122,0.0159,13.5772,0.249,0.6083,16.0197,1,719924000,313563552,1,0,116476604,2,1,1,1,0,0,0
2,0.0452,1.4952,0.717,0.0021,0.7147,0.7101,0.0031,0.0009,0.1583,0.7506,0.0075,0.1027,0.0949,0.3813,0.0055,0.0254,0.0241,0.4651,0.0058,0,2.0387,2,719924000,313564256,2,0,116476604,3,1,1,0,0,24,0
3,0.0408,1.1753,0.5893,0.0021,0.5869,0.5815,0.0036,0.0011,0.1663,0.5777,0.0084,0.1018,0.0427,0.2554,0.0024,0.0078,0.0175,0.6043,0.1246,0.1997,2.2284,3,719924000,719928224,0,0,116476604,4,2,1,1,0,0,0
4,0.052,2.592,0.8001,0.0064,0.7935,0.7888,0.003,0.0011,0.5175,1.7716,0.0123,0.344,0.3048,0.5841,0.0084,0.0191,0.0237,28.5111,0.013,0,31.1967,0,719924000,313562848,1,0,116476604,5,2,1,0,0,24,0
5,0.0935,2.643,0.9979,0.0044,0.9927,0.9816,0.008,0.0017,0.3848,1.5987,0.0128,0.4003,0.3324,0.4526,0.0132,0.0434,0.0584,4.9515,0.0321,0,7.7898,1,719924000,313563552,2,0,116476604,6,2,1,0,0,24,0
6,0.0392,1.0349,0.6626,0.0021,0.6603,0.6558,0.0033,0.0008,0.1591,0.3638,0.016,0.0892,0.0346,0.0619,0.0024,0.0081,0.0141,0.4942,0.1563,0.2911,2.1218,2,719924000,313564256,0,0,116476604,7,3,1,1,0,0,0
7,0.0886,1.4605,0.897,0.0026,0.8939,0.884,0.0076,0.0013,0.2287,0.5505,0.0115,0.1472,0.0416,0.1191,0.0021,0.011,0.0285,0.4041,0.2724,0.4591,2.8636,3,719924000,719928224,1,0,116476604,8,4,1,1,0,0,0
8,0.0605,1.2189,0.7379,0.0028,0.7349,0.7277,0.0049,0.001,0.1897,0.4667,0.015,0.1212,0.0313,0.1073,0.0016,0.0133,0.0371,0.4981,0.3061,0.2461,2.5342,0,719924000,313562848,2,0,116476604,9,5,1,1,0,0,0
9,0.04,1.2888,0.7884,0.0019,0.7863,0.778,0.0067,0.0007,0.1574,0.4899,0.0185,0.1454,0.0676,0.0972,0.0031,0.0092,0.0177,0.8227,0.0067,0,2.179,1,719924000,313563552,0,0,116476604,10,5,1,0,0,24,0
