frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
21,0.0361,24.8813,24.3317,0.0022,24.3293,24.3157,0.0108,0.0012,0.2462,0.5309,0.0097,0.129,0.0516,0.0908,0.003,0.0126,0.0178,0.4259,0.1965,0.1661,25.8234,1,3216181792,3209962272,0,0,116476604,22,17,2,1,0,0,0
22,0.0973,12.0859,11.5246,0.0095,11.5146,11.5032,0.009,0.001,0.2591,0.5444,0.0112,0.113,0.04,0.1129,0.0079,0.011,0.0165,0.2787,0.1267,0.155,12.8239,2,3216181792,3209950304,1,0,116476604,23,18,2,1,0,0,0
23,0.0651,5.0474,3.4803,0.0051,3.4747,3.4592,0.0118,0.0018,0.869,1.5353,0.0124,0.3185,0.1093,0.2171,0.0075,0.0196,0.0244,0.4458,0.2456,0.1496,6.0842,3,3216181792,3209962976,2,0,116476604,24,19,2,1,0,0,0
24,0.0704,26.2192,23.5067,0.0041,23.5023,23.4658,0.026,0.0048,1.1808,2.6295,0.0352,0.6069,0.2716,0.5182,0.0131,0.0407,0.0618,1.1206,0.4323,0.35,28.5642,0,3216181792,3209960864,0,0,116476604,25,20,2,1,0,0,0
25,0.0624,25.9158,24.8274,0.0029,24.8241,24.8037,0.0168,0.0019,0.3451,1.005,0.0126,0.2011,0.1335,0.3027,0.0086,0.0691,0.0277,1.3218,0.2322,0.1945,27.8843,1,3216181792,3209962272,1,0,116476604,26,21,2,1,0,0,0
26,0.052,4.2556,3.4624,0.0029,3.4592,3.4487,0.0071,0.0016,0.3234,0.7475,0.0099,0.1466,0.0961,0.1657,0.0052,0.0239,0.0651,2.0627,1.048,0.8347,8.8821,2,3216181792,3209950304,2,0,116476604,27,22,2,1,0,0,0
27,0.0545,1.4493,0.767,0.0035,0.7632,0.75,0.0087,0.0012,0.2892,0.6562,0.0106,0.1253,0.0478,0.1763,0.0063,0.0168,0.0229,0.4533,0.1931,0.1533,2.4187,3,3216181792,3209962976,0,0,116476604,28,23,2,1,0,0,0
28,0.0581,6.4581,5.866,0.0028,5.8629,5.8531,0.0068,0.0013,0.286,0.5709,0.0114,0.1153,0.0497,0.1046,0.0031,0.0116,0.0193,0.295,0.2072,0.2087,7.3537,0,3216181792,3209960864,1,0,116476604,29,24,2,1,0,0,0
29,0.0407,24.0892,22.1886,0.0024,22.186,22.1567,0.0225,0.0033,0.7911,1.8522,0.0212,0.4012,0.2424,0.3879,0.0066,0.0217,0.0285,0.6397,0.29,0.4889,25.7141,1,3216181792,3209962272,2,0,116476604,30,25,2,1,0,0,0
30,0.0543,17.5274,15.5941,0.0026,15.5908,15.5644,0.0212,0.0023,0.5915,1.8907,0.0149,0.3076,0.5112,0.4534,0.0104,0.027,0.0308,0.734,0.3461,0.2524,19.1032,2,3216181792,3209950304,0,0,116476604,31,26,2,1,0,0,0
31,0.0416,31.167,30.3926,0.0021,30.3902,30.3751,0.0115,0.0018,0.3195,0.7528,0.0113,0.1461,0.0777,0.1905,0.0066,0.0128,0.0209,0.2925,0.1404,0.1694,31.9152,3,3216181792,3209962976,1,0,116476604,32,27,2,1,0,0,0
32,0.0388,26.6294,25.6178,0.0028,25.6147,25.6002,0.0109,0.0016,0.3516,0.9831,0.0118,0.1837,0.1425,0.2866,0.006,0.0125,0.0198,0.4581,0.1743,0.2221,27.6402,0,3216181792,3209960864,2,0,116476604,33,28,2,1,0,0,0
33,0.0387,33.9003,32.3987,0.0021,32.3964,32.3679,0.024,0.002,0.5435,1.4726,0.017,0.2756,0.2023,0.4241,0.0085,0.016,0.0254,0.5922,0.2344,0.2342,35.1423,1,3216181792,3209962272,0,0,116476604,34,29,2,1,0,0,0
34,0.04,27.5996,26.4713,0.0022,26.4689,26.4553,0.0109,0.0011,0.2909,1.1081,0.0094,0.4512,0.0997,0.2515,0.0045,0.0125,0.0215,0.4296,0.1927,0.1555,28.5183,2,3216181792,3209950304,1,0,116476604,35,30,2,1,0,0,0
35,0.0404,22.9228,22.0434,0.0021,22.0411,22.0264,0.0114,0.0014,0.3672,0.8586,0.0103,0.1716,0.0942,0.2082,0.0061,0.0126,0.0198,0.3764,0.2493,0.3438,24.1997,3,3216181792,3209962976,2,0,116476604,36,31,2,1,0,0,0
36,0.0402,24.0164,23.2988,0.0024,23.2962,23.2828,0.011,0.001,0.2653,0.7011,0.0097,0.1121,0.0942,0.2141,0.0051,0.01,0.0156,0.304,0.1347,0.1323,24.7185,0,3216181792,3209960864,0,0,116476604,37,32,2,1,0,0,0
37,0.0373,13.9539,13.1008,0.0021,13.0983,13.0851,0.0103,0.0013,0.3536,0.8298,0.0134,0.1776,0.0953,0.1849,0.0043,0.0149,0.0185,0.3487,0.148,0.1619,14.7577,1,3216181792,3209962272,1,0,116476604,38,33,2,1,0,0,0
38,0.0422,13.9899,13.266,0.0022,13.2635,13.2506,0.0103,0.0011,0.3025,0.7062,0.0111,0.1842,0.0709,0.1335,0.0032,0.01,0.0157,0.263,0.133,0.153,14.6587,2,3216181792,3209950304,2,0,116476604,39,34,2,1,0,0,0
39,0.0369,20.6095,19.8661,0.0021,19.8637,19.851,0.0099,0.0014,0.2523,0.7269,0.0209,0.1559,0.0811,0.211,0.0049,0.0085,0.0174,0.2923,0.1214,0.1306,21.2762,3,3216181792,3209962976,0,0,116476604,40,35,2,1,0,0,0
40,0.0378,11.6163,10.8649,0.0026,10.8621,10.8496,0.01,0.0011,0.2355,0.733,0.0177,0.168,0.1009,0.2069,0.0033,0.0099,0.0154,0.2965,0.1745,0.1928,12.4231,0,3216181792,3209960864,1,0,116476604,41,36,2,1,0,0,0
41,0.0383,11.5891,11.0034,0.0024,11.0008,10.9888,0.0094,0.0011,0.2571,0.5715,0.0097,0.1354,0.0641,0.1005,0.0037,0.0088,0.014,0.2992,0.1271,0.1296,12.2655,1,3216181792,3209962272,2,0,116476604,42,37,2,1,0,0,0
42,0.0403,26.1946,25.4968,0.0024,25.4942,25.4809,0.0106,0.0012,0.2853,0.681,0.0098,0.1447,0.0816,0.1529,0.0061,0.0094,0.0146,0.313,0.1472,0.1704,26.9592,2,3216181792,3209950304,0,0,116476604,43,38,2,1,0,0,0
43,0.0443,11.9933,11.3887,0.0026,11.3859,11.3722,0.0106,0.0012,0.2858,0.5872,0.0072,0.1131,0.0505,0.1258,0.0041,0.0107,0.0137,0.2596,0.127,0.1481,12.6563,3,3216181792,3209962976,1,0,116476604,44,39,2,1,0,0,0
44,0.0389,15.3168,14.6014,0.002,14.5992,14.5831,0.0135,0.0011,0.2862,0.702,0.0103,0.1483,0.0806,0.1731,0.0027,0.0073,0.013,0.2441,0.1146,0.1289,15.9179,0,3216181792,3209960864,2,0,116476604,45,40,2,1,0,0,0
45,0.0381,23.2661,22.2432,0.002,22.2409,22.2227,0.0141,0.0022,0.4326,0.9983,0.0335,0.2522,0.0999,0.1723,0.0066,0.0141,0.0217,0.4993,0.2126,0.3064,24.4521,1,3216181792,3209962272,0,0,116476604,46,41,2,1,0,0,0
46,0.0375,22.9319,22.134,0.0026,22.1309,22.1175,0.0107,0.0012,0.2876,0.7812,0.0103,0.1744,0.1005,0.2036,0.0041,0.0097,0.0155,0.3297,0.1525,0.1741,23.722,2,3216181792,3209950304,1,0,116476604,47,42,2,1,0,0,0
47,0.0364,14.1286,13.3246,0.0021,13.3222,13.3074,0.0119,0.0013,0.3293,0.7875,0.0224,0.1318,0.122,0.1778,0.0035,0.0095,0.0172,0.3328,0.1502,0.2115,14.9469,3,3216181792,3209962976,2,0,116476604,48,43,2,1,0,0,0
48,0.037,15.2857,14.573,0.0023,14.5705,14.5555,0.0116,0.0018,0.2792,0.6653,0.0136,0.1349,0.1096,0.1237,0.0036,0.0102,0.0176,0.2592,0.1404,0.1491,15.969,0,3216181792,3209960864,0,0,116476604,49,44,2,1,0,0,0
49,0.0363,22.1487,20.6451,0.0021,20.6427,20.6154,0.023,0.0021,0.6732,1.4703,0.017,0.3463,0.175,0.2481,0.0092,0.0219,0.0256,0.5974,0.2447,0.2596,23.444,1,3216181792,3209962272,1,0,116476604,50,45,2,1,0,0,0
50,0.068,10.4269,9.7044,0.0091,9.6949,9.6857,0.007,0.0007,0.2835,0.7011,0.0146,0.1727,0.0887,0.1368,0.0036,0.013,0.0226,0.3623,0.1441,0.1663,11.2691,2,3216181792,3209950304,2,0,116476604,51,46,2,1,0,0,0
51,0.0419,23.6451,22.9933,0.0022,22.9906,22.9742,0.0122,0.0014,0.3444,0.6403,0.0245,0.1116,0.0576,0.099,0.0024,0.0052,0.0144,0.2906,0.2032,0.158,24.4811,3,3216181792,3209962976,0,0,116476604,52,47,2,1,0,0,0
52,0.0417,22.6433,21.6027,0.0023,21.5997,21.585,0.0113,0.0012,0.376,1.0154,0.0292,0.2518,0.1642,0.187,0.0063,0.0171,0.0211,0.4559,0.2373,0.2354,23.7495,0,3216181792,3209960864,1,0,116476604,53,48,2,1,0,0,0
53,0.0507,3.3499,2.7382,0.0027,2.7351,2.7226,0.0094,0.0014,0.3276,0.5945,0.011,0.0914,0.063,0.0952,0.0054,0.0084,0.023,0.3058,0.1434,0.151,4.0959,1,3216181792,3209962272,2,0,116476604,54,49,2,1,0,0,0
54,0.0437,22.5777,21.7841,0.0023,21.7812,21.7672,0.011,0.0015,0.3349,0.7664,0.0131,0.1623,0.0913,0.1572,0.0069,0.0167,0.0217,0.3559,0.1631,0.2708,23.5197,2,3216181792,3209950304,0,0,116476604,55,50,2,1,0,0,0
55,0.0464,13.119,12.5177,0.0022,12.5151,12.507,0.0052,0.0014,0.2771,0.5821,0.0113,0.1255,0.0582,0.1058,0.0034,0.0111,0.0202,0.3044,0.2168,0.2609,14.0848,3,3216181792,3209962976,1,0,116476604,56,51,2,1,0,0,0
56,0.0402,24.0274,23.4084,0.0023,23.4059,23.3957,0.0076,0.0013,0.294,0.6022,0.0076,0.1475,0.0591,0.0913,0.002,0.0109,0.015,0.2211,0.1409,0.1545,24.6738,0,3216181792,3209960864,2,0,116476604,57,52,2,1,0,0,0
57,0.0425,24.63,24.0086,0.0023,24.0061,23.9894,0.0131,0.0017,0.2605,0.6012,0.0092,0.1599,0.0584,0.1094,0.0032,0.0129,0.0174,0.2374,0.1454,0.1991,25.3481,1,3216181792,3209962272,0,0,116476604,58,53,2,1,0,0,0
58,0.0399,23.7972,22.7532,0.0024,22.7506,22.7331,0.0131,0.0019,0.5698,1.0265,0.0129,0.1806,0.0883,0.1699,0.0042,0.0103,0.0182,0.2948,0.1489,0.1302,24.506,2,3216181792,3209950304,1,0,116476604,59,54,2,1,0,0,0
59,0.047,21.6825,21.1226,0.0028,21.1196,21.1088,0.0082,0.001,0.3623,0.5429,0.0078,0.0753,0.0319,0.0629,0.0023,0.0081,0.0145,0.2145,0.1501,0.1633,22.3489,3,3216181792,3209962976,2,0,116476604,60,55,2,1,0,0,0
60,0.062,8.9862,8.375,0.0041,8.3703,8.3581,0.009,0.0016,0.3019,0.5966,0.0293,0.1314,0.0421,0.088,0.0031,0.0067,0.0166,0.2904,0.1941,0.2606,9.9195,0,3216181792,3209960864,0,0,116476604,61,56,2,1,0,0,0
