frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
21,0.0565,1.2272,0.6476,0.003,0.6443,0.6371,0.0058,0.0007,0.1949,0.5389,0.0087,0.0923,0.0409,0.1945,0.0072,0.0257,0.0365,0.3244,0.1393,0.1503,2.0155,1,1040447712,634102624,0,0,116476604,22,19,1,1,0,0,0
22,0.0642,1.9258,0.9337,0.0071,0.9263,0.9119,0.0111,0.0018,0.3552,0.9647,0.0167,0.2227,0.1854,0.1784,0.0054,0.0173,0.0239,0.4151,0.2992,0.2516,3.1415,2,1040447712,634104032,1,0,116476604,23,20,1,1,0,0,0
23,0.1743,5.8553,2.917,0.0185,2.8977,2.8547,0.0339,0.005,1.0364,2.85,0.0434,0.6777,0.4023,0.6674,0.0189,0.0477,0.0497,1.1535,0.4167,0.3503,8.2543,3,1040447712,634104736,2,0,116476604,24,21,1,1,0,0,0
24,0.0473,1.4133,0.685,0.0024,0.6824,0.6759,0.0049,0.0008,0.1876,0.6271,0.0105,0.0839,0.0851,0.2477,0.0117,0.0504,0.0614,0.483,0.1689,0.1767,2.4562,0,1040447712,634117408,0,0,116476604,25,22,1,1,0,0,0
25,0.0513,1.1632,0.7125,0.0027,0.7096,0.7023,0.0055,0.001,0.1975,0.4304,0.0084,0.0713,0.0503,0.0998,0.0026,0.0111,0.0211,0.3147,0.1692,0.1396,1.9249,1,1040447712,634102624,1,0,116476604,26,23,1,1,0,0,0
26,0.0463,2.6802,0.773,0.0028,0.7699,0.7625,0.0053,0.0014,0.2638,1.8229,0.0109,0.2151,0.43,0.8784,0.0221,0.0541,0.072,2.0689,1.0233,0.7839,7.1093,2,1040447712,634104032,2,0,116476604,27,24,1,1,0,0,0
27,0.0564,1.5637,0.8881,0.005,0.8825,0.8753,0.005,0.0014,0.2202,0.65,0.0098,0.1538,0.0974,0.162,0.0059,0.0182,0.0195,0.3546,0.1898,0.3415,2.6305,3,1040447712,634104736,0,0,116476604,28,25,1,1,0,0,0
28,0.0508,1.117,0.6607,0.0029,0.6575,0.6499,0.0061,0.0008,0.1846,0.4314,0.01,0.1045,0.0309,0.0972,0.0037,0.0101,0.0309,0.3504,0.1443,0.2933,2.084,0,1040447712,634117408,1,0,116476604,29,26,1,1,0,0,0
29,0.0398,1.0401,0.6362,0.0026,0.6333,0.6277,0.0043,0.0006,0.1862,0.3898,0.0079,0.0711,0.0294,0.0922,0.0023,0.0062,0.021,0.348,0.1774,0.2104,1.9073,1,1040447712,634102624,2,0,116476604,30,27,1,1,0,0,0
30,0.0405,1.2857,0.7046,0.0025,0.7019,0.6908,0.0084,0.0014,0.2339,0.5551,0.0102,0.102,0.047,0.1563,0.0047,0.0126,0.0316,0.2863,0.1458,0.2202,2.105,2,1040447712,634104032,0,0,116476604,31,28,1,1,0,0,0
31,0.038,1.202,0.5928,0.0022,0.5903,0.5832,0.0057,0.0007,0.2343,0.5871,0.0095,0.123,0.0801,0.1359,0.0034,0.009,0.0233,0.2372,0.1337,0.2239,1.9554,3,1040447712,634104736,1,0,116476604,32,29,1,1,0,0,0
32,0.0395,1.378,0.6822,0.0025,0.6795,0.6678,0.0093,0.0011,0.2407,0.6758,0.011,0.1472,0.095,0.1792,0.0022,0.0067,0.0146,0.2569,0.3171,0.3144,2.4729,0,1040447712,634117408,2,0,116476604,33,30,1,1,0,0,0
33,0.0407,1.4889,0.7602,0.0025,0.7575,0.7458,0.0091,0.0013,0.3799,0.6901,0.0087,0.0723,0.0869,0.1387,0.0032,0.0244,0.0316,0.2984,0.1956,0.8585,3.0859,1,1040447712,634102624,0,0,116476604,34,31,1,1,0,0,0
34,0.0388,1.5392,0.6658,0.0022,0.6634,0.6559,0.0062,0.0007,0.1713,0.8515,0.008,0.341,0.1337,0.1918,0.0053,0.0134,0.0172,0.2833,0.1547,0.212,2.3572,2,1040447712,634104032,1,0,116476604,35,32,1,1,0,0,0
35,0.0469,1.1344,0.6393,0.0024,0.6367,0.6281,0.0067,0.0008,0.1946,0.461,0.0076,0.0851,0.0424,0.1274,0.0034,0.0181,0.0318,0.2446,0.113,0.1643,1.809,3,1040447712,634104736,2,0,116476604,36,33,1,1,0,0,0
36,0.0411,1.1099,0.6477,0.003,0.6444,0.6359,0.0065,0.0008,0.1734,0.4268,0.008,0.08,0.055,0.1067,0.0033,0.0205,0.0309,0.317,0.3104,0.8373,3.0222,0,1040447712,634117408,0,0,116476604,37,34,1,1,0,0,0
37,0.0648,1.3556,0.8204,0.0032,0.8167,0.8089,0.0055,0.0008,0.2012,0.4918,0.0088,0.0947,0.0538,0.128,0.0049,0.0256,0.0456,1.408,0.7891,0.6706,4.72,1,1040447712,634102624,1,0,116476604,38,35,1,1,0,0,0
38,0.0387,1.2213,0.5825,0.002,0.5803,0.5714,0.006,0.0016,0.2254,0.6099,0.01,0.1166,0.0944,0.1582,0.0044,0.0128,0.0257,0.2776,0.1677,0.5113,2.3826,2,1040447712,634104032,2,0,116476604,39,36,1,1,0,0,0
39,0.038,1.1815,0.5612,0.0023,0.5587,0.553,0.0046,0.0007,0.1773,0.5968,0.0192,0.1627,0.0861,0.1461,0.0048,0.0058,0.0334,0.2821,0.1614,0.2359,2.0246,3,1040447712,634104736,0,0,116476604,40,37,1,1,0,0,0
