frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
21,0.0418,42.3234,41.4384,0.0027,41.4354,41.4216,0.0104,0.0015,0.3786,0.863,0.0141,0.2469,0.0786,0.1385,0.0051,0.0133,0.0212,0.3438,0.1529,0.1731,43.1268,1,318363552,2131811488,0,0,116476604,22,17,1,1,0,0,0
22,0.0397,29.5129,28.9783,0.0025,28.9752,28.9633,0.0091,0.0012,0.255,0.5171,0.0105,0.1039,0.0482,0.0946,0.0041,0.0097,0.0168,0.2288,0.1278,0.247,30.2529,2,318363552,2131796704,1,0,116476604,23,18,1,1,0,0,0
23,0.0394,29.4383,28.6436,0.0023,28.641,28.6319,0.0068,0.0009,0.3686,0.7745,0.0126,0.1804,0.0724,0.1338,0.0058,0.0119,0.0219,0.2656,0.1435,0.2605,30.2498,3,318363552,2131800224,2,0,116476604,24,19,1,1,0,0,0
24,0.0392,28.2751,27.6549,0.0024,27.6523,27.6374,0.0116,0.0015,0.3755,0.6001,0.0099,0.0949,0.0415,0.0747,0.003,0.0099,0.0164,0.2284,0.1408,0.1738,28.9784,0,318363552,2131810080,0,0,116476604,25,20,1,1,0,0,0
25,0.0389,27.0318,26.51,0.0025,26.5069,26.4926,0.0109,0.0017,0.3064,0.509,0.0094,0.0825,0.0374,0.0699,0.0029,0.008,0.0142,0.382,0.2055,0.1718,27.9406,1,318363552,2131811488,1,0,116476604,26,21,1,1,0,0,0
26,0.0411,18.3091,17.8321,0.0028,17.8289,17.8153,0.0102,0.0018,0.2645,0.4608,0.0081,0.0755,0.0366,0.0729,0.0028,0.0091,0.0229,0.3617,0.1311,0.1329,19.0635,2,318363552,2131796704,2,0,116476604,27,22,1,1,0,0,0
27,0.0676,17.6179,15.9656,0.0033,15.9617,15.931,0.0257,0.0028,0.6052,1.6204,0.0196,0.4231,0.2879,0.2718,0.0105,0.0213,0.0305,0.6441,0.3647,0.2736,19.1524,3,318363552,2131800224,0,0,116476604,28,23,1,1,0,0,0
28,0.0383,5.0652,4.3702,0.0027,4.3672,4.3545,0.0096,0.0015,0.3504,0.6824,0.0149,0.1331,0.0851,0.0941,0.0034,0.0074,0.0135,0.1983,0.1218,0.1224,5.6187,0,318363552,2131810080,1,0,116476604,29,24,1,1,0,0,0
29,0.0392,24.5594,23.8497,0.0024,23.8469,23.8339,0.0094,0.0017,0.3473,0.6964,0.0116,0.1597,0.0767,0.097,0.0031,0.0078,0.0137,0.2097,0.1329,0.1387,25.1585,1,318363552,2131811488,2,0,116476604,30,25,1,1,0,0,0
30,0.0659,15.6473,14.5682,0.0036,14.564,14.5334,0.0257,0.0025,0.4979,1.0476,0.0147,0.2613,0.1238,0.1428,0.0056,0.0203,0.0247,0.5874,0.3714,0.2016,17.0313,2,318363552,2131796704,0,0,116476604,31,26,1,1,0,0,0
