frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
22,0.0403,23.6945,23.1901,0.0021,23.188,23.179,0.0069,0.001,0.2162,0.493,0.0103,0.1039,0.0444,0.1154,0.0023,0.011,0.0174,0.2476,0.1254,0.2191,24.4369,2,190672352,2137256416,1,0,116476604,23,18,0,0,0
23,0.0386,24.1904,23.3229,0.0021,23.3208,23.305,0.0118,0.0018,0.3642,0.8509,0.0144,0.2113,0.0947,0.1579,0.007,0.0158,0.0209,0.3421,0.1921,0.213,25.1033,3,190672352,2137264864,2,0,116476604,24,19,0,0,0
24,0.1348,21.6379,20.9214,0.0038,20.9175,20.906,0.0095,0.0007,0.3175,0.7032,0.0117,0.1269,0.0698,0.1732,0.0036,0.0127,0.0178,0.3816,0.1478,0.1411,22.5767,0,190672352,2137264160,0,0,116476604,25,20,0,0,0
25,0.0365,24.3212,23.4999,0.0021,23.4977,23.4797,0.0148,0.0016,0.2958,0.807,0.0146,0.1968,0.1038,0.1852,0.0098,0.0137,0.0183,0.4517,0.2136,0.1915,25.3248,1,190672352,2137255712,1,0,116476604,26,21,0,0,0
26,0.0396,25.0435,24.147,0.0019,24.145,24.1305,0.0111,0.0016,0.306,0.8838,0.0147,0.2677,0.113,0.1768,0.0045,0.0123,0.0181,0.2496,0.1322,0.1497,25.7113,2,190672352,2137256416,2,0,116476604,27,22,0,0,0
27,0.0426,20.3185,19.7465,0.0023,19.7442,19.7342,0.0073,0.0012,0.2685,0.5618,0.0125,0.1143,0.05,0.1125,0.0033,0.0095,0.0152,0.2544,0.1472,0.1636,21.0209,3,190672352,2137264864,0,0,116476604,28,23,0,0,0
28,0.0363,22.9431,22.3109,0.0021,22.3087,22.2914,0.0138,0.0017,0.3056,0.6227,0.0134,0.1455,0.0561,0.0987,0.0026,0.0092,0.0155,0.2448,0.1437,0.1551,23.6322,0,190672352,2137264160,1,0,116476604,29,24,0,0,0
29,0.0367,22.4882,21.7332,0.0021,21.731,21.72,0.0078,0.0014,0.3024,0.7443,0.0115,0.1744,0.0817,0.1703,0.0033,0.0104,0.0166,0.2641,0.1513,0.2611,23.3188,1,190672352,2137255712,2,0,116476604,30,25,0,0,0
30,0.1111,12.3898,11.3121,0.0032,11.3089,11.2858,0.0178,0.0026,0.504,1.0621,0.0187,0.2202,0.1027,0.2085,0.0062,0.0148,0.023,0.4413,0.2255,0.2394,13.5505,2,190672352,2137256416,0,0,116476604,31,26,0,0,0
31,0.0612,11.0368,10.3094,0.0021,10.3072,10.293,0.0108,0.0015,0.2988,0.7145,0.0148,0.1587,0.0811,0.1558,0.0044,0.0123,0.0186,0.271,0.1129,0.1458,11.7093,3,190672352,2137264864,1,0,116476604,32,27,0,0,0
32,0.0413,20.3155,18.8014,0.0028,18.7984,18.7582,0.0329,0.004,0.6103,1.493,0.029,0.3777,0.1663,0.2974,0.0094,0.0202,0.034,0.6218,0.3036,0.3223,21.801,0,190672352,2137264160,2,0,116476604,33,28,0,0,0
33,0.0564,15.3531,14.4774,0.002,14.4754,14.4516,0.0199,0.002,0.3641,0.8648,0.0317,0.1938,0.0911,0.1774,0.0056,0.0103,0.0216,0.3981,0.2037,0.227,16.391,1,190672352,2137255712,0,0,116476604,34,29,0,0,0
34,0.1078,13.5664,12.5861,0.0037,12.5824,12.5621,0.0158,0.0022,0.3615,0.9671,0.0118,0.3653,0.0759,0.1469,0.0044,0.0121,0.018,0.3246,0.1384,0.1486,14.377,2,190672352,2137256416,1,0,116476604,35,30,0,0,0
35,0.0385,14.0633,13.3147,0.0024,13.3122,13.298,0.011,0.0015,0.2919,0.7367,0.0151,0.1499,0.0785,0.1963,0.0041,0.0116,0.019,0.2367,0.1644,0.2482,14.8867,3,190672352,2137264864,2,0,116476604,36,31,0,0,0
36,0.0391,21.7375,21.0684,0.0022,21.0661,21.0522,0.0103,0.0017,0.2695,0.6561,0.0132,0.1535,0.07,0.1449,0.0041,0.0123,0.0191,0.3084,0.169,0.177,22.5377,0,190672352,2137264160,0,0,116476604,37,32,0,0,0
37,0.064,18.8184,16.8065,0.0023,16.8042,16.7671,0.0289,0.0046,0.879,1.9838,0.0285,0.4951,0.2333,0.3343,0.0107,0.0273,0.0353,0.7018,0.3165,0.3237,20.4359,1,190672352,2137255712,1,0,116476604,38,33,0,0,0
38,0.1109,6.1064,5.2776,0.0036,5.2738,5.2597,0.0107,0.0016,0.3036,0.8153,0.0153,0.1481,0.0692,0.2731,0.0049,0.0127,0.019,0.3497,0.1343,0.1274,6.9097,2,190672352,2137256416,2,0,116476604,39,34,0,0,0
39,0.0425,23.2609,22.6152,0.0022,22.613,22.5975,0.0123,0.0015,0.3027,0.6328,0.0141,0.1336,0.0565,0.1218,0.0031,0.0122,0.019,0.298,0.1516,0.1622,24.0137,3,190672352,2137264864,0,0,116476604,40,35,0,0,0
40,0.0364,25.0791,24.0919,0.0021,24.0897,24.0752,0.0111,0.0016,0.2992,0.9759,0.0146,0.151,0.1735,0.3307,0.0059,0.0108,0.0185,0.2967,0.1336,0.1577,25.7948,0,190672352,2137264160,1,0,116476604,41,36,0,0,0
41,0.0388,25.9077,25.2455,0.0022,25.2433,25.2286,0.0112,0.0016,0.3242,0.6554,0.0317,0.1263,0.045,0.1249,0.0027,0.0064,0.0176,0.4301,0.1989,0.1399,26.8251,1,190672352,2137255712,2,0,116476604,42,37,0,0,0
42,0.0376,15.1054,14.3597,0.0019,14.3577,14.3431,0.0107,0.0018,0.3122,0.7327,0.0148,0.1573,0.0769,0.1657,0.0048,0.0127,0.0187,0.2878,0.1219,0.1484,15.7874,2,190672352,2137256416,0,0,116476604,43,38,0,0,0
43,0.0381,14.3582,13.6013,0.002,13.5993,13.5846,0.0117,0.0016,0.2929,0.7456,0.0135,0.15,0.0712,0.2114,0.0056,0.0108,0.0185,0.2961,0.1106,0.1882,15.0745,3,190672352,2137264864,1,0,116476604,44,39,0,0,0
44,0.0398,14.1035,13.3316,0.0019,13.3295,13.3158,0.0104,0.0014,0.2767,0.7577,0.0116,0.1431,0.1091,0.2017,0.0061,0.0138,0.0198,0.3546,0.1386,0.1259,14.8468,0,190672352,2137264160,2,0,116476604,45,40,0,0,0
45,0.0382,12.3769,11.7159,0.002,11.7138,11.7056,0.0061,0.0009,0.2097,0.6475,0.0097,0.1549,0.1089,0.1578,0.0055,0.0128,0.0201,0.3762,0.1458,0.1474,13.1789,1,190672352,2137255712,0,0,116476604,46,41,0,0,0
46,0.0374,14.4927,13.8027,0.0019,13.8008,13.7874,0.0106,0.0014,0.2555,0.6821,0.0123,0.1422,0.0689,0.2,0.0025,0.0076,0.0141,0.2068,0.1232,0.1543,15.1005,2,190672352,2137256416,1,0,116476604,47,42,0,0,0
47,0.0399,24.6849,24.1675,0.0022,24.1653,24.1522,0.0098,0.0017,0.2273,0.5074,0.0115,0.1077,0.0511,0.1061,0.0029,0.0095,0.016,0.2806,0.1451,0.1764,25.4658,3,190672352,2137264864,2,0,116476604,48,43,0,0,0
48,0.0371,13.4364,12.7509,0.0021,12.7486,12.7358,0.0099,0.0014,0.2918,0.6726,0.0129,0.1416,0.0713,0.1499,0.0041,0.0125,0.0175,0.2084,0.1112,0.1409,14.0188,0,190672352,2137264160,0,0,116476604,49,44,0,0,0
49,0.0379,15.3635,14.627,0.0021,14.6249,14.6112,0.01,0.0018,0.26,0.7214,0.009,0.177,0.1126,0.1564,0.0052,0.0145,0.0206,0.3502,0.1373,0.1378,16.1139,1,190672352,2137255712,1,0,116476604,50,45,0,0,0
