frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0473,11.2423,0.0155,0.0028,0.0125,0.0102,0.0011,0.0008,4.4229,11.2135,0.0143,6.2368,0.1176,0.4169,0.0043,0.0115,0.0211,7.4901,0.0079,0,18.8125,0,283621152,355250144,0,0,116476604,1,0,1,0,0,24,0
1,0.0435,1.0845,0.5578,0.0025,0.5551,0.5499,0.0038,0.001,0.2213,0.5208,0.0199,0.1369,0.0376,0.1027,0.0021,0.0052,0.0142,26.3921,0.0097,0,27.5469,1,283621152,355255776,1,0,116476604,2,0,1,0,0,24,0
2,0.176,5.307,2.2084,0.0177,2.1898,2.1355,0.0434,0.0046,1.3282,3.0601,0.0333,0.9031,0.4145,0.3674,0.0105,0.0357,0.0418,2.3748,0.6335,0.9269,10.1733,2,283621152,355246624,2,0,116476604,3,1,1,1,0,0,0
3,0.062,1.8885,0.9767,0.0029,0.9735,0.9632,0.0077,0.0013,0.3653,0.9002,0.0149,0.2228,0.0954,0.1966,0.0042,0.0105,0.0219,25.1592,0.2078,0.355,27.9033,3,283621152,355249440,0,0,116476604,4,2,1,1,0,0,0
4,0.043,1.2533,0.625,0.0023,0.6224,0.6146,0.0061,0.0007,0.2382,0.6146,0.0096,0.149,0.0716,0.1431,0.0027,0.0124,0.021,0.8896,0.0103,0,2.2203,4,283621152,355242400,1,0,116476604,5,2,1,0,0,24,0
5,0.053,1.4272,0.8173,0.0032,0.8137,0.8044,0.0076,0.0012,0.3242,0.5957,0.0094,0.0899,0.057,0.1121,0.0026,0.0129,0.0212,1.0176,0.2218,0.3403,3.3451,5,283621152,283608480,2,0,116476604,6,3,1,1,0,0,0
6,0.048,2.2235,0.8312,0.003,0.828,0.8167,0.0084,0.0014,0.5808,1.3832,0.0201,0.2866,0.1625,0.3295,0.0033,0.008,0.0169,24.1412,0.3731,0.3623,27.3733,0,283621152,355250144,0,0,116476604,7,4,1,1,0,0,0
7,0.0991,3.2991,2.111,0.0048,2.1058,2.083,0.0175,0.0027,0.687,1.1594,0.0312,0.1977,0.0615,0.1662,0.0151,0.0265,0.0453,1.2575,0.0143,0,4.7199,1,283621152,355255776,1,0,116476604,8,4,1,0,0,24,0
8,0.1153,2.533,1.5995,0.0047,1.5943,1.5741,0.0163,0.0018,0.4418,0.9198,0.018,0.1615,0.0968,0.197,0.0039,0.0123,0.0264,0.8449,0.2802,0.2705,4.3099,2,283621152,355246624,2,0,116476604,9,5,1,1,0,0,0
9,0.0854,2.073,1.2113,0.0036,1.2071,1.1935,0.0117,0.0007,0.3925,0.8519,0.0319,0.2102,0.0875,0.1266,0.0026,0.0083,0.0246,1.2176,0.3693,0.5019,4.661,3,283621152,355249440,0,0,116476604,10,6,1,1,0,0,0
10,0.0537,1.677,0.9008,0.0025,0.898,0.8839,0.0111,0.0011,0.3327,0.7652,0.0283,0.1512,0.068,0.1759,0.0081,0.0098,0.0269,1.2751,0.0169,0,3.0547,4,283621152,355242400,1,0,116476604,11,6,1,0,0,24,0
11,0.1842,4.8374,2.069,0.0184,2.0496,2.003,0.0381,0.0046,0.8696,2.726,0.0228,1.0493,0.2438,0.5272,0.0107,0.0395,0.042,1.855,0.6028,0.3136,8.06,5,283621152,283608480,2,0,116476604,12,7,1,1,0,0,0
12,0.1156,1.9373,1.2133,0.004,1.2087,1.1973,0.0086,0.0015,0.3728,0.7049,0.0146,0.1182,0.0718,0.1239,0.0033,0.0174,0.027,0.3607,0.1337,0.1593,2.8666,0,283621152,355250144,0,0,116476604,13,8,1,1,0,0,0
13,0.0526,1.4823,0.8686,0.0026,0.8657,0.8593,0.0049,0.001,0.2597,0.6071,0.0142,0.1465,0.0612,0.1228,0.0022,0.0053,0.0187,0.3091,0.1528,0.178,2.3435,1,283621152,355255776,1,0,116476604,14,9,1,1,0,0,0
14,0.1118,4.3607,1.4278,0.2074,1.22,1.1763,0.0339,0.0047,1.014,2.8833,0.0347,0.5462,0.4305,0.8418,0.0128,0.0459,0.0673,1.7531,0.9177,0.7137,8.5805,2,283621152,355246624,2,0,116476604,15,10,1,1,0,0,0
15,0.0498,1.6099,0.8814,0.0029,0.8783,0.8623,0.0125,0.0021,0.3206,0.7138,0.0312,0.1755,0.0502,0.1322,0.0035,0.0123,0.0371,0.328,0.1836,0.2762,2.6645,3,283621152,355249440,0,0,116476604,16,11,1,1,0,0,0
16,0.0523,1.3856,0.7005,0.0027,0.6976,0.6876,0.0071,0.0012,0.2667,0.6321,0.0104,0.0963,0.0782,0.1741,0.0062,0.0299,0.0349,0.3337,0.199,0.4023,2.6982,4,283621152,355242400,1,0,116476604,17,12,1,1,0,0,0
17,0.0614,1.7947,1.0558,0.0031,1.0522,1.0422,0.0065,0.0018,0.2742,0.6954,0.0126,0.1175,0.047,0.2397,0.0033,0.0212,0.0346,1.2621,0.8572,1.1618,5.9234,5,283621152,283608480,2,0,116476604,18,13,1,1,0,0,0
18,0.0594,1.8439,0.8426,0.0027,0.8394,0.8309,0.0049,0.0021,0.2873,0.9656,0.0155,0.1669,0.1817,0.3066,0.0062,0.0195,0.0251,1.3678,0.9966,0.8257,5.8727,0,283621152,355250144,0,0,116476604,19,14,1,1,0,0,0
19,0.0569,1.945,1.0626,0.0038,1.0585,1.0487,0.0068,0.0013,0.309,0.8419,0.0327,0.2204,0.0815,0.191,0.0068,0.0228,0.1065,0.7315,0.3913,0.3232,3.8855,1,283621152,355255776,1,0,116476604,20,15,1,1,0,0,0
20,0.0771,2.1335,1.1665,0.0046,1.1617,1.1482,0.0101,0.0017,0.3248,0.9287,0.0122,0.1862,0.208,0.1892,0.0074,0.0188,0.0397,1.0645,1.0198,0.7039,5.914,2,283621152,355246624,2,0,116476604,21,16,1,1,0,0,0
21,0.0673,4.7488,1.597,0.0035,1.5931,1.5444,0.0364,0.0065,1.1418,3.0527,0.0431,0.6503,0.352,0.8326,0.0281,0.0636,0.086,2.0244,1.1431,0.7349,9.3874,3,283621152,355249440,0,0,116476604,22,17,1,1,0,0,0
22,0.0551,1.4741,0.7183,0.0043,0.7137,0.7052,0.0059,0.0017,0.2983,0.7399,0.0113,0.1858,0.0927,0.1479,0.0032,0.0072,0.0202,0.3374,0.2405,0.3129,2.6955,4,283621152,355242400,1,0,116476604,23,18,1,1,0,0,0
23,0.0617,1.4748,0.7576,0.0036,0.7536,0.745,0.0058,0.0015,0.2519,0.6646,0.0118,0.1241,0.1017,0.1677,0.0068,0.031,0.0468,0.4165,0.2882,0.3349,2.9695,5,283621152,283608480,2,0,116476604,24,19,1,1,0,0,0
24,0.0554,5.4095,1.6012,0.0034,1.5976,1.5387,0.044,0.0096,1.1802,3.7104,0.0508,0.649,0.5468,1.2489,0.0305,0.0506,0.0682,1.7236,0.8426,0.4771,9.0765,0,283621152,355250144,0,0,116476604,25,20,1,1,0,0,0
25,0.0547,1.737,0.9151,0.0045,0.9103,0.8994,0.0081,0.0016,0.3196,0.7953,0.0115,0.2084,0.0878,0.1623,0.0049,0.015,0.0225,0.7012,0.4412,0.3404,3.6642,1,283621152,355255776,1,0,116476604,26,21,1,1,0,0,0
