frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
31,0.0412,35.3863,0.0012,0.0022,0.3058,0.8293,0.0142,0.1791,0.1106,0.2142,0.0045,0.0163,0.0203,0.494,0.222,0.2327,36.5053,3,32,26,0,0,0
32,0.039,36.5691,0.001,0.0023,0.2118,0.7546,0.0272,0.207,0.0447,0.2593,0.004,0.0161,0.0253,0.4513,0.2885,0.191,37.6983,0,33,27,0,0,0
33,0.0397,32.2244,0.0007,0.0031,0.1929,0.4747,0.0094,0.108,0.0429,0.1183,0.0026,0.0089,0.0159,0.2776,0.1477,0.2609,33.0495,1,34,28,0,0,0
34,0.0392,30.2323,0.0012,0.0024,0.2901,0.927,0.012,0.3393,0.1034,0.1756,0.0058,0.0152,0.0221,0.3484,0.1383,0.156,31.0152,2,35,29,0,0,0
35,0.0405,29.3304,0.0012,0.0027,0.2691,0.6862,0.0122,0.1462,0.0763,0.1783,0.0029,0.0141,0.0213,0.3171,0.1369,0.1824,30.1115,3,36,30,0,0,0
36,0.0403,27.4604,0.0011,0.0024,0.2014,0.5743,0.0105,0.1163,0.107,0.1349,0.0038,0.0141,0.019,0.3522,0.2794,0.311,28.6026,0,37,31,0,0,0
37,0.0421,26.8613,0.001,0.0022,0.2952,0.6686,0.0107,0.1336,0.0769,0.1454,0.0058,0.0111,0.0174,0.3712,0.1253,0.1486,27.6403,1,38,32,0,0,0
38,0.0909,7.7236,0.0012,0.0044,0.2322,0.5483,0.0105,0.1467,0.0602,0.0943,0.0037,0.0078,0.0144,0.2414,0.1381,0.1889,8.4819,2,39,33,0,0,0
39,0.0525,21.088,0.0008,0.0024,0.2864,0.6725,0.0102,0.1394,0.0698,0.1622,0.0038,0.0109,0.0183,0.3222,0.1296,0.1351,21.8112,3,40,34,0,0,0
40,0.0388,23.6274,0.0009,0.0024,0.2081,0.4957,0.0104,0.1133,0.0588,0.1013,0.0035,0.0099,0.0157,0.277,0.13,0.17,24.3347,0,41,35,0,0,0
41,0.0403,20.809,0.001,0.0022,0.2691,0.6928,0.0289,0.1375,0.0969,0.157,0.0025,0.0073,0.0294,0.2111,0.1157,0.1456,21.4185,1,42,36,0,0,0
42,0.047,18.8969,0.0011,0.0022,0.2593,0.6744,0.0305,0.1443,0.0783,0.1573,0.0037,0.0076,0.0193,0.301,0.1119,0.125,19.5655,2,43,37,0,0,0
43,0.0388,15.9973,0.0009,0.0023,0.255,0.5917,0.021,0.1043,0.0652,0.1429,0.0026,0.0059,0.0167,0.2868,0.1186,0.2024,16.7263,3,44,38,0,0,0
44,0.0388,16.966,0.0015,0.0025,0.3016,0.9079,0.0136,0.1871,0.144,0.255,0.0055,0.0114,0.0219,0.3321,0.1929,0.1889,17.8471,0,45,39,0,0,0
45,0.0401,20.4758,0.0007,0.0024,0.2295,0.606,0.0108,0.1654,0.0707,0.1252,0.0035,0.0108,0.0176,0.2671,0.1111,0.1485,21.1276,1,46,40,0,0,0
46,0.0475,5.2939,0.0013,0.0027,0.2644,0.7524,0.032,0.1996,0.0572,0.1919,0.0062,0.0234,0.0478,0.586,0.2034,0.1733,6.4576,2,47,41,0,0,0
47,0.1473,9.5694,0.0013,0.0175,0.3317,0.7491,0.0302,0.1934,0.068,0.1182,0.0067,0.0085,0.0194,0.327,0.1999,0.2315,10.6033,3,48,42,0,0,0
