frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
322,0.0,0.02,0.0,12.87,2.5,0.426,0.039,0.758,1.194,35563288
323,0.0,0.02,0.0,13.087,2.5,0.445,0.04,0.936,1.778,35563288
324,0.0,0.02,0.0,17.387,2.5,0.835,0.052,1.03,1.973,35563288
325,0.0,0.02,0.0,16.691,2.5,0.693,0.039,0.91,1.166,35563288
326,0.0,0.02,0.0,15.967,2.5,0.513,0.036,0.726,0.776,35563288
327,0.0,0.02,0.0,13.396,2.5,0.431,0.034,0.809,0.855,35563288
328,0.0,0.02,0.0,13.557,2.5,0.392,0.04,0.766,1.209,35563288
329,0.0,0.02,0.0,12.578,2.5,0.439,0.044,0.867,1.52,35563288
330,0.0,0.02,0.0,13.059,2.5,0.602,0.039,0.818,1.39,35563288
331,0.0,0.02,0.0,13.203,2.5,0.363,0.036,0.645,0.805,35563288
332,0.0,0.02,0.0,13.052,2.5,0.349,0.039,0.72,1.246,35563288
333,0.0,0.02,0.0,13.255,2.5,0.51,0.034,0.709,1.409,35563288
334,0.0,0.02,0.0,7.365,2.5,0.464,0.038,0.626,0.756,35563288
335,0.0,0.02,0.0,12.699,2.5,0.387,0.036,0.722,1.131,35563288
336,0.0,0.02,0.0,5.833,2.5,0.455,0.034,0.849,1.529,35563288
337,0.0,0.02,0.0,13.927,2.5,0.394,0.041,0.726,1.348,35563288
338,0.0,0.02,0.0,12.686,2.5,0.473,0.035,0.698,1.287,35563288
339,0.0,0.02,0.0,11.933,2.5,0.455,0.034,0.739,1.58,35563288
340,0.0,0.02,0.0,22.087,2.5,0.414,0.033,0.749,1.292,35563288
341,0.0,0.02,0.0,12.171,2.5,0.466,0.035,0.712,1.313,35563288
342,0.0,0.02,0.0,11.85,2.5,0.366,0.034,0.726,1.472,35563288
343,0.0,0.02,0.0,11.888,2.5,0.393,0.034,0.775,1.469,35563288
344,0.0,0.02,0.0,11.82,2.5,0.505,0.037,0.685,1.226,35563288
345,0.0,0.02,0.0,11.677,2.5,0.368,0.039,0.947,1.193,35563288
346,0.0,0.02,0.0,11.228,2.5,0.371,0.034,0.79,1.111,35563288
347,0.0,0.02,0.0,11.411,2.5,0.385,0.051,0.971,1.554,35563288
348,0.0,0.02,0.0,13.158,2.5,0.414,0.04,0.717,0.767,35563288
349,0.0,0.02,0.0,24.413,2.5,0.625,0.057,0.994,1.239,35563288
350,0.0,0.02,0.0,25.637,2.5,0.522,0.041,0.873,1.577,35563288
351,0.0,0.02,0.0,12.536,2.5,0.429,0.035,0.654,0.85,35563288
352,0.0,0.02,0.0,12.952,2.5,0.353,0.035,0.689,0.757,35563288
353,0.0,0.02,0.0,13.234,2.5,0.445,0.039,0.906,1.551,35563288
354,0.0,0.02,0.0,12.345,2.5,0.52,0.078,0.741,1.44,35563288
355,0.0,0.02,0.0,13.044,2.5,0.514,0.038,0.775,1.535,35563288
356,0.0,0.02,0.0,13.951,2.5,0.438,0.039,0.823,1.109,35563288
357,0.0,0.02,0.0,12.886,2.5,0.437,0.034,0.659,0.764,35563288
358,0.0,0.02,0.0,12.058,2.5,0.455,0.036,0.627,0.666,35563288
359,0.0,0.02,0.0,12.161,2.5,0.407,0.036,0.671,0.718,35563288
360,0.0,0.02,0.0,12.275,2.5,0.409,0.035,0.744,1.174,35563288
361,0.0,0.02,0.0,13.028,2.5,0.408,0.035,0.618,0.835,35563288
362,0.0,0.02,0.0,12.057,2.5,0.351,0.035,0.647,0.767,35563288
363,0.0,0.02,0.0,11.975,2.5,0.357,0.032,0.772,1.162,35563288
364,0.0,0.02,0.0,12.018,2.5,0.45,0.035,0.67,1.248,35563288
365,0.0,0.02,0.0,11.666,2.5,0.374,0.032,0.622,0.829,35563288
366,0.0,0.02,0.0,22.269,2.5,0.486,0.035,0.623,1.066,35563288
367,0.0,0.02,0.0,12.404,2.5,0.492,0.035,0.695,1.172,35563288
368,0.0,0.02,0.0,12.372,2.5,0.472,0.035,0.751,1.474,35563288
369,0.0,0.02,0.0,12.489,2.5,0.402,0.035,0.643,0.805,35563288
370,0.0,0.02,0.0,12.341,2.5,0.366,0.034,0.63,0.708,35563288
371,0.0,0.02,0.0,12.962,2.5,0.372,0.035,0.758,1.145,35563288
372,0.0,0.02,0.0,12.806,2.5,0.454,0.034,0.697,1.206,35563288
373,0.0,0.02,0.0,12.813,2.5,0.587,0.038,0.664,0.834,35563288
374,0.0,0.02,0.0,12.986,2.5,0.486,0.033,0.717,1.379,35563288
375,0.0,0.02,0.0,12.673,2.5,0.388,0.039,0.732,1.152,35563288
376,0.0,0.02,0.0,13.379,2.5,0.423,0.038,0.731,1.059,35563288
377,0.0,0.02,0.0,12.935,2.5,0.374,0.04,1.169,2.229,35563288
378,0.0,0.02,0.0,17.821,2.5,0.772,0.039,1.041,1.469,35563288
379,0.0,0.02,0.0,17.187,2.5,0.612,0.038,1.09,1.738,35563288
380,0.0,0.02,0.0,15.684,2.5,0.552,0.044,0.767,1.116,35563288
381,0.0,0.02,0.0,13.871,2.5,0.491,0.036,0.939,1.331,35563288
382,0.0,0.02,0.0,13.435,2.5,0.466,0.034,0.671,0.83,35563288
383,0.0,0.02,0.0,12.497,2.5,0.454,0.034,0.632,0.791,35563288
384,0.0,0.02,0.0,13.374,2.5,0.402,0.034,0.719,1.164,35563288
385,0.0,0.02,0.0,13.096,2.5,0.475,0.034,0.749,1.432,35563288
386,0.0,0.02,0.0,11.924,2.5,0.47,0.042,0.736,1.42,35563288
387,0.0,0.02,0.0,13.356,2.5,0.5,0.042,0.832,0.906,35563288
388,0.0,0.02,0.0,12.796,2.5,0.387,0.034,0.683,1.269,35563288
389,0.0,0.02,0.0,12.006,2.5,0.356,0.034,0.68,0.755,35563288
390,0.0,0.02,0.0,12.083,2.5,0.351,0.034,0.732,1.202,35563288
391,0.0,0.02,0.0,24.16,2.5,0.43,0.034,0.803,1.154,35563288
392,0.0,0.02,0.0,12.824,2.5,0.476,0.034,0.731,1.514,35563288
393,0.0,0.02,0.0,23.876,2.5,1.355,0.045,0.745,0.882,35563288
394,0.0,0.02,0.0,12.862,2.5,0.393,0.037,0.708,1.348,35563288
395,0.0,0.02,0.0,12.758,2.5,0.405,0.037,0.729,1.247,35563288
396,0.0,0.02,0.0,12.329,2.5,0.399,0.04,0.729,1.271,35563288
397,0.0,0.02,0.0,12.7,2.5,0.409,0.038,0.662,0.879,35563288
398,0.0,0.02,0.0,12.328,2.5,0.361,0.039,0.852,1.332,35563288
399,0.0,0.02,0.0,11.913,2.5,0.39,0.033,0.955,1.314,35563288
400,0.0,0.02,0.0,12.601,2.5,0.423,0.036,0.598,0.843,35563288
401,0.0,0.02,0.0,11.434,2.5,0.364,0.041,0.754,1.138,35563288
402,0.0,0.02,0.0,11.249,2.5,0.424,0.042,0.781,1.222,35563288
403,0.0,0.02,0.0,11.435,2.5,0.425,0.035,0.677,0.852,35563288
404,0.0,0.02,0.0,12.068,2.5,0.44,0.033,0.763,1.223,35563288
405,0.0,0.02,0.0,11.555,2.5,0.379,0.035,0.645,0.762,35563288
406,0.0,0.02,0.0,11.444,2.5,0.336,0.033,0.7,0.826,35563288
407,0.0,0.02,0.0,11.311,2.5,0.372,0.035,0.649,0.731,35563288
408,0.0,0.02,0.0,11.454,2.5,0.365,0.033,0.713,1.174,35563288
409,0.0,0.02,0.0,12.064,2.5,0.414,0.038,0.771,1.229,35563288
410,0.0,0.02,0.0,11.988,2.5,0.448,0.036,0.659,1.01,35563288
411,0.0,0.02,0.0,12.607,2.5,0.354,0.033,0.701,1.196,35563288
412,0.0,0.02,0.0,12.232,2.5,0.5,0.044,0.697,1.213,35563288
413,0.0,0.02,0.0,11.898,2.5,0.405,0.033,0.662,0.764,35563288
414,0.0,0.02,0.0,11.784,2.5,0.415,0.034,0.703,1.212,35563288
415,0.0,0.02,0.0,11.635,2.5,0.39,0.033,0.622,0.784,35563288
416,0.0,0.02,0.0,11.783,2.5,0.356,0.036,0.67,0.736,35563288
417,0.0,0.02,0.0,22.794,2.5,0.484,0.034,0.678,1.302,35563288
418,0.0,0.02,0.0,11.865,2.5,0.483,0.034,0.641,0.728,35563288
419,0.0,0.02,0.0,12.242,2.5,0.465,0.034,0.647,0.726,35563288
420,0.0,0.02,0.0,11.742,2.5,0.484,0.036,0.728,1.215,35563288
421,0.0,0.02,0.0,12.127,2.5,0.509,0.033,0.647,0.808,35563288
422,0.0,0.02,0.0,11.856,2.5,0.398,0.034,0.76,1.441,35563288
423,0.0,0.02,0.0,12.038,2.5,0.539,0.037,0.677,0.818,35563288
424,0.0,0.02,0.0,11.735,2.5,0.445,0.033,0.673,0.757,35563288
425,0.0,0.02,0.0,11.781,2.5,0.433,0.032,0.753,1.165,35563288
426,0.0,0.02,0.0,11.96,2.5,0.486,0.034,0.629,0.72,35563288
427,0.0,0.02,0.0,12.919,2.5,0.334,0.033,0.747,1.263,35563288
428,0.0,0.02,0.0,12.841,2.5,0.496,0.034,0.741,1.008,35563288
429,0.0,0.02,0.0,12.668,2.5,0.414,0.034,0.667,0.745,35563288
430,0.0,0.02,0.0,12.765,2.5,0.319,0.032,0.71,1.163,35563288
431,0.0,0.02,0.0,12.926,2.5,0.407,0.033,0.661,0.78,35563288
432,0.0,0.02,0.0,13.296,2.5,0.38,0.037,1.085,1.692,35563288
433,0.0,0.02,0.0,16.649,2.5,0.635,0.056,1.101,1.772,35563288
434,0.0,0.02,0.0,29.305,2.5,0.713,0.054,1.021,1.304,35563288
435,0.0,0.02,0.0,16.602,2.5,0.623,0.039,0.894,1.504,35563288
436,0.0,0.02,0.0,7.158,2.5,0.488,0.04,0.724,1.05,35563288
437,0.0,0.02,0.0,13.459,2.5,0.406,0.035,0.736,0.809,35563288
438,0.0,0.02,0.0,13.587,2.5,0.395,0.035,0.7,1.163,35563288
439,0.0,0.02,0.0,12.727,2.5,0.395,0.034,0.641,0.734,35563288
440,0.0,0.02,0.0,12.724,2.5,0.448,0.038,0.619,0.743,35563288
441,0.0,0.02,0.0,12.374,2.5,0.435,0.033,0.728,1.217,35563288
442,0.0,0.02,0.0,12.704,2.5,0.412,0.035,0.658,0.707,35563288
443,0.0,0.02,0.0,6.545,2.5,0.417,0.036,0.64,0.729,35563288
444,0.0,0.02,0.0,24.023,2.5,0.548,0.037,0.693,1.091,35563288
445,0.0,0.02,0.0,13.237,2.5,0.389,0.037,0.776,1.186,35563288
446,0.0,0.02,0.0,12.093,2.5,0.423,0.049,0.772,0.927,35563288
447,0.0,0.02,0.0,12.733,2.5,0.404,0.035,0.829,1.047,35563288
448,0.0,0.02,0.0,27.89,2.5,0.754,0.079,1.144,2.066,35563288
449,0.0,0.02,0.0,42.475,2.5,1.318,0.067,1.133,1.285,35563288
450,0.0,0.02,0.0,28.052,2.5,0.512,0.043,0.841,0.981,35563288
451,0.0,0.02,0.0,27.061,2.5,0.591,0.045,0.704,0.894,35563288
452,0.0,0.02,0.0,13.512,2.5,0.391,0.041,0.861,1.419,35563288
453,0.0,0.02,0.0,13.498,2.5,0.411,0.041,0.774,0.96,35563288
454,0.0,0.02,0.0,15.224,2.5,0.377,0.044,0.697,0.928,35563288
455,0.0,0.02,0.0,13.75,2.5,0.43,0.038,0.74,0.961,35563288
456,0.0,0.02,0.0,22.028,2.5,0.66,0.098,1.59,2.484,35563288
457,0.0,0.02,0.0,28.792,2.5,0.999,0.041,0.775,0.975,35563288
458,0.0,0.02,0.0,14.249,2.5,0.404,0.041,0.719,0.987,35563288
459,0.0,0.02,0.0,13.335,2.5,0.369,0.045,0.794,1.049,35563288
460,0.0,0.02,0.0,13.939,2.5,0.392,0.045,0.81,0.844,35563288
461,0.0,0.02,0.0,12.172,2.5,0.439,0.038,0.675,0.928,35563288
462,0.0,0.02,0.0,49.174,2.5,0.81,0.07,1.102,1.296,35563288
463,0.0,0.02,0.0,44.118,2.5,2.242,0.063,4.1,6.054,35563288
464,0.0,0.02,0.0,34.463,2.5,1.83,0.045,1.003,3.004,35563288
465,0.0,0.02,0.0,22.579,2.5,0.6,0.035,1.911,2.749,35563288
466,0.0,0.02,0.0,35.762,2.5,0.99,0.068,1.006,1.381,35563288
467,0.0,0.02,0.0,14.898,2.5,0.418,0.035,0.881,0.85,35563288
468,0.0,0.02,0.0,12.185,2.5,0.42,0.034,0.766,0.77,35563288
469,0.0,0.02,0.0,11.964,2.5,0.473,0.035,0.684,0.85,35563288
470,0.0,0.02,0.0,5.778,2.5,0.387,0.044,0.652,0.885,35563288
471,0.0,0.02,0.0,27.713,2.5,0.531,0.072,0.871,1.418,35563288
472,0.0,0.02,0.0,15.149,2.5,0.728,0.062,1.271,2.009,35563288
473,0.0,0.02,0.0,19.878,2.5,0.803,0.044,1.325,1.707,35563288
474,0.0,0.02,0.0,15.927,2.5,0.52,0.038,0.847,1.278,35563288
475,0.0,0.02,0.0,13.602,2.5,0.561,0.036,0.728,0.808,35563288
476,0.0,0.02,0.0,12.925,2.5,0.376,0.034,0.725,1.174,35563288
477,0.0,0.02,0.0,11.645,2.5,0.416,0.035,0.639,0.682,35563288
478,0.0,0.02,0.0,11.802,2.5,0.353,0.039,0.639,0.668,35563288
479,0.0,0.02,0.0,11.832,2.5,0.417,0.036,0.66,0.667,35563288
480,0.0,0.02,0.0,11.842,2.5,0.422,0.034,0.658,0.812,35563288
481,0.0,0.02,0.0,12.559,2.5,0.381,0.034,0.738,1.133,35563288
482,0.0,0.02,0.0,11.971,2.5,0.419,0.033,0.696,1.046,35563288
483,0.0,0.02,0.0,12.552,2.5,0.41,0.035,0.712,1.189,35563288
484,0.0,0.02,0.0,12.382,2.5,0.404,0.033,0.637,0.796,35563288
485,0.0,0.02,0.0,12.246,2.5,0.371,0.037,0.659,0.697,35563288
486,0.0,0.02,0.0,12.43,2.5,0.377,0.033,0.62,0.827,35563288
487,0.0,0.02,0.0,24.171,2.5,0.705,0.041,0.674,0.746,35563288
488,0.0,0.02,0.0,12.9,2.5,0.414,0.033,0.75,1.345,35563288
489,0.0,0.02,0.0,13.351,2.5,0.485,0.034,0.65,0.751,35563288
490,0.0,0.02,0.0,12.25,2.5,0.356,0.033,0.691,0.715,35563288
491,0.0,0.02,0.0,12.23,2.5,0.361,0.034,0.709,0.778,35563288
492,0.0,0.02,0.0,12.21,2.5,0.412,0.043,0.626,1.058,35563288
493,0.0,0.02,0.0,13.349,2.5,0.475,0.039,0.832,0.818,35563288
494,0.0,0.02,0.0,12.647,2.5,0.436,0.036,0.682,0.732,35563288
495,0.0,0.02,0.0,13.0,2.5,0.456,0.033,0.688,1.056,35563288
496,0.0,0.02,0.0,24.033,2.5,0.483,0.033,0.831,0.925,35563288
497,0.0,0.02,0.0,13.051,2.5,0.35,0.034,0.719,0.831,35563288
498,0.0,0.02,0.0,12.844,2.5,0.43,0.035,0.666,0.682,35563288
499,0.0,0.02,0.0,12.83,2.5,0.439,0.037,0.73,1.274,35563288
500,0.0,0.02,0.0,13.043,2.5,0.367,0.034,0.684,0.829,35563288
501,0.0,0.02,0.0,12.588,2.5,0.374,0.037,0.698,1.197,35563288
502,0.0,0.02,0.0,12.162,2.5,0.439,0.033,0.64,0.749,35563288
503,0.0,0.02,0.0,12.6,2.5,0.426,0.035,0.629,1.032,35563288
504,0.0,0.02,0.0,12.961,2.5,0.359,0.033,0.789,1.483,35563288
505,0.0,0.02,0.0,12.603,2.5,0.384,0.038,0.723,0.975,35563288
506,0.0,0.02,0.0,12.156,2.5,0.352,0.033,0.815,0.853,35563288
507,0.0,0.02,0.0,12.119,2.5,0.411,0.044,0.727,1.361,35563288
508,0.0,0.02,0.0,12.433,2.5,0.428,0.04,0.659,0.813,35563288
509,0.0,0.02,0.0,12.552,2.5,0.404,0.038,0.9,1.477,35563288
510,0.0,0.02,0.0,12.908,2.5,0.48,0.04,0.642,1.035,35563288
511,0.0,0.02,0.0,13.574,2.5,0.393,0.038,0.773,1.365,35563288
512,0.0,0.02,0.0,12.799,2.5,0.442,0.033,0.626,0.749,35563288
513,0.0,0.02,0.0,12.992,2.5,0.516,0.035,0.637,0.986,35563288
514,0.0,0.02,0.0,12.511,2.5,0.459,0.033,0.678,1.206,35563288
515,0.0,0.02,0.0,12.586,2.5,0.435,0.034,0.735,0.809,35563288
516,0.0,0.02,0.0,12.621,2.5,0.415,0.037,0.896,0.873,35563288
517,0.0,0.02,0.0,13.271,2.5,0.383,0.035,0.728,1.206,35563288
518,0.0,0.02,0.0,12.715,2.5,0.408,0.035,0.662,1.014,35563288
519,0.0,0.02,0.0,12.531,2.5,0.361,0.036,0.679,1.181,35563288
520,0.0,0.02,0.0,12.8,2.5,0.471,0.035,0.653,1.139,35563288
521,0.0,0.02,0.0,9.49,2.5,0.486,0.033,0.708,1.279,35563288
522,0.0,0.02,0.0,23.592,2.5,0.385,0.034,0.723,1.23,35563288
523,0.0,0.02,0.0,12.586,2.5,0.452,0.038,0.64,0.875,35563288
524,0.0,0.02,0.0,12.499,2.5,0.415,0.032,0.697,1.179,35563288
525,0.0,0.02,0.0,13.053,2.5,0.482,0.034,0.656,0.804,35563288
526,0.0,0.02,0.0,13.193,2.5,0.495,0.039,0.945,1.099,35563288
527,0.0,0.02,0.0,17.711,2.5,0.723,0.051,1.03,2.067,35563288
528,0.0,0.02,0.0,16.318,2.5,0.757,0.038,0.928,1.072,35563288
529,0.0,0.02,0.0,16.358,2.5,0.844,0.039,0.777,1.056,35563288
530,0.0,0.02,0.0,14.956,2.5,0.384,0.073,0.908,1.634,35563288
531,0.0,0.02,0.0,13.342,2.5,0.478,0.04,0.617,0.762,35563288
532,0.0,0.02,0.0,11.772,2.5,0.391,0.041,0.63,0.696,35563288
533,0.0,0.02,0.0,11.817,2.5,0.385,0.035,0.728,1.157,35563288
534,0.0,0.02,0.0,11.956,2.5,0.448,0.044,0.68,0.973,35563288
535,0.0,0.02,0.0,12.009,2.5,0.41,0.04,0.625,0.714,35563288
536,0.0,0.02,0.0,12.063,2.5,0.46,0.049,0.832,1.21,35563288
537,0.0,0.02,0.0,12.317,2.5,0.485,0.048,0.672,1.149,35563288
538,0.0,0.02,0.0,13.494,2.5,0.501,0.07,0.958,1.272,35563288
539,0.0,0.02,0.0,29.171,2.5,0.671,0.045,0.702,1.171,35563288
540,0.0,0.02,0.0,13.792,2.5,0.609,0.038,0.763,1.16,35563288
541,0.0,0.02,0.0,12.889,2.5,0.414,0.038,0.747,0.995,35563288
542,0.0,0.02,0.0,13.075,2.5,0.451,0.047,0.843,1.551,35563288
543,0.0,0.02,0.0,16.231,2.5,0.59,0.049,1.014,1.621,35563288
544,0.0,0.02,0.0,37.254,2.5,0.946,0.072,1.018,1.946,35563288
545,0.0,0.02,0.0,28.051,2.5,0.512,0.041,0.899,1.287,35563288
546,0.0,0.02,0.0,31.168,2.5,0.681,0.084,1.216,1.349,35563288
547,0.0,0.02,0.0,11.866,2.5,0.452,0.045,0.744,1.124,35563288
548,0.0,0.02,0.0,29.04,2.5,0.566,0.046,1.068,1.28,35563288
549,0.0,0.02,0.0,14.402,2.5,0.656,0.043,0.866,1.261,35563288
550,0.0,0.02,0.0,14.816,2.5,0.497,0.035,0.669,0.803,35563288
551,0.0,0.02,0.0,23.306,2.5,0.795,0.092,1.044,1.668,35563288
552,0.0,0.02,0.0,15.999,2.5,0.516,0.042,0.823,1.42,35563288
553,0.0,0.02,0.0,13.374,2.5,0.458,0.042,0.778,1.037,35563288
554,0.0,0.02,0.0,13.617,2.5,0.358,0.037,0.69,0.729,35563288
555,0.0,0.02,0.0,13.674,2.5,0.42,0.046,0.768,1.539,35563288
556,0.0,0.02,0.0,13.657,2.5,0.457,0.059,0.714,0.928,35563288
557,0.0,0.02,0.0,12.702,2.5,0.504,0.038,0.721,1.346,35563288
558,0.0,0.02,0.0,13.786,2.5,0.466,0.038,0.71,1.091,35563288
559,0.0,0.02,0.0,13.245,2.5,0.413,0.035,0.772,1.304,35563288
560,0.0,0.02,0.0,13.175,2.5,0.468,0.035,0.772,1.025,35563288
561,0.0,0.02,0.0,11.653,2.5,0.421,0.035,0.636,0.713,35563288
562,0.0,0.02,0.0,11.847,2.5,0.42,0.034,0.673,1.03,35563288
563,0.0,0.02,0.0,12.108,2.5,0.461,0.034,0.866,1.113,35563288
564,0.0,0.02,0.0,12.118,2.5,0.427,0.035,0.673,1.082,35563288
565,0.0,0.02,0.0,12.451,2.5,0.455,0.036,0.721,1.289,35563288
566,0.0,0.02,0.0,11.98,2.5,0.453,0.035,0.664,1.08,35563288
567,0.0,0.02,0.0,11.96,2.5,0.429,0.034,0.634,0.71,35563288
568,0.0,0.02,0.0,11.581,2.5,0.428,0.034,0.647,1.124,35563288
569,0.0,0.02,0.0,6.943,2.5,0.48,0.037,0.676,0.974,35563288
570,0.0,0.02,0.0,6.224,2.5,0.443,0.037,0.713,1.107,35563288
571,0.0,0.02,0.0,13.426,2.5,0.466,0.034,0.637,1.151,35563288
572,0.0,0.02,0.0,12.617,2.5,0.416,0.034,0.663,1.151,35563288
573,0.0,0.02,0.0,11.736,2.5,0.412,0.034,0.662,0.711,35563288
574,0.0,0.02,0.0,12.922,2.5,0.373,0.033,0.625,0.757,35563288
575,0.0,0.02,0.0,11.975,2.5,0.371,0.037,0.641,0.842,35563288
576,0.0,0.02,0.0,9.23,2.5,0.776,0.062,0.946,1.025,35563288
577,0.0,0.02,0.0,8.415,2.5,0.516,0.041,1.044,1.415,35563288
578,0.0,0.02,0.0,28.971,2.5,0.793,0.041,0.759,1.149,35563288
579,0.0,0.02,0.0,12.679,2.5,0.519,0.037,0.798,1.386,35563288
580,0.0,0.02,0.0,13.405,2.5,0.387,0.035,0.649,0.805,35563288
581,0.0,0.02,0.0,12.617,2.5,0.439,0.033,0.652,1.044,35563288
582,0.0,0.02,0.0,12.346,2.5,0.461,0.034,0.675,0.822,35563288
583,0.0,0.02,0.0,11.838,2.5,0.458,0.034,0.75,1.213,35563288
584,0.0,0.02,0.0,11.882,2.5,0.488,0.042,0.709,0.823,35563288
585,0.0,0.02,0.0,11.634,2.5,0.404,0.036,0.628,0.755,35563288
586,0.0,0.02,0.0,11.979,2.5,0.425,0.036,0.715,0.889,35563288
587,0.0,0.02,0.0,11.877,2.5,0.425,0.032,0.668,0.775,35563288
588,0.0,0.02,0.0,11.899,2.5,0.505,0.034,0.702,0.828,35563288
589,0.0,0.02,0.0,11.805,2.5,0.398,0.037,0.642,0.71,35563288
590,0.0,0.02,0.0,12.074,2.5,0.354,0.034,0.714,1.126,35563288
591,0.0,0.02,0.0,12.017,2.5,0.513,0.035,0.695,0.853,35563288
592,0.0,0.02,0.0,11.788,2.5,0.47,0.034,0.687,1.017,35563288
593,0.0,0.02,0.0,12.124,2.5,0.415,0.035,0.762,1.292,35563288
594,0.0,0.02,0.0,12.039,2.5,0.464,0.034,0.643,0.718,35563288
595,0.0,0.02,0.0,11.948,2.5,0.387,0.036,0.689,0.734,35563288
596,0.0,0.02,0.0,11.646,2.5,0.404,0.035,0.712,1.18,35563288
597,0.0,0.02,0.0,12.008,2.5,0.52,0.035,0.632,0.771,35563288
598,0.0,0.02,0.0,12.211,2.5,0.396,0.035,0.679,0.761,35563288
599,0.0,0.02,0.0,12.011,2.5,0.475,0.033,0.642,1.325,35563288
