frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
74,0.0,0.02,0.0,12.48,2.5,0.377,0.045,0.731,1.123,35563288
75,0.0,0.02,0.0,12.807,2.5,0.414,0.035,0.71,1.349,35563288
76,0.0,0.02,0.0,22.824,2.5,0.354,0.034,0.664,1.138,35563288
77,0.0,0.02,0.0,12.568,2.5,0.401,0.034,0.689,1.3,35563288
78,0.0,0.02,0.0,12.395,2.5,0.409,0.037,0.736,1.384,35563288
79,0.0,0.02,0.0,12.24,2.5,0.428,0.041,0.715,1.404,35563288
80,0.0,0.02,0.0,12.252,2.5,0.375,0.048,0.715,1.266,35563288
81,0.0,0.02,0.0,12.647,2.5,0.416,0.04,0.704,1.367,35563288
82,0.0,0.02,0.0,12.563,2.5,0.416,0.034,0.698,1.267,35563288
83,0.0,0.02,0.0,12.436,2.5,0.437,0.035,0.686,1.232,35563288
84,0.0,0.02,0.0,12.618,2.5,0.386,0.037,0.705,1.198,35563288
85,0.0,0.02,0.0,12.532,2.5,0.395,0.036,0.681,1.13,35563288
86,0.0,0.02,0.0,12.566,2.5,0.403,0.034,0.679,1.328,35563288
87,0.0,0.02,0.0,13.266,2.5,0.379,0.037,0.672,1.398,35563288
88,0.0,0.02,0.0,12.453,2.5,0.338,0.033,0.656,1.174,35563288
89,0.0,0.02,0.0,12.49,2.5,0.403,0.034,0.684,1.106,35563288
90,0.0,0.02,0.0,12.767,2.5,0.395,0.036,0.667,1.146,35563288
91,0.0,0.02,0.0,12.467,2.5,0.374,0.035,0.669,1.195,35563288
92,0.0,0.02,0.0,12.453,2.5,0.404,0.034,0.729,1.28,35563288
93,0.0,0.02,0.0,12.787,2.5,0.426,0.047,0.792,1.208,35563288
94,0.0,0.02,0.0,11.878,2.5,0.391,0.035,0.669,1.175,35563288
95,0.0,0.02,0.0,11.745,2.5,0.446,0.035,0.674,1.145,35563288
96,0.0,0.02,0.0,12.434,2.5,0.405,0.041,0.898,1.454,35563288
97,0.0,0.02,0.0,11.46,2.5,0.384,0.035,0.808,1.443,35563288
98,0.0,0.02,0.0,11.873,2.5,0.368,0.035,0.784,1.48,35563288
99,0.0,0.02,0.0,11.682,2.5,0.383,0.039,0.739,1.385,35563288
100,0.0,0.02,0.0,13.163,2.5,0.382,0.037,0.678,1.211,35563288
101,0.0,0.02,0.0,11.567,2.5,0.411,0.039,0.677,1.194,35563288
102,0.0,0.02,0.0,22.512,2.5,0.451,0.034,0.686,1.168,35563288
103,0.0,0.02,0.0,12.931,2.5,0.478,0.033,0.741,1.286,35563288
104,0.0,0.02,0.0,12.682,2.5,0.363,0.034,0.683,1.256,35563288
105,0.0,0.02,0.0,12.358,2.5,0.407,0.034,0.714,1.39,35563288
106,0.0,0.02,0.0,11.968,2.5,0.437,0.041,0.708,1.409,35563288
107,0.0,0.02,0.0,12.159,2.5,0.395,0.04,0.853,1.345,35563288
108,0.0,0.02,0.0,12.362,2.5,0.452,0.037,0.742,1.384,35563288
109,0.0,0.02,0.0,12.71,2.5,0.378,0.043,0.687,1.272,35563288
110,0.0,0.02,0.0,12.875,2.5,0.438,0.034,0.683,1.142,35563288
111,0.0,0.02,0.0,12.532,2.5,0.482,0.034,0.671,1.208,35563288
112,0.0,0.02,0.0,12.979,2.5,0.46,0.036,0.688,1.305,35563288
113,0.0,0.02,0.0,14.664,2.5,0.815,0.039,0.98,1.988,35563288
114,0.0,0.02,0.0,17.013,2.5,0.645,0.053,1.144,2.084,35563288
115,0.0,0.02,0.0,17.107,2.5,0.589,0.042,1.144,1.989,35563288
116,0.0,0.02,0.0,14.279,2.5,0.485,0.034,0.75,1.387,35563288
117,0.0,0.02,0.0,13.83,2.5,0.529,0.038,0.799,1.405,35563288
118,0.0,0.02,0.0,12.751,2.5,0.437,0.033,0.705,1.269,35563288
119,0.0,0.02,0.0,12.796,2.5,0.411,0.043,0.74,1.52,35563288
120,0.0,0.02,0.0,13.11,2.5,0.468,0.038,0.731,1.728,35563288
121,0.0,0.02,0.0,13.062,2.5,0.399,0.039,0.742,1.395,35563288
122,0.0,0.02,0.0,12.49,2.5,0.457,0.034,0.814,1.421,35563288
123,0.0,0.02,0.0,13.231,2.5,0.408,0.035,0.715,1.35,35563288
124,0.0,0.02,0.0,12.356,2.5,0.477,0.032,0.71,1.119,35563288
125,0.0,0.02,0.0,13.052,2.5,0.352,0.033,0.847,1.148,35563288
126,0.0,0.02,0.0,13.813,2.5,0.467,0.037,0.689,1.266,35563288
127,0.0,0.02,0.0,24.001,2.5,0.367,0.033,0.686,1.325,35563288
128,0.0,0.02,0.0,13.122,2.5,0.496,0.034,0.689,1.288,35563288
129,0.0,0.02,0.0,12.323,2.5,0.422,0.034,0.707,1.195,35563288
130,0.0,0.02,0.0,12.401,2.5,0.456,0.034,0.653,1.145,35563288
131,0.0,0.02,0.0,12.642,2.5,0.365,0.032,0.706,1.191,35563288
132,0.0,0.02,0.0,12.308,2.5,0.362,0.033,0.707,1.253,35563288
133,0.0,0.02,0.0,12.72,2.5,0.462,0.034,0.696,1.284,35563288
134,0.0,0.02,0.0,12.377,2.5,0.352,0.034,0.684,1.241,35563288
