frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_above_region_upload,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,821.0032000060892,507.50710000284016,313.496100003249,0.0,0.04320000880397856,5.787600006442517,31.28919999289792,27.874299994437024,3.2445999968331307,13.801499997498468,1.5035999967949465,7.892799985711463,0.0,0.0,0.0,264.6406,21.206599994911812,27.28650000062771,17.1328,11.10842,7.516,2.4047,0.0133,0.0,313.47520000417717,
1,40.756900009000674,23.677899996982887,17.079000012017787,0.0219999928958714,0.04339999577496201,4.51220000104513,15.260000000125729,13.071699999272823,2.096199998049997,1.3621999969473109,1.2810999905923381,0.4234999942127615,0.0,0.0,0.0,0.3941,2.030799994827248,14.331800004583783,0.2424,9.57589,10.3488,1.6369,0.451,0.5977,17.03609999094624,0.3615000023273751
2,36.600200008251704,25.349900010041893,11.250299998209812,0.0388999906135723,0.051700000767596066,6.237699999473989,15.800400011357851,13.842500004102476,1.8637000030139461,0.5804999964311719,1.1479000095278025,0.3006000042660162,0.0,0.0,0.0,0.6446,2.214100008131936,8.096100005786866,0.2403,6.59652,6.7331,0.3992,0.119,0.1833,11.134000000311062,0.2525000018067658
3,54.72810000355821,28.490000011515804,26.238099992042407,0.025599991204217076,0.0354999938281253,3.0266000103438273,13.908299995819107,11.9667999970261,1.8260999931953847,0.5920000112382695,7.402000002912246,0.8919999963836744,0.0,0.0,0.0,0.7798,2.320500003406778,22.82579999882728,0.3848,20.03017,20.1615,1.0698,0.3126,0.2796,26.192399993306026,0.708499996108003
4,34.85989999899175,27.42900000885129,7.43089999014046,0.051099996198900044,0.06570000550709665,7.499700004700571,16.31600000837352,14.186600004904903,2.035700003034435,0.5463999987114221,1.229600005899556,0.3324999997857958,0.0,0.0,0.0,0.4061,2.246300005936064,4.604000001563691,0.2652,3.5124,3.5877,0.2137,0.0724,0.1347,7.409400001051836,0.28739999106619507
5,43.4868999873288,21.853999991435558,21.63289999589324,0.017000013031065464,0.024599998141638935,2.73949999245815,15.827600000193343,13.874299998860806,1.8614000000525266,0.6016999977873638,1.1668000079225749,0.32700000156182796,0.0,0.0,0.0,0.4157,2.5213000044459477,18.292200009454973,0.2288,14.6686,15.4851,1.1211,0.4534,0.6475,21.49120000831317,0.28160000510979444
6,48.48530000890605,26.506399997742847,21.978900011163205,0.07280000136233866,0.09129999671131372,6.849700002931058,16.29020000109449,14.289099999587052,1.9113000016659498,1.2657000042963773,1.142900000559166,0.30690000858157873,0.0,0.0,0.0,0.5383,1.866799997515045,19.349800000782125,0.2643,7.35317,17.1371,0.5064,0.1984,0.1502,21.94710000185296,0.2634999982547015
7,50.60689999663737,26.496699996641837,24.11019999999553,0.03759999526664615,0.046899993321858346,7.624799996847287,15.585100001771934,13.715599998249672,1.779700003680773,0.7983999967109412,1.1617999989539385,0.30839999089948833,0.0,0.0,0.0,0.4101,2.5067999958992004,21.043100001406856,0.3445,19.87255,19.9952,0.2179,0.0689,0.06,24.092699997709133,0.26369999977760017
8,29.698099999222904,21.7728999996325,7.925199999590404,0.016400008462369442,0.02469999890308827,4.293499994673766,14.235800001188181,12.33219999994617,1.81200000224635,0.6453999958466738,1.1528999893926084,0.31689999741502106,0.0,0.0,0.0,0.4685,1.1298000026727095,6.146200001239777,0.2237,4.04506,4.6648,0.1715,0.0721,0.0699,7.886999999755062,0.2721999917412177
9,49.249899995629676,37.203999992925674,12.045900002704002,0.017300000763498247,0.023200002033263445,3.9048000035109,29.806999998982064,27.7905999973882,1.9245000003138557,0.4735999973490834,1.1817000049632043,0.30980000155977905,0.0,0.0,0.0,0.4737,1.8515000119805336,9.547299996484071,0.2092,8.23098,8.5022,0.2698,0.0823,0.081,12.023999996017665,0.2652000111993402
