frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,294.90310000255704,46.01170000387356,248.89139999868348,0.0,0.01270000939257443,39.489100003265776,0.0,0.0,0.0,0.0049000082071870565,6.452500005252659,0.0,0.0,0.0,205.9718,15.928599998005666,26.756599996588193,19.7136,8.0131,4.669,2.1138,0.0079,0.0,248.87730000773445,
1,21.091200003866106,8.265700002084486,12.82550000178162,0.014599994756281376,0.01720000000204891,6.756699993275106,0.0,0.0,0.0,0.006000002031214535,1.029699997161515,0.0,0.0,0.0,0.3474,0.9061000018846244,11.300300000584684,0.2148,7.37679,7.927,1.4095,0.3342,0.761,12.795600006938912,0.999800002318807
2,23.76840000215452,11.836900011985563,11.931499990168959,0.037999998312443495,0.039700011257082224,10.880500005441718,0.0,0.0,0.0,0.00549999822396785,0.8406999986618757,0.0,0.0,0.0,0.6998,0.8469000022159889,10.1037999993423,0.2256,8.747,9.0321,0.244,0.0666,0.1461,11.843700005556457,0.811500009149313
3,15.01309999730438,7.528799993451685,7.484300003852695,0.016400008462369442,0.0202999945031479,6.777000002330169,0.0,0.0,0.0,0.005900001269765198,0.6787000020267442,0.0,0.0,0.0,0.4184,0.6844000017736107,6.245000011404045,0.1824,4.97347,5.2071,0.2702,0.0755,0.0672,7.4687000014819205,0.6523000047309324
4,21.512799998163246,7.139099994674325,14.37370000348892,0.015500001609325409,0.018300008377991617,6.212699998286553,0.0,0.0,0.0,0.0046000059228390455,0.8458000083919615,0.0,0.0,0.0,0.3734,0.5286999949021265,13.33889999659732,0.1767,12.11251,12.4324,0.1987,0.0568,0.1364,14.35910000873264,0.821399997221306
5,21.379500001785345,6.9961999979568645,14.38330000382848,0.01619999238755554,0.01720000000204891,6.389499991200864,0.0,0.0,0.0,0.004799992893822491,0.5355999892344698,0.0,0.0,0.0,0.8202,0.545700007933192,12.87380000576377,0.1898,11.61584,11.914,0.2186,0.0625,0.0554,14.353000005939975,0.5134999955771491
6,21.861599991098046,6.76720000046771,15.094399990630336,0.014600009308196604,0.016400008462369442,6.163899990497157,0.0,0.0,0.0,0.005099995178170502,0.5359999922802672,0.0,0.0,0.0,0.5006,0.5940999981248751,13.86859999911394,0.1919,12.69804,12.9941,0.1874,0.0583,0.0598,15.077600008226,0.5129000055603683
7,24.598699994385242,7.674399996176362,16.92429999820888,0.01440000778529793,0.015999990864656866,7.0354000054067,0.0,0.0,0.0,0.00449999060947448,0.5713999998988584,0.0,0.0,0.0,0.4899,0.5920999974478036,15.716399997472763,0.1921,14.28686,14.5461,0.2606,0.0652,0.109,16.91029999346938,0.5458999949041754
8,11.940000011236407,6.75539999792818,5.184600013308227,0.01479999627918005,0.017700003809295595,6.113199997344054,0.0,0.0,0.0,0.0045000051613897085,0.5725999944843352,0.0,0.0,0.0,0.4804,0.5501999985426664,3.9612999971723184,0.2298,2.33454,2.538,0.3226,0.1053,0.2027,5.144399998243898,0.5498999962583184
9,24.488299997756258,19.78159999998752,4.706699997768737,0.0185999961104244,0.02059999678749591,18.941499991342425,0.0,0.0,0.0,0.006300004315562546,0.7530000002589077,0.0,0.0,0.0,0.5607,0.5649000086123124,3.439300009631552,0.1629,2.28187,2.5369,0.2064,0.0849,0.0828,4.689900000812486,0.7159000087995082
