frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,382.5022999953944,87.03739999327809,295.46490000211634,0.0,0.013199998647905886,19.92590000736527,0.0,0.0,0.0,0.008100003469735384,26.140300004044548,1.3135000044712797,0.04549999721348286,0.0,238.3149,29.799700001603924,27.13489999587182,4.1829,22.93897,19.677,3.0375,0.0144,0.0,295.44719999830704,
1,37.79970000323374,8.3228000003146,29.476900002919137,0.01829999382607639,0.020399995264597237,6.574899991392158,0.0,0.0,0.0,0.005399997462518513,0.007800001185387373,0.0,0.03540000761859119,0.0,0.4011,1.8872000073315576,27.011800004402176,1.3246,23.97667,23.5979,0.6423,0.1517,0.3505,29.460799996741116,0.000200001522898674
2,35.03210000053514,5.454400001326576,29.577699999208562,0.016400008462369442,0.01889999839477241,5.327999999281019,0.0,0.0,0.0,0.0040000013541430235,0.006400005077011883,0.0,0.028299997211433947,0.0,0.8346,0.09719999798107892,28.13580000656657,0.2709,24.02632,24.1554,1.6058,0.5255,1.0829,29.329400000278838,0.000200001522898674
3,41.19150000042282,14.602099996409379,26.58940000401344,0.05539999983739108,0.05319999763742089,14.301299990620464,0.0,0.0,0.0,0.007899987394921482,0.013199998647905886,0.0,0.05970000347588211,0.0,0.3791,0.6793999928049743,25.39049999904819,0.2215,24.3556,24.4734,0.2439,0.0666,0.1748,26.576300006126985,0.000300002284348011
4,24.672200001077726,5.5269000004045665,19.14530000067316,0.01549998705741018,0.01790000533219427,5.392899998696521,0.0,0.0,0.0,0.004699992132373154,0.007299997378140688,0.0,0.031000003218650818,0.0,0.3797,0.2830000012181699,18.35199999914039,0.2,17.24357,17.3764,0.2525,0.0829,0.1383,19.134100002702326,0.000300002284348011
5,30.85830000054557,5.504900007508695,25.353399993036874,0.015500001609325409,0.021799991372972727,5.3703000012319535,0.0,0.0,0.0,0.0046000059228390455,0.00650000583846122,0.0,0.030099996365606785,0.0,0.6345,0.29910000739619136,24.248700006864965,0.2736,23.16041,23.2471,0.2657,0.0763,0.1261,25.32509999582544,0.000200001522898674
6,34.32750000501983,5.422999995062128,28.9045000099577,0.013700002455152571,0.017300000763498247,5.281000005197711,0.0,0.0,0.0,0.0049000082071870565,0.006999995093792677,0.0,0.03340000694151968,0.0,0.4542,0.4383999912533909,27.871099999174476,0.1531,26.67131,26.8292,0.3213,0.1538,0.1486,28.888700006064028,0.000200001522898674
7,36.09850000066217,7.715900006587617,28.382599994074553,0.0236999912885949,0.027799993404187262,7.563399994978681,0.0,0.0,0.0,0.0046000059228390455,0.007700000423938036,0.0,0.03159999323543161,0.0,0.808,0.08699999307282269,26.66279999539256,0.1785,25.5415,25.7181,0.2829,0.0929,0.088,28.372599990689196,0.000400003045797348
8,22.091899998486042,6.025399998179637,16.066500000306405,0.016200006939470768,0.017300000763498247,5.900799995288253,0.0,0.0,0.0,0.0039000005926936865,0.00689999433234334,0.0,0.028099995688535273,0.0,0.4037,0.23210000654216856,15.253700010362081,0.1385,13.99832,14.1959,0.3296,0.1644,0.1365,16.021599993109703,0.000200001522898674
9,18.81660000071861,8.541699993656948,10.27490000706166,0.026699999580159783,0.029300004825927317,8.37840000167489,0.0,0.0,0.0,0.004699992132373154,0.007899987394921482,0.0,0.0340000115102157,0.0,0.5295,0.24500000290572643,9.354399997391738,0.1534,7.90937,8.0529,0.942,0.0101,0.0,10.259000002406538,0.000200001522898674
