frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
17,0.0451,22.4082,5.3679,0.0026,5.3649,5.3415,0.0186,0.0015,0.2572,0.3107,0.0084,0.0155,0.0001,0.0001,0,0,0,0.0033,0,0,0.0029,0.0001,0.0002,0.0085,0.0115,0.0243,0.2689,0.1303,0.1572,23.1533,1,91783008,1169278496,2,0,378072108,18,17,1,1,0,0,0,0
18,0.0449,21.3621,4.3488,0.0025,4.3458,4.334,0.0078,0.0009,0.196,0.2339,0.0045,0.0122,0.0002,0.0001,0,0,0,0.002,0,0,0.0018,0,0.0001,0.0058,0.0132,0.0246,0.2769,0.1458,0.1385,22.1138,2,91783008,1624797664,0,0,378072108,19,18,1,1,0,0,0,0
19,0.1884,18.1619,8.0493,0.0185,8.0295,7.9912,0.0262,0.0019,0.433,0.5071,0.0114,0.0195,0.0003,0.0003,0,0,0,0.0045,0,0,0.0048,0.0002,0.0005,0.0128,0.0159,0.0295,0.259,0.1232,0.1424,19.0347,3,91783008,1624810336,1,0,378072108,20,19,1,1,0,0,0,0
20,0.047,19.0717,5.2374,0.0028,5.2343,5.2235,0.0058,0.0016,0.3563,0.455,0.0108,0.034,0.0004,0.0003,0,0,0,0.0054,0,0,0.0038,0.0001,0.0004,0.0126,0.0205,0.0527,0.6061,0.3356,0.4058,20.7939,4,91783008,1624808224,2,0,378072108,21,20,1,1,0,0,0,0
21,0.043,16.7382,5.2433,0.0022,5.2407,5.2154,0.0202,0.0016,0.3349,0.3906,0.0082,0.0158,0.0001,0.0003,0,0,0,0.0032,0,0,0.0029,0.0001,0.0004,0.0089,0.0166,0.0253,0.2211,0.1077,0.1195,17.345,5,91783008,1624800480,0,0,378072108,22,21,1,1,0,0,0,0
22,0.0525,22.328,5.861,0.0025,5.8582,5.8447,0.0097,0.0006,0.1965,0.2367,0.0065,0.0114,0.0001,0.0001,0,0,0,0.002,0,0,0.0015,0,0.0001,0.0051,0.0081,0.0222,0.2369,0.1397,0.2325,23.1497,6,91783008,1624806816,1,0,378072108,23,22,1,1,0,0,0,0
23,0.046,17.6347,4.3905,0.003,4.3871,4.335,0.0053,0.0015,0.2724,0.3618,0.0093,0.035,0.0001,0.0004,0,0,0,0.0075,0,0,0.0035,0.0001,0.0005,0.0128,0.0241,0.0257,0.2353,0.1112,0.1158,18.2617,7,91783008,1624811040,2,0,378072108,24,23,1,1,0,0,0,0
24,0.0478,17.268,5.5957,0.0026,5.5927,5.5697,0.0182,0.0013,0.2726,0.3642,0.0117,0.0274,0.0001,0.0003,0,0,0,0.0055,0,0,0.0045,0.0001,0.0004,0.0151,0.0199,0.0192,0.2055,0.1103,0.1415,17.8836,0,91783008,1169286944,0,0,378072108,25,24,1,1,0,0,0,0
25,0.0449,17.25,5.6707,0.0025,5.6679,5.6565,0.0077,0.001,0.2016,0.2549,0.0074,0.0151,0.0002,0.0002,0,0,0,0.0037,0,0,0.0028,0.0001,0.0003,0.0088,0.0134,0.0251,0.2372,0.116,0.1111,17.8912,1,91783008,1169278496,1,0,378072108,26,25,1,1,0,0,0,0
26,0.0433,15.6256,5.2353,0.0028,5.2321,5.212,0.0149,0.0014,0.2905,0.3638,0.0084,0.0205,0.0002,0.0005,0,0,0,0.006,0,0,0.0049,0.0001,0.0006,0.0151,0.0255,0.0235,0.2318,0.1108,0.2241,16.3505,2,91783008,1624797664,2,0,378072108,27,26,1,1,0,0,0,0
27,0.0454,15.1635,5.4867,0.0034,5.483,5.4703,0.0087,0.001,0.1963,0.2678,0.0044,0.0267,0.0006,0.0002,0,0,0,0.0059,0,0,0.0041,0,0.0002,0.0127,0.0234,0.04,0.2281,0.1588,0.1177,15.852,3,91783008,1624810336,0,0,378072108,28,27,1,1,0,0,0,0
