frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_above_region_upload,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
10,64.93219999538269,46.433399998932146,18.498799996450543,0.019700004486367106,0.027399990358389914,4.558700005873106,32.323499995982274,22.852800000691786,9.35340000432916,1.9695999944815412,2.0317999878898263,1.5370000037364662,0.0,0.0,0.0,0.5774,6.692100010695867,11.034800001652911,0.3204,8.97594,9.2626,0.291,0.1146,0.1023,18.47280000220053,1.4716000005137175
11,69.64430000516586,48.482500002137385,21.161800003028475,0.0219999928958714,0.02890000178012997,4.915199999231845,33.56679997523315,23.245699994731694,10.21869998658076,1.8238000047858804,2.838099986547604,1.3328000059118494,0.0,0.0,0.0,0.7534,2.9400000057648867,17.269000003580004,0.5176,9.62375,10.0231,0.2634,0.0921,0.0944,21.12029999261722,1.2405000015860423
12,73.06130000506528,47.033700000611134,26.027600004454143,0.01889999839477241,0.027300004148855805,5.682100003468804,32.678200004738756,22.6152999966871,9.964600001694635,1.7128999897977337,2.157199996872805,1.0929999989457428,0.0,0.0,0.0,0.6309,7.142500006011687,18.059699999867007,0.2343,16.06384,16.4009,0.4164,0.1795,0.1211,25.99700000428129,1.0295999964000657
13,75.55130000400823,54.344600008334965,21.20669999567326,0.0337999954354018,0.04939999780617654,8.182099991245195,37.13909999351017,26.06819999346044,10.971099996822886,1.7903999978443608,2.2492999996757135,1.1452000035205856,0.0,0.0,0.0,0.7284,7.883900005253963,12.420200000633486,0.3027,10.6859,10.9612,0.2347,0.1011,0.1189,21.18400001199916,1.0882000060519204
14,74.35660000192001,46.303999988595024,28.05260001332499,0.01960000372491777,0.027000001864507794,4.441099998075515,33.00089998811018,22.8108000010252,10.081000000354834,1.7291999974986538,2.2711000056006014,1.0428000095998868,0.0,0.0,0.0,0.5443,7.301000005099922,19.975600007455796,0.3137,17.66782,18.0868,0.399,0.1814,0.1302,27.996000004350208,0.9848000045167282
15,67.66739999875426,47.27870000351686,20.388699995237403,0.02519998815841973,0.035500008380040526,4.6615000028396025,33.91740001097787,23.421300007612444,10.395299992524087,1.7478999943705276,2.1638000034727156,1.0474999871803448,0.0,0.0,0.0,0.5336,8.000100002391264,11.688700004015118,0.2564,9.57339,10.0099,0.2893,0.1131,0.1245,20.367700009956025,0.9884000028250739
16,71.96130001102574,47.953000001143664,24.008300009882078,0.020899999071843922,0.02849999873433262,5.22120000096038,33.78290000546258,23.65069999359548,10.022600006777793,1.8965000053867698,2.257500003906898,1.0232999920845032,0.0,0.0,0.0,0.6341,7.864300001529045,15.345799998613074,0.2577,13.32642,13.7142,0.294,0.1026,0.1094,23.988200002349913,0.9620999917387962
17,73.6243999999715,46.95970000466332,26.664699995308183,0.020399995264597237,0.02989999484270811,3.501200000755489,33.811000001151115,23.337899998296052,10.366999995312653,2.2292000066954643,2.717399998800829,1.2189999979455024,0.0,0.0,0.0,0.5866,3.2156999950530007,22.584799997275695,0.4882,16.39052,16.5754,0.376,0.1715,0.149,26.53979999013245,1.153300006990321
18,69.73840000864584,47.61090000101831,22.127500007627532,0.026699999580159783,0.03700000524986535,4.82699999702163,33.27900001022499,23.333700009970926,9.830700000748038,1.8480999860912561,2.3677999997744337,1.2444999883882701,0.0,0.0,0.0,0.6991,7.701000009546988,13.557600002968684,0.2648,11.60295,11.9656,0.3384,0.1222,0.1081,22.104700008640066,1.159499995992519
19,76.82869999553077,48.37180000322405,28.456899992306717,0.021799991372972727,0.030199997127056122,5.264000006718561,33.831799984909594,23.560499990708195,10.167400003410876,2.140299999155104,2.2274999937508255,1.131199998781085,0.0,0.0,0.0,1.6028,7.783199995174073,18.849699990823865,0.3086,16.59739,16.8218,0.4673,0.1961,0.168,28.43050000956282,1.0612000041874126
20,71.29949999216478,50.1901999959955,21.109299996169284,0.0281000102404505,0.03670000296551734,6.956400000490248,33.76879999996163,23.88029999565333,9.787300004973076,1.951000012923032,2.2035000001778826,1.449299990781583,0.0,0.0,0.0,0.6246,7.5772999989567325,12.663700006669387,0.2839,10.19486,10.5874,0.3942,0.1647,0.2983,21.050399998784997,1.389900004141964
21,68.29290000314359,49.11330000322778,19.17959999991581,0.026399997295811772,0.03569999535102397,5.1491000049281865,34.51640000275802,24.310599997988902,10.104400003910996,2.482099996996112,2.2373999963747337,1.2920999870402738,0.0,0.0,0.0,0.5308,3.8497000059578568,14.619299996411428,0.4463,8.76872,8.9945,0.2061,0.1091,0.1191,19.156099995598197,1.2183999933768064
22,69.20910000917502,48.668600007658824,20.540500001516193,0.0261999957729131,0.03650000144261867,5.21449999359902,34.55840001697652,23.501000003307126,10.953800010611303,1.909200000227429,2.111599998897873,1.1894999915966764,0.0,0.0,0.0,0.5523,8.38730001123622,11.429099991801195,0.2864,9.31194,9.5803,0.2762,0.1446,0.1525,20.51930000016,1.073300009011291
23,70.86079999862704,49.85199999646284,21.008800002164207,0.023200002033263445,0.030700000934302807,5.733899990445934,34.928199980640784,24.10329999111127,10.723599989432842,1.7708000086713582,2.2692000056849793,1.2220000062370673,0.0,0.0,0.0,0.6583,7.812399999238551,12.341400011791848,0.3537,9.95287,10.4224,0.3364,0.1294,0.1272,20.961699992767535,1.1630999943008646
24,69.3907999957446,48.92669999389909,20.46410000184551,0.020699997548945248,0.03229999856557697,4.922599997371435,34.70239997841418,24.32549999502953,10.273999985656701,2.200500006438233,2.3025999980745837,1.1585000029299408,0.0,0.0,0.0,0.5367,3.202199994120747,16.571999993175268,0.4738,10.80281,10.8853,0.3191,0.127,0.1375,20.445600006496534,1.1009000008925796
25,84.84199999656994,59.60929999127984,25.2327000052901,0.020000006770715117,0.031200004741549492,4.921900006593205,41.983400005847216,23.147600004449487,18.71420000679791,1.7681000026641414,3.448899995419197,1.4747999957762659,0.0,0.0,0.0,0.7323,7.652000000234693,16.672800004016608,0.4128,14.44059,14.8773,0.3267,0.1161,0.1317,25.21340000384953,1.3880000042263418
26,66.3734999980079,47.396499998285435,18.976999999722466,0.02239999594166875,0.03229999856557697,4.247199991368689,34.26969998690765,23.214799992274493,10.954799989121966,2.3287000076379627,2.119299999321811,1.1362000077497214,0.0,0.0,0.0,0.5906,3.3254000009037554,14.831299995421432,0.4184,8.78468,9.1091,0.2705,0.131,0.1787,18.91349999641534,1.0744999890448526
27,70.95449999906123,49.84530000365339,21.109199995407835,0.02950000634882599,0.03779999678954482,4.9260999949183315,35.331199993379414,24.996899999678135,10.228400002233684,1.6765000036684796,2.6073000044561923,1.1150000063935295,0.0,0.0,0.0,0.6068,7.4001000029966235,12.928500000271015,0.3336,11.00887,11.1843,0.3496,0.1485,0.1424,21.08540000335779,1.0571999882813543
28,72.4049999989802,48.03130000072997,24.37369999825023,0.023200002033263445,0.031499992473982275,3.5383999929763377,34.3468000064604,23.32590000878554,10.862099996302277,2.1744999976363033,2.3868999996921048,1.576300011947751,0.0,0.0,0.0,0.6944,3.3722000080160797,20.128000003751367,0.3055,14.01294,14.3989,0.2599,0.1113,0.134,24.353100001462735,1.4930000033928081
29,68.3028000057675,46.34570000052918,21.957100005238317,0.021100000594742596,0.028399997972883284,3.606400001444854,33.211000001756474,23.227500001667067,9.866099993814714,1.8177999882027507,2.1191999985603616,1.4752999995835125,0.0,0.0,0.0,1.5489,8.196399998269044,12.002300005406141,0.2916,10.0593,10.2714,0.3693,0.1795,0.136,21.909899995080195,1.414500002283603
30,4883.70040000882,50.17880001105368,4833.521599997766,0.025299988919869065,0.03650000144261867,5.051399988587946,35.17820000706706,24.311400004080497,10.755399998743087,2.1647999965352938,2.093799994327128,1.2664999958360568,0.0,0.0,0.0,1.4994,3.275399998528883,4828.478399998858,1345.2952,4813.29553,1.4035,0.2586,0.1699,0.0971,4833.496399995056,1.1877000069944188
31,65.18000000505708,44.35510000621434,20.82489999884274,0.018499995348975062,0.02719998883549124,3.3411000040359795,32.53710000717547,22.507100002258085,9.932500004651956,1.779099999112077,2.019000006839633,1.1476999934529886,0.0,0.0,0.0,0.5271,2.738299997872673,17.368300002999604,0.4627,9.71838,10.057,0.272,0.1801,0.3682,20.802800005185418,1.0842000046977773
32,72.94329999422189,45.22509999515023,27.718199999071658,0.026599998818710446,0.030499999411404133,4.616799997165799,31.677500024670735,21.870600001420826,9.701400020276196,2.096800002618693,2.040599996689707,1.0257000103592873,0.0,0.0,0.0,0.8015,3.23660000867676,23.393499999656342,0.4925,16.4718,16.755,0.3561,0.1734,0.144,27.609400000073947,0.9688999998616055
33,75.44729999790434,48.26799999864306,27.179299999261275,0.032500000088475645,0.043099993490614,6.714399991324171,32.18619999825023,22.023700003046542,10.066199989523739,2.5766000035218894,1.971699995920062,1.2512000103015453,0.0,0.0,0.0,0.5934,3.670799997053109,22.688899989589117,0.491,15.91095,16.1455,0.3647,0.1803,0.1644,27.155599993420765,1.1931000044569373
34,82.06000000063796,61.21319999510888,20.846800005529076,0.030100010917522013,0.03709999145939946,6.383900006767362,43.906500010052696,32.17390000645537,11.429300007876009,1.7631000082474202,2.0360999915283173,1.0984000109601766,0.0,0.0,0.0,0.5743,6.736299998010509,13.358299998799339,0.2501,11.32162,11.7578,0.307,0.1281,0.1393,20.826299994951114,1.0355999984312803
35,69.32389999565203,48.82999999972526,20.493899995926768,0.022099993657320738,0.030800001695752144,5.072700005257502,34.98300000501331,24.001700003282167,10.884100003750063,2.1545000199694186,2.176499998313375,1.1251999967498705,0.0,0.0,0.0,0.6096,3.120000008493662,16.536899987841025,0.3229,10.16588,10.4599,0.2662,0.1227,0.1132,20.430600008694455,1.062600000295788
36,65.37929999467451,46.326700001372956,19.052599993301556,0.02340000355616212,0.044899992644786835,5.383600000641309,32.04169998934958,22.064699995098636,9.874299998045899,2.145700011169538,2.0666000054916367,1.2042999878758565,0.0,0.0,0.0,0.6631,3.2722000032663345,14.936000006855465,0.4791,8.09408,8.4404,0.2121,0.123,0.1506,19.031700008781627,1.1405999975977466
37,66.70260000100825,47.0562999980757,19.64630000293255,0.025000001187436283,0.03500000457279384,4.19809999584686,34.20620001270436,22.92850000958424,11.176800006069243,2.077800003462471,2.0363000076031312,1.1097999959019944,0.0,0.0,0.0,0.5607,3.017099996213801,15.89830000011716,0.2882,8.94919,9.4807,0.2645,0.1218,0.1216,19.627300003776327,1.0493000008864328
38,65.40690000110772,45.724199997494,19.682700003613718,0.019500002963468432,0.028700000257231295,3.5263999889139086,33.02760000224225,22.714099992299452,10.189300010097213,2.2105999814812094,2.278300002217293,1.265600003534928,0.0,0.0,0.0,0.5174,3.149600001052022,15.81919999443926,0.5249,9.24706,9.5665,0.2778,0.1176,0.1193,19.64389999920968,1.2034000101266429
39,69.41209999786224,50.08380000072066,19.328299997141585,0.018699996871873736,0.02720000338740647,3.357200010214001,37.583699988317676,25.130399997578934,12.352399993687868,1.9298999977763742,2.106400002958253,1.2857999972766265,0.0,0.0,0.0,0.6671,3.288300009444356,15.185999989625998,0.447,7.95739,8.2579,0.3026,0.1328,0.1389,19.306200003484264,1.2189999979455024
40,61.51450000470504,43.59899999690242,17.91550000780262,0.027000001864507794,0.039000005926936865,4.313199999160133,31.17139998357743,21.696600000723265,9.374299988849089,1.7088000022340566,1.8723999965004623,0.7349999941652641,0.0,0.0,0.0,0.96,2.6445999974384904,14.145900000585243,0.2793,8.512,8.899,0.2873,0.115,0.1098,17.896599994855933,0.6773999921279028
41,59.620499989250675,41.51569999521598,18.104799994034693,0.02130000211764127,0.026599998818710446,3.2651999936206266,29.73119998932816,22.781499996199273,6.849600002169609,1.7766999953892082,1.8448000046191737,0.7382000039797276,0.0,0.0,0.0,0.6399,2.800400005071424,14.476399999693967,0.3477,8.15656,8.5231,0.2566,0.107,0.112,18.0638000019826,0.6823000003350899
42,60.71809999411926,42.58569999365136,18.132400000467896,0.01990000600926578,0.027999994927085936,3.1826000049477443,30.26099999260623,21.6904999979306,8.464900005492382,1.9635000062407926,2.0003999961772934,1.2305999989621341,0.0,0.0,0.0,0.527,6.62499999452848,10.757700001704507,0.2769,8.97976,9.2563,0.2279,0.1073,0.1221,18.106699993950315,1.1624000035226345
43,68.75160000345204,47.195899998769164,21.555700004682876,0.027000001864507794,0.0391000066883862,4.726599989226088,33.87049998855218,23.335699996096082,10.415400000056252,1.7110000044340268,2.018400002270937,1.0199999960605055,0.0,0.0,0.0,0.6754,8.916899998439476,11.778200001572259,0.2363,9.85833,10.1964,0.2719,0.1339,0.1461,21.537099994020537,0.9652000007918105
44,65.23659999947995,46.790400010650046,18.446199988829903,0.022599997464567423,0.03090000245720148,5.090500009828247,32.81200003402773,22.353500011377037,10.367800015956163,2.1043999877292663,2.0902999967802316,1.185399989481084,0.0,0.0,0.0,0.7064,3.0208999960450456,14.52630000130739,0.3297,8.70984,9.1154,0.2998,0.1176,0.1289,18.405599999823608,1.1196999985259026
45,64.55999999889173,44.61329999321606,19.946700005675666,0.02060001133941114,0.027699992642737925,3.5033000021940097,32.45990000141319,23.312400007853284,9.046299994224682,1.9813999970210716,1.923999996506609,0.7777999999234453,0.0,0.0,0.0,0.6508,3.155200000037439,15.97030000993982,0.2542,9.12128,9.5641,0.2186,0.1343,0.1121,19.928699999582022,0.720500000170432
46,67.02689999656286,41.42519999004435,25.601700006518513,0.02099999983329326,0.028800001018680632,5.026600003475323,27.702499995939434,21.10230000107549,6.50869999662973,1.595699999597855,2.2514000011142343,0.846999988425523,0.0,0.0,0.0,0.5641,6.7491000081645325,18.112200006726198,0.4127,15.80817,16.0343,0.3744,0.2235,0.1646,25.579100009053946,0.7685000018682331
47,62.85179998667445,43.8605999952415,18.99119999143295,0.02920000406447798,0.03640000068116933,6.202300006407313,29.456100004608743,22.821200007456355,6.5122999949380755,1.5882000006968156,1.86240000766702,0.7372999971266836,0.0,0.0,0.0,0.577,7.600299999467097,10.569599995505996,0.2645,9.00433,9.1903,0.2099,0.1223,0.1469,18.896699999459088,0.6816999957663938
48,61.4478999923449,42.000400004326366,19.447499988018535,0.024200009647756815,0.03579999611247331,5.235100004938431,27.759100004914217,21.092399998451583,6.5707000030670315,1.5505000192206353,2.4916000111261383,0.8569999918108806,0.0,0.0,0.0,0.5801,6.266299998969771,12.429700000211596,0.246,10.45024,10.7336,0.3548,0.1523,0.1572,19.426400001975708,0.7772999961161986
49,61.55169999692589,41.81209999660496,19.739600000320934,0.02370000584051013,0.031200004741549492,3.4434999979566783,30.265200010035187,23.251500009791926,6.917899998370558,1.6667999880155548,1.86309999844525,0.757400004658848,0.0,0.0,0.0,0.6046,6.757700000889599,12.209699998493306,0.2379,10.35671,10.7417,0.2831,0.1266,0.119,19.719799995073117,0.7038000039756298
50,59.43040001147892,40.16800000681542,19.262400004663505,0.022299995180219412,0.030100010917522013,3.259100005379878,27.898300002561882,21.246799995424226,6.556299995281734,1.6777999844634905,2.309799994691275,0.7665000011911616,0.0,0.0,0.0,0.5756,7.51319999108091,10.958899991237558,0.2487,9.17899,9.4689,0.2236,0.1325,0.1422,19.21539999602828,0.706300008459948
51,60.92279999575112,41.98480000195559,18.93799999379553,0.02269999822601676,0.031000003218650818,3.4260999964317307,29.562099996837787,22.972000006120652,6.4941000018734485,1.7933000053744763,2.25430000864435,0.9213000012096018,0.0,0.0,0.0,0.8973,2.8234000055817887,14.99609999882523,0.4343,9.20568,9.452,0.3298,0.1812,0.1323,18.916100001661107,0.8344000088982284
52,59.35590001172386,40.50380000262521,18.85210000909865,0.022199994418770075,0.029699993319809437,3.256099997088313,28.96080000209622,21.965799998724833,6.898099993122742,1.7668999935267493,1.9964999955845997,0.7252999930642545,0.0,0.0,0.0,0.6143,6.479499992565252,11.57809999131132,0.3252,9.94726,9.8662,0.3427,0.1535,0.1349,18.82800000021234,0.6699999939883128
53,74.19509999454021,45.61760000069626,28.577499993843958,0.028700000257231295,0.0374000082956627,4.7553000040352345,32.08379998977762,25.369499999214895,6.596599996555597,1.9099999917671084,2.0050000021001324,0.8140999998431653,0.0,0.0,0.0,0.6968,8.29389999853447,19.335499993758276,0.2094,17.05306,17.371,0.5204,0.2326,0.1921,28.51360000204295,0.7578999939141795
54,72.38579999830108,44.93430000729859,27.451499991002493,0.035899996873922646,0.049700000090524554,6.464499994763173,29.996799989021383,21.389799992903136,8.508400002028793,1.8859000119846314,1.8738999933702871,1.0097999911522493,0.0,0.0,0.0,0.5554,12.54109998990316,14.166499997372739,0.8355,10.63154,10.8202,0.3722,0.1471,0.1534,27.432300004875287,0.9539000020595267
55,72.7476000029128,54.97250000189524,17.775100001017563,0.023100001271814108,0.03599999763537198,3.6748999991687015,43.1148000061512,34.79299999889918,8.21630000427831,2.189700011513196,1.9148999999742955,0.7292999944183975,0.0,0.0,0.0,0.874,3.3552999957464635,13.364799990085885,0.2404,7.9052,8.321,0.2056,0.1109,0.1176,17.75679999263957,0.6741999968653545
56,60.59589999495074,40.776599998935126,19.819299996015616,0.019800005247816443,0.029000002541579306,4.170599990175106,28.06670001882594,21.466700010932982,6.501099996967241,1.7819999920902774,2.2345000033965334,0.8029000018723309,0.0,0.0,0.0,0.7174,2.745000005234033,16.17160000023432,0.2383,9.49396,9.9701,0.3273,0.1328,0.1434,19.77939999778755,0.7424999930663034
57,62.32909999380354,40.51789999357425,21.81120000022929,0.019500002963468432,0.02749999111983925,3.152000004774891,29.409599999780767,22.40259999234695,6.907500006491318,1.6911999991862103,1.8429999909130856,0.7466999959433451,0.0,0.0,0.0,0.4653,6.980999998631887,14.19970000279136,0.3276,11.70291,11.9855,0.3204,0.1346,0.1353,21.79069998965133,0.6923000037204474
58,59.35049999970943,40.20909999962896,19.141400000080466,0.022500011255033314,0.027999994927085936,3.224999993108213,28.565799992065877,22.011099994415417,6.450600005337037,1.7735000001266599,2.054399999906309,0.7273000082932413,0.0,0.0,0.0,0.6326,7.295200004591607,11.057499999878928,0.374,9.33171,9.5076,0.2297,0.1219,0.1391,19.12080000329297,0.6732000038027763
59,59.04379999265075,41.33449999790173,17.709299994749017,0.022299995180219412,0.02849999873433262,3.8376000011339784,28.862799998023547,22.252700000535697,6.5085999958682805,1.4721000043209642,2.225199990789406,0.78449999273289,0.0,0.0,0.0,1.1758,7.2361000056844205,9.08000000345055,0.2185,7.693,7.8549,0.3048,0.1408,0.1206,17.65900000464171,0.7282000005943701
60,64.8222000017995,44.46099999768194,20.361200004117563,0.025900008040480316,0.034900003811344504,6.54499999654945,29.740499987383373,22.594199996092357,7.046200000331737,1.9471999985398725,1.8659999914234504,0.8089999901130795,0.0,0.0,0.0,0.4998,10.569899997790344,9.136500011663884,0.2525,7.64068,7.7971,0.3054,0.1263,0.1231,20.34040000580717,0.7566999993287027
61,73.44429999648128,46.587600008933805,26.856699987547472,0.023999993572942913,0.030399998649954796,3.955399995902553,33.69650000240654,23.89229999971576,9.70229999802541,1.9324000022606924,1.8596999871078879,1.2805000005755574,0.0,0.0,0.0,0.6156,7.2976999945240095,18.714500009082258,0.2308,16.0087,16.3293,0.3752,0.2615,0.3388,26.8291000102181,1.2275000044610351
62,59.67170000076294,41.64890000538435,18.02279999537859,0.029300004825927317,0.037299992982298136,4.611399999703281,28.617000018130057,21.633399999700487,6.889000011142343,1.6807000065455213,1.866499995230697,0.7532999879913405,0.0,0.0,0.0,0.54,7.608399988384917,9.69500000064727,0.1979,8.26996,8.4891,0.2889,0.1444,0.1176,17.97950000036508,0.7006999949226156
63,63.75099999422673,43.390199993154965,20.360800001071766,0.021800005924887955,0.029000002541579306,3.8121999969007447,31.06399999524001,24.35979999427218,6.601000000955537,2.339999977266416,2.0579999982146546,0.7405999931506813,0.0,0.0,0.0,0.5846,3.3694000012474135,16.24409999931231,0.5052,9.35894,9.6532,0.3375,0.1632,0.1461,20.34020000428427,0.6849000055808574
64,64.53039999178145,43.85020000336226,20.68019998841919,0.025000001187436283,0.029499991796910763,3.975999992690049,31.77460000733845,24.474200006807223,7.200699998065829,2.050700000836514,2.003699992201291,0.8108000038191676,0.0,0.0,0.0,0.5381,3.0230999982450157,16.95169998856727,0.2555,9.97896,10.4057,0.2996,0.1176,0.1193,20.661400005337782,0.7589000015286729
65,60.522200001287274,42.83500000019558,17.687200001091696,0.020100007532164454,0.027900008717551827,3.5540000098990276,30.57940000144299,22.128800002974458,8.351099997526035,2.135600007022731,1.9183999975211918,1.0488999978406355,0.0,0.0,0.0,0.5519,7.75920000160113,9.099100003368221,0.2566,7.82532,7.9304,0.2169,0.1177,0.1521,17.590899995411746,0.9963999909814447
66,67.47660000110045,48.4742999979062,19.00230000319425,0.02479999966453761,0.038699989090673625,4.199899995001033,35.720599989872426,23.946799992700107,11.671000000205822,1.8078000139212236,1.8951999954879284,1.0170000023208559,0.0,0.0,0.0,0.605,2.7916000108234584,15.44119999743998,0.5234,8.41188,8.7627,0.3162,0.1141,0.1152,18.986800001584925,0.9623000078136101
67,61.15549999231007,42.11149999173358,19.04400000057649,0.02160000440198928,0.028299997211433947,4.138700009207241,29.8777999705635,23.259499997948296,6.516099980217405,1.9248000025982037,1.859700001659803,0.7299999997485429,0.0,0.0,0.0,0.5248,7.809300004737452,10.538100003032014,0.2349,8.7499,9.1211,0.2166,0.1244,0.1372,19.023899993044324,0.6696000054944307
68,60.444400005508214,41.60219999903347,18.84220000647474,0.022499996703118086,0.02890000178012997,4.570200006128289,28.347500003292225,21.683800005121157,6.562299997312948,1.7174000095110387,2.249099998152815,0.8067000017035753,0.0,0.0,0.0,0.5727,7.739799999399111,10.30910000554286,0.3828,8.65917,8.7412,0.2991,0.128,0.1858,18.794299990986474,0.7501000072807074
69,66.6856000025291,41.78610000235494,24.899500000174157,0.026399997295811772,0.030000010156072676,3.76249999681022,29.7526999929687,22.52859999134671,7.127100005163811,1.677500011282973,1.8323000113014132,0.7658000104129314,0.0,0.0,0.0,0.5214,6.334000005153939,17.869200004497543,0.4038,15.80078,15.9798,0.362,0.1615,0.152,24.878600001102313,0.6871000077808276
70,58.81990000489168,41.370199993252754,17.449700011638924,0.02849999873433262,0.03569999535102397,4.666699998779222,28.211399985593744,21.590399992419407,6.49009998596739,1.6266999882645905,1.866499995230697,0.7367000071099028,0.0,0.0,0.0,0.5234,6.677500001387671,10.091700009070337,0.2311,8.2722,8.6845,0.2327,0.1203,0.1229,17.430500010959804,0.6839000125182793
71,63.5863000061363,43.976800006930716,19.609499999205582,0.021899992134422064,0.0295999925583601,3.8985999999567866,31.093199984752573,24.327099992660806,6.636199992499314,1.583400007802993,2.164200006518513,0.7072000007610768,0.0,0.0,0.0,0.4932,6.857800006400794,12.078300002031028,0.2441,9.9862,10.264,0.3697,0.1379,0.1218,19.56520001112949,0.6540000031236559
72,62.176999999792315,40.92230000242125,21.254699997371063,0.02169999061152339,0.029400005587376654,4.539900008239783,28.09069999784697,21.161399999982677,6.830500002251938,1.8817000091075897,1.9973000016761944,0.7519000064348802,0.0,0.0,0.0,0.4702,2.8237000078661367,17.818499996792525,0.2548,10.77792,11.3217,0.2842,0.1192,0.1972,21.237499997369014,0.6992999988142401
